slug,display_name_ko,region_group,changed,forbidden_terms,before_summary,after_summary,before_primary_bath,after_primary_bath,before_operation_notes,after_operation_notes,evidence_note
tokachigawa-seijakubou,도카치가와 온천 세이자쿠보,hokkaido,false,,도카치가와 몰온천을 객실 노천탕으로 조용히 즐기는 고급 숙소입니다. 대욕장보다 방 안에서 온천을 오래 쓰고 싶은 여행자에게 잘 맞습니다.,도카치가와 몰온천을 객실 노천탕으로 조용히 즐기는 고급 숙소입니다. 대욕장보다 방 안에서 온천을 오래 쓰고 싶은 여행자에게 잘 맞습니다.,전 객실 몰온천 노천탕 중심,전 객실 몰온천 노천탕 중심,"객실 내 프라이빗탕 중심 숙소입니다,몰온천 수질을 기대할 수 있습니다","객실 내 프라이빗탕 중심 숙소입니다,몰온천 수질을 기대할 수 있습니다","직접 읽은 후기 380건, 온천 관련 300건, 본문 확인 플랫폼 8개"
toyako-lake-suite-konosisu,더 레이크 스위트 고노스미카,hokkaido,false,,"도야호 전망과 온천을 함께 기대하는 리조트형 숙소입니다. 객실 노천탕과 전망 대욕장을 나눠 볼 수 있어, 날씨와 객실 타입을 함께 확인하는 편이 좋습니다.","도야호 전망과 온천을 함께 기대하는 리조트형 숙소입니다. 객실 노천탕과 전망 대욕장을 나눠 볼 수 있어, 날씨와 객실 타입을 함께 확인하는 편이 좋습니다.",객실 노천탕 + 전망 대욕장,객실 노천탕 + 전망 대욕장,"객실 타입별 노천탕 여부 확인이 필요합니다,전망은 날씨 영향이 있습니다","객실 타입별 노천탕 여부 확인이 필요합니다,전망은 날씨 영향이 있습니다","직접 읽은 후기 308건, 온천 관련 255건, 본문 확인 플랫폼 7개"
yunokawa-hanabishi,하코다테 유노카와 온천 하나비시 호텔,hokkaido,false,,하코다테 유노카와의 대욕장 중심 온천호텔입니다. 객실 내 프라이빗탕보다 공용 대욕장과 온천호텔 체류감을 먼저 보는 숙소에 가깝습니다.,하코다테 유노카와의 대욕장 중심 온천호텔입니다. 객실 내 프라이빗탕보다 공용 대욕장과 온천호텔 체류감을 먼저 보는 숙소에 가깝습니다.,대욕장 중심,대욕장 중심,"대욕장 중심 호텔입니다,객실 내 프라이빗탕은 객실 타입별 확인이 필요합니다","대욕장 중심 호텔입니다,객실 내 프라이빗탕은 객실 타입별 확인이 필요합니다","직접 읽은 후기 310건, 온천 관련 168건, 본문 확인 플랫폼 3개"
yunokawa-heiseikan-hanatsuki,헤이세이칸 시오사이테이 별관 하나츠키,hokkaido,false,,유노카와 해안가에서 객실 노천탕과 바다 전망을 함께 기대하는 별관형 숙소입니다. 대욕장보다 객실에서 조용히 온천을 쓰는 경험을 앞세워 볼 만합니다.,유노카와 해안가에서 객실 노천탕과 바다 전망을 함께 기대하는 별관형 숙소입니다. 대욕장보다 객실에서 조용히 온천을 쓰는 경험을 앞세워 볼 만합니다.,바다 전망 객실 노천탕 중심,바다 전망 객실 노천탕 중심,"객실 전망/욕장 타입 확인이 필요합니다,온도 체감 차이 확인을 권장합니다","객실 전망/욕장 타입 확인이 필요합니다,온도 체감 차이 확인을 권장합니다","직접 읽은 후기 300건, 온천 관련 246건, 본문 확인 플랫폼 6개"
yunokawa-heiseikan-shiosaitei,헤이세이칸 시오사이테이,hokkaido,false,,"유노카와의 바다 전망 호텔형 온천 숙소입니다. 일부 객실 노천탕과 공용 온천을 함께 볼 수 있어, 객실 내 프라이빗탕과 대욕장을 나눠 확인하는 편이 좋습니다.","유노카와의 바다 전망 호텔형 온천 숙소입니다. 일부 객실 노천탕과 공용 온천을 함께 볼 수 있어, 객실 내 프라이빗탕과 대욕장을 나눠 확인하는 편이 좋습니다.",객실 노천탕 + 공용 온천,객실 노천탕 + 공용 온천,"객실 타입별 노천탕 여부 확인이 필요합니다,숙소명 혼동 주의가 필요합니다","객실 타입별 노천탕 여부 확인이 필요합니다,숙소명 혼동 주의가 필요합니다","직접 읽은 후기 318건, 온천 관련 199건, 본문 확인 플랫폼 6개"
yunokawa-nagisatei,유노카와 프린스 호텔 나기사테이,hokkaido,true,,하코다테 유노카와에서 바다 전망 객실 노천탕으로 잘 알려진 숙소입니다. 객실에서 바다를 보며 온천을 쓰고 싶다면 객실 타입과 전망 조건을 먼저 확인하는 편이 좋습니다.,하코다테 유노카와에서 바다 전망 객실 노천탕으로 잘 알려진 숙소입니다. 객실에서 바다를 보며 온천을 쓰고 싶다면 객실 타입과 전망 조건을 먼저 확인하는 편이 좋습니다.,바다 전망 객실 노천탕 중심,바다 전망 객실 노천탕 중심,"객실 전망/타입 확인이 필요합니다,객실 배정 기대치 확인합니다","객실 전망/타입 확인이 필요합니다,객실 배정 기대치를 확인합니다","직접 읽은 후기 333건, 온천 관련 251건, 본문 확인 플랫폼 7개"
fujiyoshida-kaneyamaen,후지산온센 호텔 카네야마엔,kanto,false,,"후지산 전망과 대형 온천시설을 함께 기대하는 야마나시 대표 숙소입니다. 객실 내 프라이빗탕보다 정원, 전망, 공용 온천을 중심으로 보는 편이 좋습니다.","후지산 전망과 대형 온천시설을 함께 기대하는 야마나시 대표 숙소입니다. 객실 내 프라이빗탕보다 정원, 전망, 공용 온천을 중심으로 보는 편이 좋습니다.",대욕장/전망 온천 중심,대욕장/전망 온천 중심,"전망은 날씨 영향이 있습니다,대형 시설형 숙소입니다","전망은 날씨 영향이 있습니다,대형 시설형 숙소입니다","직접 읽은 후기 315건, 온천 관련 230건, 본문 확인 플랫폼 4개"
hakone-byakudan,하코네 고라 백단,kanto,false,,전 객실 노천탕을 앞세우는 하코네 고급 료칸형 숙소입니다. 객실에서 프라이빗하게 온천을 쓰고 싶은 여행자에게 잘 맞습니다.,전 객실 노천탕을 앞세우는 하코네 고급 료칸형 숙소입니다. 객실에서 프라이빗하게 온천을 쓰고 싶은 여행자에게 잘 맞습니다.,전 객실 노천탕 중심,전 객실 노천탕 중심,"객실 노천탕 중심입니다,계절에 따라 벌레나 냉감 확인을 권장합니다","객실 노천탕 중심입니다,계절에 따라 벌레나 냉감 확인을 권장합니다","직접 읽은 후기 342건, 온천 관련 234건, 본문 확인 플랫폼 4개"
hakone-fontainebleau,하코네 퐁텐블로 센고쿠테이,kanto,false,,오베르주형 숙박과 객실 노천탕을 함께 기대하는 하코네 숙소입니다. 대욕장보다 객실 안 온천과 식사 경험을 중심으로 보는 편이 좋습니다.,오베르주형 숙박과 객실 노천탕을 함께 기대하는 하코네 숙소입니다. 대욕장보다 객실 안 온천과 식사 경험을 중심으로 보는 편이 좋습니다.,전 객실 노천탕 중심,전 객실 노천탕 중심,"대욕장 부재 확인이 필요합니다,객실 노천탕 중심입니다","대욕장 부재 확인이 필요합니다,객실 노천탕 중심입니다","직접 읽은 후기 725건, 온천 관련 673건, 본문 확인 플랫폼 4개"
hakone-gen-gora,겐 하코네 고라,kanto,true,,"고라의 고급 숙소 계열로, 객실 단위의 프라이빗한 온천 체류를 기대할 때 보기 좋습니다. 대형 대욕장형 숙소보다 객실 내 프라이빗탕과 서비스 완성도를 함께 보는 쪽에 가깝습니다.","고라의 고급 숙소 계열로, 객실 단위의 프라이빗한 온천 체류를 기대할 때 보기 좋습니다. 대형 대욕장형 숙소보다 객실 내 프라이빗탕과 서비스 완성도를 함께 보는 쪽에 가깝습니다.",객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 타입별 욕장 구성 확인이 필요합니다,가격 기대치 확인합니다","객실 타입별 욕장 구성 확인이 필요합니다,가격 기대치를 확인합니다","직접 읽은 후기 321건, 온천 관련 249건, 본문 확인 플랫폼 6개"
hakone-ginyu,하코네 긴유,kanto,true,,하코네에서 객실 노천탕과 전망형 체류감으로 잘 알려진 숙소입니다. 공용 온천보다 객실에서 조용히 온천을 쓰는 경험을 우선할 때 보기 좋습니다.,하코네에서 객실 노천탕과 전망형 체류감으로 잘 알려진 숙소입니다. 공용 온천보다 객실에서 조용히 온천을 쓰는 경험을 우선할 때 보기 좋습니다.,객실 노천탕 중심,객실 노천탕 중심,"객실별 전망/욕장 차이 확인이 필요합니다,고가 숙소 기대치 확인합니다","객실별 전망/욕장 차이 확인이 필요합니다,고가 숙소 기대치를 확인합니다","직접 읽은 후기 391건, 온천 관련 253건, 본문 확인 플랫폼 4개"
hakone-gora-kadan,고라 카단,kanto,false,,"고라 지역의 고급 료칸형 숙소입니다. 객실 내 프라이빗탕, 예약제 대절탕, 공용 대욕장을 함께 볼 수 있어 각 욕장의 이용 조건을 분리해 확인하는 편이 좋습니다.","고라 지역의 고급 료칸형 숙소입니다. 객실 내 프라이빗탕, 예약제 대절탕, 공용 대욕장을 함께 볼 수 있어 각 욕장의 이용 조건을 분리해 확인하는 편이 좋습니다.",객실 내 프라이빗탕 + 대절탕,객실 내 프라이빗탕 + 대절탕,"객실 타입별 온천 구성 확인이 필요합니다,대절탕은 객실 내 프라이빗탕과 별도로 확인합니다","객실 타입별 온천 구성 확인이 필요합니다,대절탕은 객실 내 프라이빗탕과 별도로 확인합니다","직접 읽은 후기 398건, 온천 관련 272건, 본문 확인 플랫폼 5개"
hakone-gora-karaku,하코네 고라 가라쿠,kanto,false,,"객실 노천탕, 전망 대욕장, 예약제 대절탕을 함께 볼 수 있는 하코네 숙소입니다. 하나의 온천 있음으로 보기보다 객실 내 프라이빗탕, 공용 온천, 대절탕을 나눠 확인하는 편이 좋습니다.","객실 노천탕, 전망 대욕장, 예약제 대절탕을 함께 볼 수 있는 하코네 숙소입니다. 하나의 온천 있음으로 보기보다 객실 내 프라이빗탕, 공용 온천, 대절탕을 나눠 확인하는 편이 좋습니다.",객실 노천탕 + 전망 대욕장,객실 노천탕 + 전망 대욕장,"대절탕 예약 조건 확인이 필요합니다,객실 내 프라이빗탕과 대절탕 구분이 필요합니다","대절탕 예약 조건 확인이 필요합니다,객실 내 프라이빗탕과 대절탕 구분이 필요합니다","직접 읽은 후기 372건, 온천 관련 234건, 본문 확인 플랫폼 4개"
hakone-kowakien-tenyu,하코네 코와키엔 텐유,kanto,false,,"하코네 고와키엔권의 대형 리조트형 온천 숙소입니다. 객실 노천탕과 공용 노천탕, 리조트 시설을 함께 즐기고 싶을 때 잘 맞습니다.","하코네 고와키엔권의 대형 리조트형 온천 숙소입니다. 객실 노천탕과 공용 노천탕, 리조트 시설을 함께 즐기고 싶을 때 잘 맞습니다.",객실 노천탕 + 리조트 대욕장,객실 노천탕 + 리조트 대욕장,"대형 리조트형 동선 확인합니다,객실 노천탕과 공용 온천 구분이 필요합니다","대형 리조트형 동선 확인합니다,객실 노천탕과 공용 온천 구분이 필요합니다","직접 읽은 후기 362건, 온천 관련 238건, 본문 확인 플랫폼 3개"
hakone-matsuzakaya,마츠자카야 혼텐,kanto,false,,"하코네에서 온천 수질과 역사성까지 함께 보고 싶은 숙소입니다. 객실 내 프라이빗탕, 대절탕, 대욕장이 함께 확인되므로 욕장 종류별 조건을 나눠 보는 편이 좋습니다.","하코네에서 온천 수질과 역사성까지 함께 보고 싶은 숙소입니다. 객실 내 프라이빗탕, 대절탕, 대욕장이 함께 확인되므로 욕장 종류별 조건을 나눠 보는 편이 좋습니다.",객실 내 프라이빗탕 + 대절탕 + 대욕장,객실 내 프라이빗탕 + 대절탕 + 대욕장,"수질 만족 흐름 강함,계절별 온도감과 동선 확인을 권장합니다","수질 만족 흐름 강함,계절별 온도감과 동선 확인을 권장합니다","직접 읽은 후기 308건, 온천 관련 266건, 본문 확인 플랫폼 6개"
hakone-yama-no-chaya,야마노차야,kanto,false,,하코네의 조용한 료칸 체류와 객실 노천탕을 함께 기대하는 숙소입니다. 모든 객실 구성이 같지 않을 수 있어 객실 타입별 노천탕 여부를 먼저 확인하는 편이 좋습니다.,하코네의 조용한 료칸 체류와 객실 노천탕을 함께 기대하는 숙소입니다. 모든 객실 구성이 같지 않을 수 있어 객실 타입별 노천탕 여부를 먼저 확인하는 편이 좋습니다.,객실 노천탕 중심,객실 노천탕 중심,"객실 타입별 노천탕 여부 확인이 필요합니다,계단/동선 확인을 권장합니다","객실 타입별 노천탕 여부 확인이 필요합니다,계단/동선 확인을 권장합니다","직접 읽은 후기 303건, 온천 관련 122건, 본문 확인 플랫폼 10개"
hakone-yuyado-zen,하코네 유야도 젠,kanto,false,,"전 객실 반노천탕을 중심으로 온천 시간을 보내는 하코네 숙소입니다. 대욕장보다 방 안 온천을 우선하는 여행자에게 맞고, 온도 조절과 계절 요소는 함께 확인하는 편이 좋습니다.","전 객실 반노천탕을 중심으로 온천 시간을 보내는 하코네 숙소입니다. 대욕장보다 방 안 온천을 우선하는 여행자에게 맞고, 온도 조절과 계절 요소는 함께 확인하는 편이 좋습니다.",전 객실 반노천탕 중심,전 객실 반노천탕 중심,"대욕장 없음 확인이 필요합니다,온도 조절과 벌레 등 계절 요소 확인을 권장합니다","대욕장 없음 확인이 필요합니다,온도 조절과 벌레 등 계절 요소 확인을 권장합니다","직접 읽은 후기 669건, 온천 관련 589건, 본문 확인 플랫폼 7개"
isawa-fujinoya,샤토레제 호텔 료칸 후지노야,kanto,false,,"이사와 온천에서 객실 내 프라이빗탕, 대욕장, 대절탕을 모두 비교해볼 수 있는 숙소입니다. 객실 내 프라이빗탕까지 중요하게 보는 여행자라면 객실 타입별 욕장 조건을 먼저 확인하는 편이 좋습니다.","이사와 온천에서 객실 내 프라이빗탕, 대욕장, 대절탕을 모두 비교해볼 수 있는 숙소입니다. 객실 내 프라이빗탕까지 중요하게 보는 여행자라면 객실 타입별 욕장 조건을 먼저 확인하는 편이 좋습니다.",객실 내 프라이빗탕 + 대욕장 + 대절탕,객실 내 프라이빗탕 + 대욕장 + 대절탕,"객실 타입별 욕장 구성 확인이 필요합니다,대절탕 예약/온도 확인을 권장합니다","객실 타입별 욕장 구성 확인이 필요합니다,대절탕 예약/온도 확인을 권장합니다","직접 읽은 후기 562건, 온천 관련 548건, 본문 확인 플랫폼 5개"
isawa-itoyanagi,이사와 메이토칸 이토야나기,kanto,false,,이사와 온천의 전통 료칸형 숙소입니다. 객실 내 프라이빗탕보다 대욕장과 온천지 숙박 분위기를 중심으로 보는 편이 좋습니다.,이사와 온천의 전통 료칸형 숙소입니다. 객실 내 프라이빗탕보다 대욕장과 온천지 숙박 분위기를 중심으로 보는 편이 좋습니다.,대욕장 중심,대욕장 중심,"공용 온천 중심 숙소입니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","공용 온천 중심 숙소입니다,객실 내 프라이빗탕 여부는 객실 타입별 확인이 필요합니다","직접 읽은 후기 913건, 온천 관련 731건, 본문 확인 플랫폼 5개"
isawa-itoyanagi-yuwa,이토야나기 고야도 유와,kanto,false,,이사와 온천에서 조용한 소규모 체류를 기대할 때 보기 좋은 숙소입니다. 객실 조건과 공용 온천 구성을 함께 확인하면 선택 기준이 더 분명해집니다.,이사와 온천에서 조용한 소규모 체류를 기대할 때 보기 좋은 숙소입니다. 객실 조건과 공용 온천 구성을 함께 확인하면 선택 기준이 더 분명해집니다.,소규모 온천 숙박 중심,소규모 온천 숙박 중심,"객실 조건 확인이 필요합니다,공용 온천 구성 확인을 권장합니다","객실 조건 확인이 필요합니다,공용 온천 구성 확인을 권장합니다","직접 읽은 후기 789건, 온천 관련 628건, 본문 확인 플랫폼 8개"
kawaguchiko-fufu,후후 가와구치코,kanto,true,,"가와구치코의 고급 리조트형 숙소입니다. 객실 내 프라이빗탕과 조용한 체류감을 중시할 때 보기 좋고, 식사와 서비스 기대치도 함께 확인하는 편이 좋습니다.","가와구치코의 고급 리조트형 숙소입니다. 객실 내 프라이빗탕과 조용한 체류감을 중시할 때 보기 좋고, 식사와 서비스 기대치도 함께 확인하는 편이 좋습니다.",객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 타입별 욕장 구성 확인이 필요합니다,고급 리조트형 기대치 확인합니다","객실 타입별 욕장 구성 확인이 필요합니다,고급 리조트형 기대치를 확인합니다","직접 읽은 후기 303건, 온천 관련 159건, 본문 확인 플랫폼 7개"
kawaguchiko-kukuna,더 쿠쿠나,kanto,false,,"가와구치코 호수 전망과 리조트형 온천 경험을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화보다 전망, 대욕장, 리조트 체류감을 함께 보는 편이 자연스럽습니다.","가와구치코 호수 전망과 리조트형 온천 경험을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 특화보다 전망, 대욕장, 리조트 체류감을 함께 보는 편이 자연스럽습니다.",전망형 대욕장/리조트 온천,전망형 대욕장/리조트 온천,"전망은 객실 타입과 날씨 영향이 있습니다,리조트형 동선 확인을 권장합니다","전망은 객실 타입과 날씨 영향이 있습니다,리조트형 동선 확인을 권장합니다","직접 읽은 후기 314건, 온천 관련 188건, 본문 확인 플랫폼 4개"
yugawara-ashikari,유가와라 스파 료칸 아시카리,kanto,false,,유가와라의 조용한 료칸 체류와 온천 이용을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 포함 여부는 객실 타입별로 달라질 수 있어 예약 조건 확인이 필요합니다.,유가와라의 조용한 료칸 체류와 온천 이용을 함께 기대하는 숙소입니다. 객실 내 프라이빗탕 포함 여부는 객실 타입별로 달라질 수 있어 예약 조건 확인이 필요합니다.,료칸 온천 숙박 중심,료칸 온천 숙박 중심,"객실 타입별 욕장 구성 확인이 필요합니다,조용한 료칸형 체류","객실 타입별 욕장 구성 확인이 필요합니다,조용한 료칸형 체류","직접 읽은 후기 485건, 온천 관련 356건, 본문 확인 플랫폼 3개"
beppu-amane-resort-gahama,아마네 리조트 가하마,kyushu,false,,벳푸에서 프라이빗한 별장형 체류를 기대할 때 보기 좋은 숙소입니다. 객실 내 프라이빗탕과 조용한 리조트형 서비스를 우선하는 여행자에게 잘 맞습니다.,벳푸에서 프라이빗한 별장형 체류를 기대할 때 보기 좋은 숙소입니다. 객실 내 프라이빗탕과 조용한 리조트형 서비스를 우선하는 여행자에게 잘 맞습니다.,객실 내 프라이빗탕 중심,객실 내 프라이빗탕 중심,"객실 내 프라이빗탕 중심 프라이빗 체류형입니다,세이카이와 공용 시설 이용 조건 구분이 필요합니다","객실 내 프라이빗탕 중심 프라이빗 체류형입니다,세이카이와 공용 시설 이용 조건 구분이 필요합니다","직접 읽은 후기 341건, 온천 관련 200건, 본문 확인 플랫폼 7개"
beppu-amane-resort-seikai,아마네 리조트 세이카이,kyushu,true,,"벳푸 해안가에서 객실 노천탕과 바다 전망을 함께 기대하는 대표 숙소입니다. 객실 내 프라이빗탕을 중심으로 보되, 공용 온천 시설도 따로 확인하는 편이 좋습니다.","벳푸 해안가에서 객실 노천탕과 바다 전망을 함께 기대하는 대표 숙소입니다. 객실 내 프라이빗탕을 중심으로 보되, 공용 온천 시설도 따로 확인하는 편이 좋습니다.",객실 노천탕 + 공용 온천,객실 노천탕 + 공용 온천,"객실 노천탕과 공용 온천 구분이 필요합니다,해안 전망 기대치 확인합니다","객실 노천탕과 공용 온천 구분이 필요합니다,해안 전망 기대치를 확인합니다","직접 읽은 후기 399건, 온천 관련 310건, 본문 확인 플랫폼 3개"
beppu-ana-intercontinental,ANA 인터컨티넨탈 벳푸 리조트 앤 스파,kyushu,false,,"벳푸의 글로벌 럭셔리 리조트형 온천 숙소입니다. 전통 료칸보다 고급 호텔 안의 대욕장, 전망, 리조트 서비스를 함께 보는 편이 맞습니다.","벳푸의 글로벌 럭셔리 리조트형 온천 숙소입니다. 전통 료칸보다 고급 호텔 안의 대욕장, 전망, 리조트 서비스를 함께 보는 편이 맞습니다.",럭셔리 리조트 대욕장 중심,럭셔리 리조트 대욕장 중심,"리조트형 온천 경험 중심입니다,전통 료칸/객실 내 프라이빗탕 중심 기대와 구분","리조트형 온천 경험 중심입니다,전통 료칸/객실 내 프라이빗탕 중심 기대와 구분","직접 읽은 후기 339건, 온천 관련 206건, 본문 확인 플랫폼 7개"
