direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
18,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14930327,ja,2025/12/4,2025年11月宿泊,5,5,5,大満足の旅館,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,377,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
19,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14930103,ja,2025/12/4,2025年12月宿泊,4,5,5,紅葉の時季に泊まれて良かった椎葉山荘,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,270,yes,room_open_air_bath;room_bath;open_air_public_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring;booking_confusion,sister_property_movement,露天;露天風呂;椎葉山荘;檜風呂;大正屋,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 객실 내탕/檜風呂 맥락 언급; 객실 노천탕 맥락 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
20,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14873230,ja,2025/11/10,2025年11月宿泊,3,4,3,山の湯最高です,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,94,yes,facility_wide,water_texture;booking_confusion,sister_property_movement;cleanliness,温泉;山の湯;清掃;大正屋,"우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,cleanliness",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
21,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14817233,ja,2025/10/19,2025年9月宿泊,4,4,5,山の中！　イメージと違ったかな？,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,70,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
22,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14808755,ja,2025/10/15,2025年9月宿泊,3,3,4,家族旅行におすすめ　部屋も広くて快適でした,和洋室 【いつもより贅沢に】大正屋特選牛陶板焼プラン《四季の彩を味わう椎葉会席》,85,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
23,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14782549,ja,2025/10/5,2025年10月宿泊,5,5,4,温泉、料理が最高,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,66,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
24,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14779681,ja,2025/10/4,2025年10月宿泊,5,5,5,嬉野の自然豊かな山間に佇む癒しの一軒宿,和洋室 【いつもより贅沢に】大正屋特選牛陶板焼プラン《四季の彩を味わう椎葉会席》,368,yes,room_bath;open_air_public_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;露天;露天風呂;しいばの湯;山の湯;送迎;大正屋;滝の湯,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 객실 내탕/檜風呂 맥락 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
25,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14749557,ja,2025/9/22,2025年9月宿泊,5,5,5,接客が素晴らしい,和室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,207,yes,unclear,crowding;booking_confusion,sister_property_movement;crowding,椎葉山荘;大正屋,"주의 신호: sister_property_movement,crowding",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
26,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14694182,ja,2025/8/31,2025年8月宿泊,5,5,5,すべて素晴らしい宿です,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,65,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
27,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14678238,ja,2025/8/24,2025年6月宿泊,4,5,4,米寿、還暦のお祝いに,和洋室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,64,yes,unclear,booking_confusion,sister_property_movement,椎葉山荘;大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
28,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14646814,ja,2025/8/13,2025年8月宿泊,5,5,4,お風呂が特に良かった,和洋室 【当館人気No1】◆佐賀のブランド佐賀牛陶板焼き付プラン《選りすぐりの厳選食材満載》,215,yes,private_bath;open_air_public_bath;public_bath,public_bath_hot_spring;water_texture;private_bath_experience,cleanliness,露天;露天風呂;しいばの湯;貸切;清掃,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 대절탕/프라이빗탕 맥락 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: cleanliness,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
29,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14636028,ja,2025/8/11,2025年8月宿泊,5,5,5,心づくしのおもてなしが最高の宿,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,362,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;aging_or_access,温泉;大浴場;大正屋,"대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
30,Jalan,https://www.jalan.net/yad387276/kuchikomi/,latest_1,Jalan_14627047,ja,2025/8/7,2025年6月宿泊,4,4,5,ほたるの見れる宿,和洋室 【いつもより贅沢に】大正屋特選牛陶板焼プラン《四季の彩を味わう椎葉会席》,219,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
31,Jalan,https://www.jalan.net/yad387276/kuchikomi/2.HTML,latest_2,Jalan_14621267,ja,2025/8/4,2025年8月宿泊,5,5,5,部屋も温泉も満足です。,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,153,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;temperature,温泉;大正屋,"대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,temperature",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
32,Jalan,https://www.jalan.net/yad387276/kuchikomi/2.HTML,latest_2,Jalan_14611102,ja,2025/7/31,2025年7月宿泊,5,5,5,安定のおもてなし,和洋室 ◆お部屋おまかせでお得◆大正屋特選牛をメインとしたスタンダード椎葉会席プラン,141,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;大正屋,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
33,Jalan,https://www.jalan.net/yad387276/kuchikomi/2.HTML,latest_2,Jalan_14606216,ja,2025/7/29,2025年7月宿泊,5,5,5,素晴らしい景色,和洋室 ◆お部屋おまかせでお得◆大正屋特選牛をメインとしたスタンダード椎葉会席プラン,116,yes,facility_wide,water_texture;booking_confusion,sister_property_movement;insects,温泉;虫;大正屋,"우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,insects",mixed,body_positive_and_negative,high,issue_caution_calibration_needed
34,Jalan,https://www.jalan.net/yad387276/kuchikomi/2.HTML,latest_2,Jalan_14577838,ja,2025/7/17,2025年7月宿泊,4,4,3,自然に癒されて,和室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,171,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
35,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14512118,ja,2025/6/16,2025年5月宿泊,5,5,5,リフレッシュに最高,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,210,yes,facility_wide,water_texture;booking_confusion,sister_property_movement,温泉;大正屋,우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
36,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14486170,ja,2025/6/4,2025年5月宿泊,5,4,5,美しい景色,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,65,yes,unclear,booking_confusion,sister_property_movement,大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
37,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14330498,ja,2025/3/29,2025年3月宿泊,5,5,4,鳥の鳴き声に癒されてまったりできました,和洋室 【早期割90】選りすぐりの厳選食材満載◆佐賀牛陶板焼き付プラン《早期予約で2000円引》,301,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,,温泉;露天;露天風呂;椎葉の湯;山の湯,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
38,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14310339,ja,2025/3/20,2025年2月宿泊,4,4,4,素敵なお宿でした,和洋室 【当館人気No1】◆佐賀のブランド佐賀牛陶板焼き付プラン《選りすぐりの厳選食材満載》,114,yes,public_bath,public_bath_hot_spring,,,대욕장/공용탕 이용 경험 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
39,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14296954,ja,2025/3/14,2025年1月宿泊,5,5,5,雰囲気良し,和洋室 ◆お部屋おまかせでお得◆大正屋特選牛をメインとしたスタンダード椎葉会席プラン,278,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;大正屋,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
40,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14289027,ja,2025/3/10,2025年3月宿泊,4,4,5,女子旅,和洋室 【早期割90】選りすぐりの厳選食材満載◆佐賀牛陶板焼き付プラン《早期予約で2000円引》,97,no,unclear,booking_confusion,,,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
41,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14269039,ja,2025/3/2,2025年2月宿泊,5,5,5,ゆっくり幸せ、温泉三昧,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,267,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;露天;露天風呂;椎葉山荘;送迎;大正屋,계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
42,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14263099,ja,2025/2/27,2025年2月宿泊,5,5,5,素晴らしい接客です！,和洋室 【早期割90】選りすぐりの厳選食材満載◆佐賀牛陶板焼き付プラン《早期予約で2000円引》,173,yes,unclear,booking_confusion,,椎葉山荘,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
43,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14252669,ja,2025/2/23,2024年12月宿泊,5,5,5,全てにおいて、良い宿,和洋室 【記念日プラン】大切な日を椎葉山荘で◆ハッピーアニバーサリー◆大正屋特選牛陶板焼《ケーキなど特典付》,187,yes,unclear,booking_confusion,sister_property_movement,椎葉山荘;大正屋,주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
44,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14232022,ja,2025/2/14,2025年1月宿泊,5,5,5,部屋が広くてゆっくり寛げました,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,204,yes,open_air_public_bath;public_bath,public_bath_hot_spring;water_texture;crowding;booking_confusion,sister_property_movement;aging_or_access;crowding,露天;露天風呂;大浴場;山の湯;大正屋,"계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access,crowding",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
45,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14197225,ja,2025/1/30,2025年1月宿泊,5,4,5,おもてなしが最高。,和洋室 【じゃらんスペシャルウィーク】初秋限定◆大正屋特選牛をメインとした椎葉会席《佐賀厳選食材を愉しむ》,112,yes,public_bath,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;aging_or_access,送迎;大正屋,"대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
46,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14171874,ja,2025/1/17,2025年1月宿泊,4,3,3,月１回の温泉旅行,和洋室 【当館スタンダード】大正屋特選牛をメインとした椎葉会席プラン《佐賀の厳選食材を愉しむ》,435,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;temperature,温泉;椎葉山荘;かけ流し;大正屋,"대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,temperature",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
47,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14170705,ja,2025/1/16,2024年12月宿泊,5,5,5,世代を問わず人気の宿,和洋室 【当館人気No1】◆佐賀のブランド佐賀牛陶板焼き付プラン《選りすぐりの厳選食材満載》,155,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture,,温泉,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
48,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14163604,ja,2025/1/13,2024年12月宿泊,4,5,4,素敵な宿,和洋室 【早期割60】大正屋特選牛陶板焼きプラン《早期予約で1000円引》,170,yes,facility_wide,water_texture;booking_confusion,sister_property_movement;aging_or_access,温泉;大正屋,"우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
49,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14129128,ja,2024/12/22,2024年12月宿泊,5,5,5,静かにリラックスして過ごせました,和洋室 【早期割60】大正屋特選牛陶板焼きプラン《早期予約で1000円引》,132,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement,温泉;山の湯;大正屋,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
50,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14085716,ja,2024/11/24,2024年11月宿泊,4,4,4,親孝行旅行,和洋室 【じゃらんスペシャルウィーク】初秋限定◆大正屋特選牛をメインとした椎葉会席《佐賀厳選食材を愉しむ》,329,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,sister_property_movement;aging_or_access,温泉;露天;露天風呂;大正屋,"계류/공용 노천탕 경험 언급; 대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 또는 온천수 언급; 주의 신호: sister_property_movement,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
51,Jalan,https://www.jalan.net/yad387276/kuchikomi/archive/,archive_1,Jalan_14083255,ja,2024/11/23,2024年11月宿泊,5,4,5,広々とした部屋が大好きです。,和洋室 【一泊朝食プラン】観光、一人旅にもオススメ《朝食は自家製とろける温泉湯豆腐付》,91,yes,facility_wide,water_texture,,温泉,우레시노 물성/피부감 또는 온천수 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
