slug,region_group,region,area,previous_display_name_ko,verified_display_name_ko,name_ja,name_en,aliases_ko,name_verification_status,review_note
noboribetsu-daiichi-takimotokan,hokkaido,noboribetsu,홋카이도 noboribetsu,第一滝本館,다이이치 타키모토칸,第一滝本館,,다이이치 타키모토칸 | 노보리베츠 다이이치 타키모토칸,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
tokachigawa-seijakubou,hokkaido,tokachigawa,홋카이도 tokachigawa,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,도카치가와 온천 세이자쿠보,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,,도카치가와 온천 세이자쿠보 | 세이자쿠보 | 도카치가와 세이자쿠보,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yunokawa-hanabishi,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,函館・湯の川温泉 花びしホテル,하코다테 유노카와 온천 하나비시 호텔,函館・湯の川温泉 花びしホテル,,하코다테 유노카와 온천 하나비시 호텔 | 하나비시 호텔 | 유노카와 하나비시 호텔,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yunokawa-heiseikan-shiosaitei,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,平成館 しおさい亭,헤이세이칸 시오사이테이,平成館 しおさい亭,,헤이세이칸 시오사이테이 | 유노카와 헤이세이칸 시오사이테이,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yunokawa-heiseikan-hanatsuki,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,平成館 しおさい亭 別館 花月,헤이세이칸 시오사이테이 별관 하나츠키,平成館 しおさい亭 別館 花月,,헤이세이칸 시오사이테이 별관 하나츠키 | 시오사이테이 별관 하나츠키 | 헤이세이칸 하나츠키,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yunokawa-nagisatei,hokkaido,yunokawa-hakodate,홋카이도 yunokawa-hakodate,湯の川プリンスホテル渚亭,유노카와 프린스 호텔 나기사테이,湯の川プリンスホテル渚亭,,유노카와 프린스 호텔 나기사테이 | 나기사테이 | 유노카와 나기사테이,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
fujiyoshida-kaneyamaen,kanto,fujiyoshida,야마나시 가와구치코/후지요시다,후지산온센 호텔 카네야마엔,후지산온센 호텔 카네야마엔,庭園と感動の宿 富士山温泉 ホテル鐘山苑,Hotel Kaneyamaen,후지산온센 호텔 카네야마엔 | 호텔 카네야마엔 | 후지산 온천 호텔 카네야마엔,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-gen-gora,kanto,hakone,가나가와 하코네,겐 하코네 고라,겐 하코네 고라,玄 箱根強羅,Gen Hakone Gora,겐 하코네 고라 | 하코네 겐 고라,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-gora-kadan,kanto,hakone,가나가와 하코네,고라 카단,고라 카단,強羅花壇,Gora Kadan,고라 카단 | 하코네 고라 카단,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-matsuzakaya,kanto,hakone,가나가와 하코네,마츠자카야 혼텐,마츠자카야 혼텐,箱根の名湯 松坂屋本店,Matsuzakaya Honten,마츠자카야 혼텐 | 하코네 마츠자카야 혼텐,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-yama-no-chaya,kanto,hakone,가나가와 하코네,야마노차야,야마노차야,山の茶屋,Yama no Chaya,야마노차야 | 하코네 야마노차야,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-gora-karaku,kanto,hakone,가나가와 하코네,하코네 고라 가라쿠,하코네 고라 가라쿠,箱根・強羅 佳ら久,Hakone Gora Karaku,하코네 고라 가라쿠 | 고라 가라쿠,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-byakudan,kanto,hakone,가나가와 하코네,하코네 고라 백단,하코네 고라 백단,箱根強羅 白檀,Hakone Gora Byakudan,하코네 고라 백단 | 하코네 백단 | 고라 백단,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-ginyu,kanto,hakone,가나가와 하코네,하코네 긴유,하코네 긴유,箱根吟遊,Hakone Ginyu,하코네 긴유 | 긴유,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-yuyado-zen,kanto,hakone,가나가와 하코네,하코네 유야도 젠,하코네 유야도 젠,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,하코네 유야도 젠 | 유야도 젠,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-kowakien-tenyu,kanto,hakone,가나가와 하코네,하코네 코와키엔 텐유,하코네 코와키엔 텐유,箱根小涌園 天悠,Hakone Kowakien Ten-yu,하코네 코와키엔 텐유 | 텐유 | 하코네 텐유,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
hakone-fontainebleau,kanto,hakone,가나가와 하코네,하코네 폰테느 블로 센고쿠테이,하코네 퐁텐블로 센고쿠테이,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,하코네 퐁텐블로 센고쿠테이 | 하코네 폰테느 블로 센고쿠테이 | 퐁텐블로 센고쿠테이,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
isawa-fujinoya,kanto,isawa,야마나시 이사와,Chateraise Hotel Ryokan Fujinoya / Fujinoya,샤토레제 호텔 료칸 후지노야,シャトレーゼホテル 旅館 富士野屋,Chateraise Hotel Ryokan Fujinoya,샤토레제 호텔 료칸 후지노야 | 이사와온천 후지노야 | 후지노야 | Chateraise Hotel Ryokan Fujinoya / Fujinoya,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
isawa-itoyanagi,kanto,isawa,야마나시 이사와,Itoyanagi / Isawa Meito-kan Itoyanagi,이사와 메이토칸 이토야나기,石和名湯館 糸柳,Itoyanagi,이사와 메이토칸 이토야나기 | 이토야나기 | 이사와 이토야나기 | Itoyanagi / Isawa Meito-kan Itoyanagi,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
isawa-itoyanagi-yuwa,kanto,isawa,야마나시 이사와,Itoyanagi Koyado Yuwa,이토야나기 고야도 유와,糸柳こやど ゆわ,Itoyanagi Koyado Yuwa,이토야나기 고야도 유와 | 고야도 유와 | 이사와 고야도 유와 | Itoyanagi Koyado Yuwa,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kawaguchiko-kukuna,kanto,kawaguchiko,야마나시 가와구치코/후지요시다,더 쿠쿠나,더 쿠쿠나,THE KUKUNA,The Kukuna,더 쿠쿠나 | 가와구치코 더 쿠쿠나,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kawaguchiko-fufu,kanto,kawaguchiko,야마나시 가와구치코/후지요시다,후후 가와구치코,후후 가와구치코,ふふ 河口湖,Fufu Kawaguchiko,후후 가와구치코 | 가와구치코 후후,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yugawara-ashikari,kanto,yugawara,가나가와 유가와라,유가와라 스파 료칸 아시카리,유가와라 스파 료칸 아시카리,懐石旅庵 阿しか里,Ashikari,유가와라 스파 료칸 아시카리 | 아시카리 | 유가와라 아시카리,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
beppu-amane-resort-gahama,kyushu,beppu,오이타 벳푸,AMANE RESORT GAHAMA（ガハマテラス）,아마네 리조트 가하마,AMANE RESORT GAHAMA（ガハマテラス）,,아마네 리조트 가하마 | 가하마 테라스 | 아마네 리조트 가하마 테라스,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
beppu-amane-resort-seikai,kyushu,beppu,오이타 벳푸,AMANE RESORT SEIKAI（潮騒の宿 晴海）,아마네 리조트 세이카이,AMANE RESORT SEIKAI（潮騒の宿 晴海）,,아마네 리조트 세이카이 | 아마네 리조트 하루미 | 시오사이노야도 세이카이,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
beppu-ana-intercontinental,kyushu,beppu,오이타 벳푸,ANAインターコンチネンタル別府リゾート＆スパ by IHG,ANA 인터컨티넨탈 벳푸 리조트 앤 스파,ANAインターコンチネンタル別府リゾート＆スパ by IHG,,ANA 인터컨티넨탈 벳푸 리조트 앤 스파 | ANA 인터컨티넨탈 벳푸 | 인터컨티넨탈 벳푸,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
beppu-kannawaen,kyushu,beppu,오이타 벳푸,別府鉄輪温泉 山荘 神和苑,벳푸 칸나와엔,別府鉄輪温泉 山荘 神和苑,,벳푸 칸나와엔 | 산소 칸나와엔 | 벳푸 철륜온천 칸나와엔,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
beppu-kokoroan,kyushu,beppu,오이타 벳푸,匠晴の宿 心庵,벳푸 코코로안,匠晴の宿 心庵,,벳푸 코코로안 | 쇼세이노야도 코코로안 | 코코로안,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
ibusuki-yurian,kyushu,ibusuki,가고시마 이부스키,Yurian,이부스키 유리안,温泉水プール＆夫婦露天風呂の離れ宿 悠離庵,Yurian,이부스키 유리안 | 유리안 | Yurian,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
ibusuki-hakusuikan,kyushu,ibusuki,가고시마 이부스키,이부스키 하쿠스이칸,이부스키 하쿠스이칸,指宿白水館,Ibusuki Hakusuikan,이부스키 하쿠스이칸 | 하쿠스이칸,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kirishima-lavista,kyushu,kirishima,가고시마 기리시마,라비스타 기리시마 힐즈,라비스타 기리시마 힐즈,ラビスタ霧島ヒルズ,La Vista Kirishima Hills,라비스타 기리시마 힐즈 | 기리시마 라비스타 힐즈,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kurokawa-takefue,kyushu,kurokawa,구마모토 구로카와,Takefue,구로카와 다케후에,秘境 白川源泉 山荘 竹ふえ,Takefue,구로카와 다케후에 | 다케후에 | 산소 다케후에 | Takefue,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kurokawa-sanga,kyushu,kurokawa,구마모토 구로카와,료칸 산가,료칸 산가,黒川温泉 旅館山河,Ryokan Sanga,료칸 산가 | 구로카와 료칸 산가,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kurokawa-okunoyu,kyushu,kurokawa,구마모토 구로카와,료칸 오쿠노유,료칸 오쿠노유,黒川温泉 旅館奥の湯,Ryokan Okunoyu,료칸 오쿠노유 | 구로카와 료칸 오쿠노유,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
kurokawa-yamamizuki,kyushu,kurokawa,구마모토 구로카와,야마미즈키,야마미즈키,黒川温泉 山みず木,Yamamizuki,야마미즈키 | 구로카와 야마미즈키,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
takeo-koyokaku,kyushu,takeo,사가 다케오,가이세키야도 오기야,다케오온천 가이세키야도 오기야,武雄温泉 懐石宿 扇屋,Kaiseki Yado Ogiya,다케오온천 가이세키야도 오기야 | 가이세키야도 오기야 | 다케오 오기야,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
ureshino-taishoya,kyushu,ureshino,사가 우레시노,우레시노 온천 다이쇼야,우레시노 온천 다이쇼야,嬉野温泉 大正屋 / 嬉野観光ホテル大正屋,Ureshino Kanko Hotel Taishoya,우레시노 온천 다이쇼야 | 다이쇼야,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
ureshino-shiibasanso,kyushu,ureshino,사가 우레시노,우레시노 온천 시이바산소,우레시노 온천 시이바산소,嬉野温泉 椎葉山荘 / 大正屋 椎葉山荘,Shiibasanso,우레시노 온천 시이바산소 | 시이바산소,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
ureshino-wataya-besso,kyushu,ureshino,사가 우레시노,우레시노 온천 와타야벳소,우레시노 온천 와타야벳소,嬉野温泉 和多屋別荘,Wataya Besso,우레시노 온천 와타야벳소 | 와타야벳소,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-ryoutiku,kyushu,yufuin,오이타 유후인,유후 료치쿠,유후 료치쿠,御宿 由府両築,,유후 료치쿠 | 유후인 료치쿠 | 오야도 유후 료치쿠,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-baien,kyushu,yufuin,오이타 유후인,유후인 바이엔 가든 리조트,유후인 바이엔 가든 리조트,由布院 梅園 GARDEN RESORT,,유후인 바이엔 가든 리조트 | 유후인 바이엔 | 바이엔 가든 리조트,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-ubl-hotel,kyushu,yufuin,오이타 유후인,유후인 유벨 호텔,유후인 유벨 호텔,由布院ユウベルホテル,Yufuin Ubl Hotel,유후인 유벨 호텔 | 유후인 UBL 호텔,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-hanamura,kyushu,yufuin,오이타 유후인,유후인 카호리노사토 하나무라,유후인 카오리노사토 하나무라,湯布院かほりの郷 はな村,,유후인 카오리노사토 하나무라 | 유후인 카호리노사토 하나무라 | 하나무라,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-poppoan,kyushu,yufuin,오이타 유후인,유후인 팝포안,유후인 팝포안,旅の宿 ぽっぽ庵,,유후인 팝포안 | 팝포안,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
yufuin-ryu-no-hige,kyushu,yufuin,오이타 유후인,쿠사야네노야도 류노히게・벳테이 유무타,유후인 류노히게 벳테이 유무타,草屋根の宿 龍のひげ／別邸 ゆむた,,유후인 류노히게 벳테이 유무타 | 류노히게 | 벳테이 유무타 | 쿠사야네노야도 류노히게 | 쿠사야네노야도 류노히게・벳테이 유무타,verified,한국어 서비스 대표명 1차 QA 완료(2026-07-07)
