slug,region_group,region,area,current_display_name_ko,name_ja,name_en,current_name,name_verification_status,issue,suggested_display_name_ko,suggested_aliases_ko,review_note
kawaguchiko-fufu,kanto,kawaguchiko,야마나시 가와구치코/후지요시다,후후 가와구치코,ふふ 河口湖,Fufu Kawaguchiko,후후 가와구치코,needs_review,korean_present_needs_style_review,,,
yugawara-ashikari,kanto,yugawara,가나가와 유가와라,유가와라 스파 료칸 아시카리,懐石旅庵 阿しか里,Ashikari,유가와라 스파 료칸 아시카리,needs_review,korean_present_needs_style_review,,,
beppu-amane-resort-gahama,kyushu,beppu,오이타 벳푸,AMANE RESORT GAHAMA（ガハマテラス）,AMANE RESORT GAHAMA（ガハマテラス）,,AMANE RESORT GAHAMA（ガハマテラス）,needs_review,missing_korean_display_name,,,
beppu-amane-resort-seikai,kyushu,beppu,오이타 벳푸,AMANE RESORT SEIKAI（潮騒の宿 晴海）,AMANE RESORT SEIKAI（潮騒の宿 晴海）,,AMANE RESORT SEIKAI（潮騒の宿 晴海）,needs_review,missing_korean_display_name,,,
beppu-ana-intercontinental,kyushu,beppu,오이타 벳푸,ANAインターコンチネンタル別府リゾート＆スパ by IHG,ANAインターコンチネンタル別府リゾート＆スパ by IHG,,ANAインターコンチネンタル別府リゾート＆スパ by IHG,needs_review,missing_korean_display_name,,,
beppu-kannawaen,kyushu,beppu,오이타 벳푸,別府鉄輪温泉 山荘 神和苑,別府鉄輪温泉 山荘 神和苑,,別府鉄輪温泉 山荘 神和苑,needs_review,missing_korean_display_name,,,
beppu-kokoroan,kyushu,beppu,오이타 벳푸,匠晴の宿 心庵,匠晴の宿 心庵,,匠晴の宿 心庵,needs_review,missing_korean_display_name,,,
ibusuki-yurian,kyushu,ibusuki,가고시마 이부스키,Yurian,温泉水プール＆夫婦露天風呂の離れ宿 悠離庵,Yurian,Yurian,needs_review,missing_korean_display_name,,,
ibusuki-hakusuikan,kyushu,ibusuki,가고시마 이부스키,이부스키 하쿠스이칸,指宿白水館,Ibusuki Hakusuikan,이부스키 하쿠스이칸,needs_review,korean_present_needs_style_review,,,
kirishima-lavista,kyushu,kirishima,가고시마 기리시마,라비스타 기리시마 힐즈,ラビスタ霧島ヒルズ,La Vista Kirishima Hills,라비스타 기리시마 힐즈,needs_review,korean_present_needs_style_review,,,
kurokawa-takefue,kyushu,kurokawa,구마모토 구로카와,Takefue,秘境 白川源泉 山荘 竹ふえ,Takefue,Takefue,needs_review,missing_korean_display_name,,,
kurokawa-sanga,kyushu,kurokawa,구마모토 구로카와,료칸 산가,黒川温泉 旅館山河,Ryokan Sanga,료칸 산가,needs_review,korean_present_needs_style_review,,,
kurokawa-okunoyu,kyushu,kurokawa,구마모토 구로카와,료칸 오쿠노유,黒川温泉 旅館奥の湯,Ryokan Okunoyu,료칸 오쿠노유,needs_review,korean_present_needs_style_review,,,
kurokawa-yamamizuki,kyushu,kurokawa,구마모토 구로카와,야마미즈키,黒川温泉 山みず木,Yamamizuki,야마미즈키,needs_review,korean_present_needs_style_review,,,
takeo-koyokaku,kyushu,takeo,사가 다케오,가이세키야도 오기야,武雄温泉 懐石宿 扇屋,Kaiseki Yado Ogiya,가이세키야도 오기야,needs_review,korean_present_needs_style_review,,,
ureshino-taishoya,kyushu,ureshino,사가 우레시노,우레시노 온천 다이쇼야,嬉野温泉 大正屋 / 嬉野観光ホテル大正屋,Ureshino Kanko Hotel Taishoya,우레시노 온천 다이쇼야,needs_review,korean_present_needs_style_review,,,
ureshino-shiibasanso,kyushu,ureshino,사가 우레시노,우레시노 온천 시이바산소,嬉野温泉 椎葉山荘 / 大正屋 椎葉山荘,Shiibasanso,우레시노 온천 시이바산소,needs_review,korean_present_needs_style_review,,,
ureshino-wataya-besso,kyushu,ureshino,사가 우레시노,우레시노 온천 와타야벳소,嬉野温泉 和多屋別荘,Wataya Besso,우레시노 온천 와타야벳소,needs_review,korean_present_needs_style_review,,,
yufuin-ryoutiku,kyushu,yufuin,오이타 유후인,유후 료치쿠,御宿 由府両築,,유후 료치쿠,needs_review,korean_present_needs_style_review,,,
yufuin-baien,kyushu,yufuin,오이타 유후인,유후인 바이엔 가든 리조트,由布院 梅園 GARDEN RESORT,,유후인 바이엔 가든 리조트,needs_review,korean_present_needs_style_review,,,
yufuin-ubl-hotel,kyushu,yufuin,오이타 유후인,유후인 유벨 호텔,由布院ユウベルホテル,Yufuin Ubl Hotel,유후인 유벨 호텔,needs_review,korean_present_needs_style_review,,,
yufuin-hanamura,kyushu,yufuin,오이타 유후인,유후인 카호리노사토 하나무라,湯布院かほりの郷 はな村,,유후인 카호리노사토 하나무라,needs_review,korean_present_needs_style_review,,,
yufuin-poppoan,kyushu,yufuin,오이타 유후인,유후인 팝포안,旅の宿 ぽっぽ庵,,유후인 팝포안,needs_review,korean_present_needs_style_review,,,
yufuin-ryu-no-hige,kyushu,yufuin,오이타 유후인,쿠사야네노야도 류노히게・벳테이 유무타,草屋根の宿 龍のひげ／別邸 ゆむた,,쿠사야네노야도 류노히게・벳테이 유무타,needs_review,korean_present_needs_style_review,,,
