slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status
kirishima-sakura-sakura-dayuse,さくらさくら温泉 日帰り入浴,Sakura Sakura Onsen day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,천연 진흙팩 노천탕이라는 체험형 신호,regional facility source,needs_official_crosscheck
kirishima-maeda-onsen,前田温泉 カジロが湯,Maeda Onsen Kajiroga-yu,kirishima,鹿児島県,public_bath_facility,Tier 1,기리시마 온천시장 인근 당일온천 후보,regional tourism source,needs_source_crosscheck
kirishima-shinyu-onsen,新湯温泉 新燃荘,Shinmoe-so day-use,kirishima,鹿児島県,public_bath_facility,Tier 1,강한 유황천과 비탕형 당일온천 후보,regional tourism source,needs_official_crosscheck
kirishima-maruo-taki-footbath,丸尾滝周辺 足湯,Maruo area footbath,kirishima,鹿児島県,footbath,Tier 3,폭포와 온천가 산책 연계 족욕 후보,regional tourism source,needs_source_crosscheck
kirishima-hinata-no-yu,日当山温泉郷 家族湯,Hinata-yama family baths,kirishima,鹿児島県,family_private_bath_facility,Tier 1,가족탕 밀집 지역과 프라이빗탕 수요 후보,regional tourism source,needs_source_crosscheck
obama-hot-foot-105,小浜温泉 ほっとふっと105,Hot Foot 105,obama-unzen,長崎県,footbath,Tier 1,일본 최장급 족욕과 해안 관광 동선 후보,regional tourism source,needs_official_crosscheck
obama-naminoyu-akane,小浜温泉 波の湯 茜,Nami no Yu Akane,obama-unzen,長崎県,open_air_public_bath,Tier 1,바다 인접 노천탕과 조망형 당일온천 후보,regional tourism source,needs_official_crosscheck
obama-wakihama-kyodoyokujo,小浜温泉 脇浜共同浴場,Wakihama Public Bath,obama-unzen,長崎県,historic_public_bath,Tier 2,지역 공동탕과 관광객 기대차 검증 후보,regional tourism source,needs_source_crosscheck
ibusuki-ekimae-ashiyu,指宿駅前足湯,Ibusuki Station Footbath,ibusuki,鹿児島県,footbath,Tier 3,역앞 무료 족욕과 이동 동선 후보,regional tourism source,needs_source_crosscheck
kirishima-onsen-ichiba-footbath,霧島温泉市場 足湯,Kirishima Onsen Market Footbath,kirishima,鹿児島県,footbath,Tier 2,온천시장 중심 족욕과 먹거리 동선 후보,regional tourism source,needs_source_crosscheck
