kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,type,initial_bath_or_facility_signals,verification_status,source_basis,official_url,google_maps_url,primary_review_or_ota_url,secondary_url,global_url,naver_search_url,visible_review_pool_google,visible_review_pool_primary,visible_review_pool_global,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
accommodation,65,ito-kazenokaori-umi,伊東温泉 ラグジュアリー 和 ホテル 風の薫UMI,Kaze no Kaori UMI,ito-izu,静岡県,luxury hotel ryokan,"Rakuten 1470건급 리뷰풀, 객실 노천탕 후보",needs_official_crosscheck,Rakuten Ito room-open-air page,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,66,ito-uchiyama,お宿うち山 伊豆高原 全室露天風呂付き隠れ宿,Oyado Uchiyama,ito-izu,静岡県,luxury ryokan,"전실 노천풍로離れ, Rakuten 고평점/리뷰풀 신호",needs_official_crosscheck,Rakuten Izu Kogen ranking,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,67,ito-yumenoya,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,"전실 반노천풍로離れ, 고평점 소형 숙소",needs_official_crosscheck,Ikkyu Izu Kogen room-open-air page,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,68,ito-zagyo-so,ABBA RESORTS IZU - 坐漁荘,ABBA Resorts Izu Zagyosoh,ito-izu,静岡県,luxury ryokan,"이즈 고급 료칸, 객실 노천탕 후보",needs_official_crosscheck,Relux Izu room-open-air exposure,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,69,izu-yumotokan,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,전실 반노천 객실 후보,needs_official_crosscheck,Ikkyu nationwide ranking snippet,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,70,ibusuki-ginsyo,夫婦露天風呂の宿 吟松,Ginsyo,ibusuki,鹿児島県,ryokan,부부 노천탕과 객실 노천탕 강한 후보,needs_official_crosscheck,Jalan Ibusuki room-open-air source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,71,ibusuki-hakusuikan,指宿白水館,Ibusuki Hakusuikan,ibusuki,鹿児島県,large ryokan hotel,"이부스키 대표 대형 숙소, 모래찜질/대욕장 후보",needs_official_crosscheck,regional facility/accommodation seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,72,ibusuki-kinkouro,こらんの湯 錦江楼,Koran no Yu Kinkouro,ibusuki,鹿児島県,ryokan hotel,객실 노천탕과 바다 전망 온천 후보,needs_official_crosscheck,Jalan Ibusuki room-open-air source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,73,ibusuki-shusuien,いぶすき秀水園,Ibusuki Syusuien,ibusuki,鹿児島県,ryokan,고급 료칸 대욕장과 모래찜질 접근성 후보,needs_official_crosscheck,regional high-demand source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,74,ibusuki-yurian,温泉水プール＆夫婦露天風呂の離れ宿 悠離庵,Yurian,ibusuki,鹿児島県,villa ryokan,전동 객실 노천탕과 온천수풀 후보,needs_official_crosscheck,Jalan and Rakuten Ibusuki room-open-air sources,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,75,arima-goshoboh,陶泉 御所坊,Tocen Goshoboh,arima,兵庫県,traditional ryokan,"노포 료칸, 금천/대욕장 후보",needs_bath_detail_crosscheck,Arima luxury/traditional exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,76,arima-grand-hotel,有馬グランドホテル,Arima Grand Hotel,arima,兵庫県,large ryokan hotel,"대형 아리마 온천호텔, 대욕장/전망탕 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,77,arima-hyoe-koyokaku,兵衛向陽閣,Hyoe Koyokaku,arima,兵庫県,large ryokan hotel,"아리마 대형 노포, 금천 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Arima popular ryokan exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,78,gero-ogawaya,下呂温泉 小川屋,Ogawaya,gero,岐阜県,large ryokan,"게로 대형 료칸, 대욕장/객실탕 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,79,gero-suimeikan,下呂温泉 水明館,Suimeikan,gero,岐阜県,large ryokan hotel,"게로 대표 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,80,hakone-kai,星野リゾート 界 箱根,Hoshino Resorts KAI Hakone,hakone,神奈川県,brand ryokan,"하코네 브랜드 료칸, 대욕장·온천감 리뷰풀 후보",needs_bath_detail_crosscheck,Jalan/Hakone lodging exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,81,kusatsu-boun,草津温泉 望雲,Boun,kusatsu,群馬県,traditional ryokan,"구사쓰 대표 료칸, 다원천/대욕장 후보",needs_bath_detail_crosscheck,Kusatsu popular ryokan exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,82,kusatsu-hotel-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,"Jalan 2026 top area, 5-star ryokan list",,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,83,kusatsu-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보",needs_bath_detail_crosscheck,Kusatsu popular ryokan lists,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,84,kusatsu-konoha,お宿 木の葉,Oyado Konoha,kusatsu,群馬県,ryokan,대욕장·대절탕·탕 종류 다양성 후보,needs_bath_detail_crosscheck,Kusatsu popular ryokan lists,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,85,kusatsu-naraya,草津温泉 奈良屋,Naraya,kusatsu,群馬県,traditional ryokan,"구사쓰 노포 료칸, 유황천/대욕장 신호",needs_bath_detail_crosscheck,"Jalan 2026 top area, 5-star ryokan list",,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,86,atami-kamenoi,亀の井ホテル 熱海,Kamenoi Hotel Atami,atami,静岡県,large hotel ryokan,"객실 노천탕 목록 노출, 대형 리뷰풀 후보",needs_bath_detail_crosscheck,MyBest Atami room-open-air ranking,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,87,atami-korakuen,熱海後楽園ホテル,Atami Korakuen Hotel,atami,静岡県,large resort hotel,"대형 리조트, Fuua 연계 온천시설 신호",needs_bath_detail_crosscheck,Atami day-use/spa official exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,88,atami-new-akao,ホテルニューアカオ,Hotel New Akao,atami,静岡県,large seaside hotel,"대형 바다 전망 온천호텔, 리뷰풀/부정신호 분석 가치",needs_bath_detail_crosscheck,Atami lodging exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,89,ito-anda-resort,ホテル＆スパ アンダリゾート伊豆高原,Anda Resort Izu Kogen,ito-izu,静岡県,wellness resort hotel,"Jalan 4475건급 리뷰풀, 해변 조망 노천·반노천 객실 후보",needs_bath_detail_crosscheck,Jalan Anda Resort page,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,90,ito-juraku,伊東ホテルジュラク,Ito Hotel Juraku,ito-izu,静岡県,large hotel ryokan,"伊東 온천 대형호텔, 객실 노천탕 목록 노출",needs_bath_detail_crosscheck,Rakuten Ito room-open-air page,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,91,ito-kamenoi-izukogen,亀の井ホテル 伊豆高原,Kamenoi Hotel Izu Kogen,ito-izu,静岡県,resort hotel,"전실 오션뷰, 객실 노천탕 플랜·대욕장 후보",needs_bath_detail_crosscheck,Jalan Izu Kogen room-open-air page,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,92,arima-goshobessho,有馬山叢 御所別墅,Goshobessho,arima,兵庫県,luxury villa ryokan,아리마 고급 빌라형 온천 후보,needs_source_crosscheck,Rakuten Top20 area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,93,kinosaki-mikiya,城崎温泉 三木屋,Mikiya,kinosaki,兵庫県,historic ryokan,문학성 있는 전통 료칸과 외탕 접근성 후보,needs_source_crosscheck,regional high-value source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,94,kurokawa-ikoi,黒川温泉 いこい旅館,Ikoi Ryokan,kurokawa,熊本県,ryokan,명물 노천탕과 탕순례 후보 신호,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,95,kurokawa-noshiyu,黒川温泉 お宿 のし湯,Oyado Noshiyu,kurokawa,熊本県,ryokan,정원형 노천과 숙박자 온천경험 후보,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,96,kurokawa-sanga,黒川温泉 旅館山河,Ryokan Sanga,kurokawa,熊本県,ryokan,자연형 노천탕과 탕순례 후보 신호,needs_source_crosscheck,Kurokawa regional ranking source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,97,kurokawa-yamamizuki,黒川温泉 山みず木,Yamamizuki,kurokawa,熊本県,ryokan,노천탕/자연형 온천 신호 강함,needs_source_crosscheck,regional high-value seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,98,unzen-azumaen,雲仙温泉 東園,Azumaen,unzen,長崎県,ryokan,호수 전망 온천과 고급 료칸 후보,needs_source_crosscheck,regional OTA source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,99,atami-fufu,ふふ 熱海,Fufu Atami,atami,静岡県,luxury ryokan,고급 객실탕/대욕장 후보,needs_source_crosscheck,Rakuten/YuKoyuko top area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
accommodation,100,ito-kissho-carens,吉祥CAREN,Kissho Caren,ito-izu,静岡県,luxury ryokan,"이즈 북천/열천계 고급숙, 노천/객실탕 후보",needs_source_crosscheck,Izu luxury exposure,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
facility,51,tamatsukuri-yu-yu,玉造温泉 ゆーゆ,Yu-yu,tamatsukuri,島根県,public_bath_facility,옥조온천 대표 당일온천과 미인탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,52,tsukioka-bijin-no-izumi,月岡温泉 美人の泉,Bijin no Izumi,tsukioka,新潟県,public_bath_facility,월오카 미인탕 당일온천 대표 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,53,wakura-soyu,和倉温泉 総湯,Wakura Soyu,wakura,石川県,public_bath_facility,와쿠라 대표 당일온천과 고염천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,54,yamanaka-kikunoyu,山中温泉 菊の湯,Kiku no Yu,yamanaka,石川県,historic_public_bath,야마나카 대표 총탕과 현지 목욕문화 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,55,yamashiro-ko-soyu,山代温泉 古総湯,Yamashiro Ko-Soyu,yamashiro,石川県,historic_public_bath,메이지풍 복원 공동탕과 관광객 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,56,yamashiro-soyu,山代温泉 総湯,Yamashiro Soyu,yamashiro,石川県,historic_public_bath,야마시로 대표 공동탕과 온천가 중심 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,57,nyuto-ganiba-dayuse,蟹場温泉 日帰り入浴,Ganiba day-use bath,nyuto,秋田県,open_air_public_bath,숲속 노천탕과 탕순례 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
facility,58,nyuto-kuroyu-dayuse,黒湯温泉 日帰り入浴,Kuroyu day-use bath,nyuto,秋田県,historic_public_bath,계절형 비탕 원천과 접근성 변수 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
facility,59,nyuto-kyukamura-dayuse,休暇村乳頭温泉郷 日帰り入浴,Kyukamura Nyuto day-use bath,nyuto,秋田県,public_bath_facility,두 원천과 현대적 편의성을 가진 당일온천,needs_official_crosscheck,Qkamura travel magazine source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
facility,60,nyuto-taenoyu-dayuse,妙乃湯 日帰り入浴,Taenoyu day-use bath,nyuto,秋田県,open_air_public_bath,금탕은탕과 여성친화 노천탕 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
facility,61,nyuto-tsurunoyu-dayuse,鶴の湯温泉 日帰り入浴,Tsurunoyu day-use bath,nyuto,秋田県,historic_public_bath,뉴토 상징 노천탕과 혼욕 기대차 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
facility,62,nozawa-furusato-no-yu,野沢温泉 ふるさとの湯,Furusato no Yu,nozawa,長野県,public_bath_facility,관광객 친화적 유료 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,63,nozawa-ogama,野沢温泉 麻釜,Ogama,nozawa,長野県,food_steam,온천마을 상징 조리 원천과 관광 동선 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,64,nozawa-oyu,野沢温泉 大湯,Oyu,nozawa,長野県,historic_public_bath,노자와 대표 외탕과 고온탕 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
facility,65,nozawa-sotoyu-route,野沢温泉 外湯めぐり,Nozawa Sotoyu Route,nozawa,長野県,historic_public_bath,13개 공동탕 순례와 현지 목욕문화 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
