kind,queue_rank,slug,name_ja,area_slug,prefecture,initial_tier,initial_signals,source_basis,verification_status,source_files
accommodation,212,hanamaki-yusen-shidate,志戸平温泉 游泉志だて,hanamaki,岩手県,Tier 1,전실 노천탕과 계류 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,213,tsunagi-shikitei,つなぎ温泉 四季亭,tsunagi,岩手県,Tier 1,모리오카 접근성과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,214,dogo-kotononiwa,道後温泉 琴の庭,dogo,愛媛県,Tier 1,전 객실 원천가케나가시 노천풍로 신호,Ikkyu Dogo room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,215,dogo-miyu,道後御湯,dogo,愛媛県,Tier 1,"도고 고급 숙소, 온천 노천풍로 객실 후보",Ikkyu Dogo room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,216,dogo-oborozukiyo,別邸 朧月夜,dogo,愛媛県,Tier 1,"고급 소형 숙소, 객실 노천탕 후보",Ikkyu Dogo room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,217,dogo-yachiyo,道後温泉 八千代,dogo,愛媛県,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,218,myoko-akakura-kanko,赤倉観光ホテル,myoko,新潟県,Tier 1,"묘코 고원 절경 온천 리조트, 객실탕 후보",Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,219,kinugawa-asaya,鬼怒川温泉 あさや,kinugawa,栃木県,Tier 1,공중정원 노천탕·객실 노천탕·대형 리뷰풀 신호,Jalan/Ikkyu Kinugawa room-open-air lists,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,220,kinugawa-fudotaki,きぬ川不動瀧,kinugawa,栃木県,Tier 1,계곡 조망 객실 노천탕/요리 숙소 후보,Jalan Kinugawa room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,221,kinugawa-wakatake-sasane,鬼怒川温泉 旅館 若竹の庄 別邸笹音,kinugawa,栃木県,Tier 1,"전실 계곡 조망, 객실 노천탕 후보",Jalan/Ikkyu Kinugawa room-open-air lists,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,222,nasu-hoshino-akari,ぬくもりに心なごむ湯宿 星のあかり,nasu,栃木県,Tier 1,"전실 온천 노천풍로, にごり湯 가케나가시 대욕장 신호",Rakuten Nasu ranking snippet,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,223,nasu-key-highland,THE KEY HIGHLAND NASU,nasu,栃木県,Tier 1,"객실 노천탕 인기, 올인클루시브/리조트형 후보",Ikkyu/MyBest Nasu room-open-air lists,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,224,nasu-sanraku,那須温泉 山楽,nasu,栃木県,Tier 1,"나스 노포 고급 료칸, 대욕장/객실탕 후보",Ikkyu Nasu room-open-air ranking,needs_official_crosscheck,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
accommodation,225,katayamazu-morimoto,片山津温泉 湖畔の宿 森本,katayamazu,石川県,Tier 1,호수 전망 온천과 객실 후보,Ikkyu Hokuriku open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,226,yugawara-ashikari,懐石旅庵 阿しか里,yugawara,神奈川県,Tier 1,전실 원천가케나가시 객실 노천탕 신호,Ikkyu rotsuki snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,227,yugawara-miwa,三輪 湯河原,yugawara,神奈川県,Tier 1,"고평점 현대형 숙소, 객실 노천탕 후보",Ikkyu Yugawara room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,228,yugawara-okuyugawara-yui,奥湯河原 結唯,yugawara,神奈川県,Tier 1,"오쿠유가와라 고급숙, 객실탕/원천 세부 확인 후보",Yugawara luxury exposure,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,229,yugawara-tsubaki,海石榴 つばき,yugawara,神奈川県,Tier 1,"오쿠유가와라 고급 료칸, 객실 노천탕 후보",Rakuten Yugawara room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,230,awara-beniya,あわら温泉 光風湯圃 べにや,awara,福井県,Tier 1,전통 고급 료칸과 원천 온천 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,231,awara-grandia-housen,あわら温泉 グランディア芳泉,awara,福井県,Tier 1,고급 대욕장과 객실 노천탕 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,232,awara-matsuya-sensen,まつや千千,awara,福井県,Tier 1,대형 대욕장과 노천탕 경쟁력 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,233,awara-mimatsu,あわら温泉 美松,awara,福井県,Tier 1,정원 노천 객실 다수와 대욕장 스파 신호,Rakuten Awara room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,234,awara-tsuruya,あわら温泉 つるや,awara,福井県,Tier 1,전통 료칸 원천가케나가시 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,235,higashiyama-mukaitaki,会津東山温泉 向瀧,higashiyama,福島県,Tier 1,문화재급 목조 료칸과 원천탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,236,higashiyama-shosuke,会津東山温泉 庄助の宿 瀧の湯,higashiyama,福島県,Tier 1,폭포 전망 노천탕과 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,237,ikaho-kaichoro,奥伊香保 旅邸 諧暢楼,ikaho,群馬県,Tier 1,이카호 고급 객실탕 후보,Ikkyu nationwide onsen ranking snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,238,ikaho-kanouya,伊香保温泉 かのうや,ikaho,群馬県,Tier 1,"露天風呂付客室 인기, 리뷰풀 큼",Rakuten Ikaho hotel list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,239,ikaho-kokuya,伊香保温泉 心に咲く花 古久家,ikaho,群馬県,Tier 1,黄金の湯 원천가케나가시 노천풍로 객실 신호,Rakuten Ikaho room-open-air article,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,240,ikaho-oyado-tamaki,お宿玉樹,ikaho,群馬県,Tier 1,객실 노천탕/식사 고평가 후보,Ikkyu Ikaho room-open-air dinner list,needs_official_crosscheck,nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
accommodation,241,minakami-senjuan,別邸 仙寿庵,minakami,群馬県,Tier 1,객실 노천탕 추천 숙소 신호,Jalan 2026 rotsuki article,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,242,bessho-kashiwaya-honten,別所温泉 かしわや本店,bessho,長野県,Tier 1,객실 노천탕과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,243,bessho-nanjo-ryokan,別所温泉 旅館花屋,bessho,長野県,Tier 1,문화재급 목조 료칸과 원천탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,244,matsumoto-jujo,松本十帖,matsumoto,長野県,Tier 1,전실 노천풍로 계열 신호,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,245,tobira-myojinkan,扉温泉 明神館,matsumoto,長野県,Tier 1,"비경 온천 고급숙, 대욕장/객실탕 후보",Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,246,katakura-silk,湖畔の洋館かたくらシルクホテル,suwa,長野県,Tier 1,원천가케나가시 객실 노천탕 신호,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
accommodation,247,asamushi-kaisenkaku,浅虫温泉 南部屋・海扇閣,asamushi,青森県,Tier 1,무쓰만 전망 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,248,sukayu-onsen,酸ヶ湯温泉旅館,sukayu,青森県,Tier 1,히바센닌부로와 강산성 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
accommodation,249,izu-nagaoka-ishinoya,石のや 伊豆長岡,izu-nagaoka,静岡県,Tier 1,일부 객실 노천탕과 정원형 온천 후보,Ikkyu Izu Nagaoka source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
accommodation,250,izu-nagaoka-sanyo-so,三養荘,izu-nagaoka,静岡県,Tier 1,정원 별저형 고급 온천 후보,Ikkyu Izu Nagaoka source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
