kind,queue_rank,slug,name_ja,name_ko_or_en,area_slug,prefecture,candidate_status,initial_tier,property_or_facility_type,official_url,primary_review_or_ota_url,secondary_url,official_bath_or_product_fact,visible_review_pool_observation,directly_read_reviews,onsen_related_direct_reviews,verification_result,next_status_raw,normalization_notes,source_urls,source_verification_file,source_master_file
facility,129,isawa-spaland,スパランドホテル内藤,스파랜드 호텔 나이토,isawa,山梨県,hold,Tier 1,wellness_spa,https://www.hotel-naito.com/spaland/,https://www.jalan.net/yad340475/kuchikomi/,https://onsen.nifty.com/isawaonsen-onsen/onsen002109/,公式で日帰り/宿泊スパ、5:00-翌1:00大浴場、全てナノ水、高濃度炭酸泉、岩盤浴等を確認,Jalan/Nifty surfaces include 2026 reviews; one review explicitly says not onsen but repeats because spa is good,0,0,official_and_multi_review_surface_confirmed,wellness_spa_keep_but_not_true_onsen_claim,温泉宿名だが公式はナノ水訴求。天然温泉データではなく wellness_spa として扱う / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.hotel-naito.com/spaland/ ; https://www.hotel-naito.com/spaland/spa/hotspring ; https://www.jalan.net/yad340475/kuchikomi/ ; https://onsen.nifty.com/isawaonsen-onsen/onsen002109/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,130,kawaguchiko-fujiyama-onsen,ふじやま温泉,Fujiyama Onsen,kawaguchiko,山梨県,ready,Tier 1,large_day_use_complex,https://www.fujiyamaonsen.jp/,https://www.jalan.net/kankou/spt_guide000000179477/kuchikomi/,https://onsen.nifty.com/fujigoko-onsen/onsen007430/,公式/観光サイトで富士急ハイランド近くの日帰り温泉、バナジウム水、高濃度炭酸泉、露天風呂、休憩所を確認,Jalan shows 153 reviews; Nifty has 2026 review praising vanadium water smoothness and sauna,0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,富士急/登山帰り利用が強い。バナジウム水/炭酸泉/富士山眺望期待と実際の眺望を確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.fujiyamaonsen.jp/ ; https://www.fujiyamaonsen.jp/price.html ; https://fujiyoshida.net/spot/31 ; https://www.jalan.net/kankou/spt_guide000000179477/kuchikomi/ ; https://onsen.nifty.com/fujigoko-onsen/onsen007430/,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,131,kawaguchiko-yurari,富士眺望の湯 ゆらり,후지조망탕 유라리,kawaguchiko,山梨県,ready,Tier 1,large_day_use_complex,https://www.fuji-yurari.jp/,https://onsen.nifty.com/fujigoko-onsen/onsen002066/kuchikomi/,https://www.jalan.net/kankou/spt_19429cd2110076733/,公式/Jalanで富士山眺望の日帰り温泉、全16種類の風呂、食事処、ボディケア、貸切風呂別料金、河口湖送迎予約を確認,"Nifty/Jalan/iko-yo surfaces mention bath variety and Fuji view, but also crowding, lukewarm water, stairs/child safety signals",0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,large_day_use_complex。眺望/浴槽種類/貸切風呂/混雑/ぬるさ/階段安全を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://www.fuji-yurari.jp/ ; https://onsen.nifty.com/fujigoko-onsen/onsen002066/kuchikomi/ ; https://www.jalan.net/kankou/spt_19429cd2110076733/ ; https://iko-yo.net/facilities/2383,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,133,yugawara-kogomenoyu,こごめの湯,코고메노유,yugawara,神奈川県,ready,Tier 1,public_bath_facility,https://kogomenoyu.com/,https://onsen.nifty.com/yugawara-onsen/onsen001507/kuchikomi/,https://www.jalan.net/kankou/spt_14384cc3360135130/kuchikomi/,公式で湯河原の日帰り温泉、大浴場・露天風呂、休憩ルーム、食事/マッサージ等を確認,"Nifty/Jalan/Tripadvisor surfaces mention old-style/simple day-use bath, tourist facility feel, outdoor flow vs indoor circulation comments, towel expectation",0,0,official_and_multi_review_surface_confirmed,ready_for_facility_deep_review_pool_count,public_bath_facility。観光客向けか町営風か、源泉/循環、設備期待ギャップを確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,https://kogomenoyu.com/ ; https://onsen.nifty.com/yugawara-onsen/onsen001507/kuchikomi/ ; https://www.jalan.net/kankou/spt_14384cc3360135130/kuchikomi/ ; https://www.tripadvisor.jp/Attraction_Review-g1121143-d4044986-Reviews-Kogomenoyu-Yugawara_machi_Ashigarashimo_gun_Kanagawa_Prefecture_Kanto.html,tier1_verification_batch_03_complete_v0_1_2026-07-03.csv,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,isawa-nadeshiko,石和温泉駅前公園あしゆ,이사와온천역 앞 족탕,isawa,山梨県,hold,Tier 2,footbath,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Isawa tourist seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,isawa-yamanami,やまなしフルーツ温泉ぷくぷく / ほったらかし温泉候補,Yamanashi view onsen seed,isawa,山梨県,hold,Tier 2,open_air_public_bath,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Yamanashi facility seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,isawa-yamanashi-kotsu,石和健康ランド,이사와 건강랜드,isawa,山梨県,hold,Tier 2,wellness_spa,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Isawa facility seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,kawaguchiko-kaiun,河口湖温泉 寺露天風呂の宿 夢殿 日帰り候補,카와구치코 고급숙 당일입욕 후보,kawaguchiko,山梨県,hold,Tier 3,hotel_dayuse_bath,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Kawaguchiko lodging exposure,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,kawaguchiko-tensui,野天風呂天水 / 河口湖日帰り温泉候補,Tensui day-use seed,kawaguchiko,山梨県,hold,Tier 2,open_air_public_bath,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Kawaguchiko day-use seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,yorimichi-no-yu,山梨泊まれる温泉 より道の湯,야마나시 요리미치노유,yamanashi,山梨県,hold,Tier 2,wellness_spa,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Nifty Onsen 2025 nationwide ranking,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,hakone-kappa-tengoku,かっぱ天国,갓파텐고쿠,hakone,神奈川県,hold,Tier 2,public_bath_facility,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Hakone day-use seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,hakone-no-yu,箱根の湯,하코네노유,hakone,神奈川県,hold,Tier 2,public_bath_facility,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Hakone day-use seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,miurayu,黒湯天然温泉みうら湯,구로유 천연온천 미우라유,yokohama,神奈川県,hold,Tier 2,public_bath_facility,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Nifty Onsen 2025 nationwide ranking,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,raku-spa-tsurumi,RAKU SPA 鶴見,라쿠스파 쓰루미,yokohama,神奈川県,hold,Tier 2,wellness_spa,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Nifty Onsen 2025 nationwide ranking,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,yokosuka-yurari,横須賀温泉 湯楽の里,요코스카온천 유라노사토,yokosuka,神奈川県,hold,Tier 2,large_day_use_complex,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Nifty Onsen 2025 nationwide ranking,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,yugawara-izuminoyu,ニューウェルシティ湯河原 いずみの湯,이즈미노유,yugawara,神奈川県,hold,Tier 2,large_day_use_complex,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Yugawara day-use seed,,nationwide_facility_master_v0_6_2026-07-03.csv
facility,,yugawara-mamane,湯河原温泉 ままねの湯,마마네노유,yugawara,神奈川県,hold,Tier 2,historic_public_bath,,,,not_verified_in_this_pass,not_locked_in_candidate_stage,0,0,,,Tier 2/3 후보는 이번 Tier 1 우선 검증 패스에서 hold. 다음 라운드에서 공식 URL/리뷰풀 재확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.,Yugawara day-use seed,,nationwide_facility_master_v0_6_2026-07-03.csv
