slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status,source_files
kusatsu-hotel-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보","Jalan 2026 top area, 5-star ryokan list",needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
ikaho-kaichoro,奥伊香保 旅邸 諧暢楼,Kaichoro,ikaho,群馬県,luxury ryokan,Tier 1,이카호 고급 객실탕 후보,Ikkyu nationwide onsen ranking snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
minakami-senjuan,別邸 仙寿庵,Bettei Senjuan,minakami,群馬県,luxury ryokan,Tier 1,객실 노천탕 추천 숙소 신호,Jalan 2026 rotsuki article,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
nasu-bettei-kai,那須別邸 回,Nasu Bettei Kai,nasu,栃木県,luxury ryokan,Tier 1,나스 고급 온천 숙소 후보,Rakuten Top20 area seed,needs_source_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
kinugawa-kanaya,鬼怒川金谷ホテル,Kinugawa Kanaya Hotel,kinugawa,栃木県,luxury hotel ryokan,Tier 1,기누가와 고급 온천호텔 후보,Rakuten/YuKoyuko top area seed,needs_source_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
hakone-ginyu,箱根吟遊,Hakone Ginyu,hakone,神奈川県,luxury ryokan,Tier 1,객실 노천탕/전망형 대표 후보,Jalan 2026 top area seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-suisyoen,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,luxury ryokan,Tier 1,전 객실 스위트·객실 노천탕 후보,Ikkyu/Hakone luxury seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-gora-kadan,強羅花壇,Gora Kadan,hakone,神奈川県,luxury ryokan,Tier 1,"하코네 고급 료칸 대표, 객실탕/대욕장 후보",Jalan/Ikkyu top area seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-gen-gora,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,luxury ryokan,Tier 1,객실 노천탕 추천 숙소 신호,Jalan 2026 rotsuki article,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-matsuzakaya,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,traditional ryokan,Tier 1,하코네 명탕·원천 신호 강함,Ikkyu nationwide onsen ranking snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
yugawara-ashikari,懐石旅庵 阿しか里,Ashikari,yugawara,神奈川県,kaiseki ryokan,Tier 1,전실 원천가케나가시 객실 노천탕 신호,Ikkyu rotsuki snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
atami-fufu,ふふ 熱海,Fufu Atami,atami,静岡県,luxury ryokan,Tier 1,고급 객실탕/대욕장 후보,Rakuten/YuKoyuko top area seed,needs_source_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-sekaie,ATAMI せかいえ,ATAMI Sekaie,atami,静岡県,luxury ryokan,Tier 1,바다 전망 객실 노천탕 후보,Rakuten/YuKoyuko top area seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
ito-futarikomorebi,ホテルふたり木もれ陽,Hotel Futari Komorebi,ito-izu,静岡県,luxury hotel,Tier 1,"이토 고평점 온천 숙소, 객실탕 후보",Ikkyu nationwide onsen ranking snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
izu-yumotokan,全室半露天付 離れ御宿 夢のや,Yume no Ya,ito-izu,静岡県,detached ryokan,Tier 1,전실 반노천 객실 후보,Ikkyu nationwide ranking snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
gero-suimeikan,下呂温泉 水明館,Suimeikan,gero,岐阜県,large ryokan hotel,Tier 1,"게로 대표 대형 숙소, 대욕장 리뷰풀 후보",Rakuten Top20 area seed,needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
gero-ogawaya,下呂温泉 小川屋,Ogawaya,gero,岐阜県,large ryokan,Tier 1,"게로 대형 료칸, 대욕장/객실탕 후보",Rakuten Top20 area seed,needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kawaguchiko-fufu,ふふ 河口湖,Fufu Kawaguchiko,kawaguchiko,山梨県,luxury resort ryokan,Tier 1,후지산/숲 전망 객실탕 후보,"Ikkyu rotsuki theme snippet, Rakuten Top20 area",needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
kawaguchiko-kukuna,THE KUKUNA,The Kukuna,kawaguchiko,山梨県,resort hotel,Tier 1,전망 테라스/후지산 조망 온천 후보,Ikkyu rotsuki theme snippet,needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
fujiyoshida-kaneyamaen,庭園と感動の宿 富士山温泉 ホテル鐘山苑,Hotel Kaneyamaen,kawaguchiko,山梨県,large ryokan hotel,Tier 1,후지산 온천·정원·객실탕 후보,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
matsumoto-jujo,松本十帖,Matsumoto Jujo,matsumoto,長野県,design ryokan,Tier 1,전실 노천풍로 계열 신호,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
myoko-akakura-kanko,赤倉観光ホテル,Akakura Kanko Hotel,myoko,新潟県,mountain resort,Tier 1,"묘코 고원 절경 온천 리조트, 객실탕 후보",Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
tobira-myojinkan,扉温泉 明神館,Tobira Onsen Myojinkan,matsumoto,長野県,luxury ryokan,Tier 1,"비경 온천 고급숙, 대욕장/객실탕 후보",Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
katakura-silk,湖畔の洋館かたくらシルクホテル,Katakura Silk Hotel,suwa,長野県,luxury hotel,Tier 1,원천가케나가시 객실 노천탕 신호,Ikkyu rotsuki theme snippet,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
arima-kinzan,有馬温泉 欽山,Kinzan,arima,兵庫県,luxury ryokan,Tier 1,"아리마 고급 료칸, 금천/은천 후보",Rakuten Top20 area seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
arima-goshobessho,有馬山叢 御所別墅,Goshobessho,arima,兵庫県,luxury villa ryokan,Tier 1,아리마 고급 빌라형 온천 후보,Rakuten Top20 area seed,needs_source_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
arima-grand-hotel,有馬グランドホテル,Arima Grand Hotel,arima,兵庫県,large ryokan hotel,Tier 1,"대형 아리마 온천호텔, 대욕장/전망탕 후보",Rakuten Top20 area seed,needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
shirahama-kaishu,白浜温泉 浜千鳥の湯 海舟,Hamachidori no Yu Kaishu,shirahama,和歌山県,seaside ryokan,Tier 1,바다 전망 노천/객실탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
shirahama-sanrakuso,白浜温泉 ホテル三楽荘,Hotel Sanrakuso,shirahama,和歌山県,seaside hotel ryokan,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
dogo-yachiyo,道後温泉 八千代,Yachiyo,dogo,愛媛県,ryokan,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
dogo-funaya,道後温泉 ふなや,Funaya,dogo,愛媛県,traditional ryokan,Tier 1,"도고 노포 료칸, 대욕장/역사형 수요",Jalan/Rakuten top area seed,needs_bath_detail_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_c_v0_4_2026-07-03.csv
kaike-yugetsu,皆生游月,Kaike Yugetsu,kaike,鳥取県,seaside ryokan,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
kurokawa-yamamizuki,黒川温泉 山みず木,Yamamizuki,kurokawa,熊本県,ryokan,Tier 1,노천탕/자연형 온천 신호 강함,regional high-value seed,needs_source_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
kurokawa-takefue,竹ふえ,Takefue,kurokawa,熊本県,luxury ryokan,Tier 1,고급 객실탕/대절탕 후보,regional high-value seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
kirishima-lavista,ラビスタ霧島ヒルズ,La Vista Kirishima Hills,kirishima,鹿児島県,resort hotel,Tier 1,객실 노천탕 인기 신호,Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
ibusuki-hakusuikan,指宿白水館,Ibusuki Hakusuikan,ibusuki,鹿児島県,large ryokan hotel,Tier 1,"이부스키 대표 대형 숙소, 모래찜질/대욕장 후보",regional facility/accommodation seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
unzen-kyushu-hotel,雲仙九州ホテル,Unzen Kyushu Hotel,unzen,長崎県,luxury hotel,Tier 1,운젠 유황천 고급 숙소 후보,regional high-value seed,needs_official_crosscheck,nationwide_accommodation_seed_v0_1_2026-07-03.csv
hakone-gora-karaku,箱根・強羅 佳ら久,Hakone Gora Karaku,hakone,神奈川県,luxury ryokan,Tier 1,"전실 온천 노천풍로 완비 신호, 리뷰풀 큼",Ikkyu Hakone room-open-air listing,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-kanaya-resort,KANAYA RESORT HAKONE,KANAYA RESORT HAKONE,hakone,神奈川県,luxury resort ryokan,Tier 1,센고쿠하라 고급 객실 노천탕 후보,Ikkyu Hakone room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-fontainebleau,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,hakone,神奈川県,auberge ryokan,Tier 1,"전 13실 노천풍로 객실 신호, 음식 평가 강함",Ikkyu Hakone room-open-air dining list,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-yuyado-zen,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,hakone,神奈川県,small ryokan,Tier 1,"전 10실 반노천 객실 신호, 후지산 조망 후보",Ikkyu Hakone room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-byakudan,箱根強羅 白檀,Hakone Gora Byakudan,hakone,神奈川県,luxury ryokan,Tier 1,"강라 고급 료칸, 객실 노천탕 후보",Ikkyu Hakone room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-kowakien-tenyu,箱根小涌園 天悠,Hakone Kowakien Ten-yu,hakone,神奈川県,large resort ryokan,Tier 1,"전 객실 온천 노천풍로 계열 신호, 대형 리뷰풀 후보",Hakone room-open-air lists,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-yama-no-chaya,山の茶屋,Yama no Chaya,hakone,神奈川県,traditional ryokan,Tier 1,"탑노사와 고급 료칸, 객실 노천탕 후보",Hakone luxury/room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-kai,星野リゾート 界 箱根,Hoshino Resorts KAI Hakone,hakone,神奈川県,brand ryokan,Tier 1,"하코네 브랜드 료칸, 대욕장·온천감 리뷰풀 후보",Jalan/Hakone lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-airu,箱根藍瑠,Hakone Airu,hakone,神奈川県,ryokan,Tier 2,"객실 노천탕 후보, 젊은 커플 수요 가능",Hakone room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-pax-yoshino,箱根パークス吉野,Hakone Pax Yoshino,hakone,神奈川県,hotel ryokan,Tier 2,"객실 노천탕·대욕장 후보, 가격형 비교군",Hakone accommodation exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-hotel-okada,箱根湯本温泉 ホテルおかだ,Hotel Okada,hakone,神奈川県,large hotel ryokan,Tier 2,"대형 온천호텔, 대욕장·노천·리뷰풀 후보",Jalan Hakone lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-tenseien,箱根湯本温泉 天成園,Tenseien,hakone,神奈川県,large hotel ryokan,Tier 2,"객실 노천탕 목록 노출, 대형 온천시설형 숙소",MyBest/Jalan Hakone room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-nanpuso,箱根湯本温泉 ホテル南風荘,Hotel Nanpuso,hakone,神奈川県,large hotel ryokan,Tier 2,"객실 노천탕·대욕장 후보, 가족형 리뷰풀",Jalan Hakone lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-setsugetsuka,季の湯 雪月花,Tokinoyu Setsugetsuka,hakone,神奈川県,ryokan hotel,Tier 2,"강라역 접근, 객실탕/대욕장/대절탕 후보",Hakone accommodation exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-mikawaya,箱根小涌園 三河屋旅館,Mikawaya Ryokan,hakone,神奈川県,traditional ryokan,Tier 2,"노포 료칸, 대욕장·객실탕 후보",Hakone accommodation exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-oukyuan,源泉かけ流しの宿 櫻休庵,Oukyuan,hakone,神奈川県,small ryokan,Tier 2,전실 전용 전망 노천온천풍로 신호,Jalan Hakone room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
hakone-oukyuan-rin,源泉かけ流しの宿 櫻休庵 別亭 凛,Oukyuan Bettei Rin,hakone,神奈川県,small ryokan,Tier 2,전 객실 전망 노천온천풍로 신호,Jalan Hakone room-open-air page,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-konoha,お宿 木の葉,Oyado Konoha,kusatsu,群馬県,ryokan,Tier 1,대욕장·대절탕·탕 종류 다양성 후보,Kusatsu popular ryokan lists,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-ichii,草津温泉 ホテル一井,Hotel Ichii,kusatsu,群馬県,large ryokan hotel,Tier 1,"湯畑 인접 대형 숙소, 대욕장 리뷰풀 후보",Kusatsu popular ryokan lists,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-sakurai,草津温泉 ホテル櫻井,Hotel Sakurai,kusatsu,群馬県,large ryokan hotel,Tier 1,"객실 노천탕 목록 노출, 대형 리뷰풀 후보",MyBest/Rakuten Kusatsu room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-now-resort,草津ナウリゾートホテル,Kusatsu Now Resort Hotel,kusatsu,群馬県,resort hotel,Tier 1,"객실 노천탕 후보, 리조트형 온천 비교군",Kusatsu room-open-air ranking exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-lavista-hills,ラビスタ草津ヒルズ,La Vista Kusatsu Hills,kusatsu,群馬県,resort ryokan,Tier 1,"전실 히노키 노천풍로, 대욕장·대절탕 신호",Rakuten Kusatsu room-open-air article,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-boun,草津温泉 望雲,Boun,kusatsu,群馬県,traditional ryokan,Tier 1,"구사쓰 대표 료칸, 다원천/대욕장 후보",Kusatsu popular ryokan exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-kanemidori,草津温泉 金みどり,Kanemidori,kusatsu,群馬県,traditional ryokan,Tier 2,"湯畑 접근성, 대욕장·노천 후보",Kusatsu popular ryokan exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-eidaya,草津温泉 源泉一乃湯 / 永田屋,Eidaya / Gensen Ichinoyu,kusatsu,群馬県,ryokan,Tier 2,"소형/가격형 숙소, 원천·객실탕 여부 확인 후보",Kusatsu accommodation exposure,needs_identity_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-hotel-village,草津温泉 ホテルヴィレッジ,Kusatsu Onsen Hotel Village,kusatsu,群馬県,large resort hotel,Tier 2,"대형 리조트, 온천+가족형 수요 후보",Kusatsu popular lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-tsutsujitei,草津温泉 つつじ亭,Tsutsujitei,kusatsu,群馬県,luxury ryokan,Tier 1,"고급 료칸, 객실탕/대욕장 후보",Kusatsu luxury lodging exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-osakaya,草津温泉 大阪屋,Osakaya,kusatsu,群馬県,traditional ryokan,Tier 2,"湯畑 인근 노포, 대욕장 후보",Kusatsu popular lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-kirishimaya,草津温泉 桐島屋旅館,Kirishimaya Ryokan,kusatsu,群馬県,small ryokan,Tier 3,"소형 료칸, 로컬/가격형 비교군",Kusatsu accommodation exposure,needs_source_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
kusatsu-skyland,草津スカイランドホテル,Kusatsu Skyland Hotel,kusatsu,群馬県,hotel ryokan,Tier 3,"객실 노천탕 후보, 보강/가격형 비교군",Kusatsu accommodation exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-karaku,熱海・伊豆山 佳ら久,Atami Izusan Karaku,atami,静岡県,luxury ryokan,Tier 1,"객실 노천탕 인기 고급숙, 리뷰풀 큼",Ikkyu Atami room-open-air list,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-kaihourou,ATAMI 海峯楼,ATAMI Kaihourou,atami,静岡県,luxury ryokan,Tier 1,"소형 초고급 숙소, 객실탕/온천 세부 확인 후보",Atami luxury exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-new-tomiyoshi,味と湯の宿 ニューとみよし,New Tomiyoshi,atami,静岡県,seaside ryokan,Tier 1,객실 노천탕 많은 대중형 후보,MyBest Atami room-open-air ranking,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-kamenoi,亀の井ホテル 熱海,Kamenoi Hotel Atami,atami,静岡県,large hotel ryokan,Tier 1,"객실 노천탕 목록 노출, 대형 리뷰풀 후보",MyBest Atami room-open-air ranking,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-pearl-star,熱海パールスターホテル,Atami Pearl Star Hotel,atami,静岡県,luxury hotel,Tier 1,전실 오션뷰·객실탕/온천 후보,Atami luxury exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-korakuen,熱海後楽園ホテル,Atami Korakuen Hotel,atami,静岡県,large resort hotel,Tier 1,"대형 리조트, Fuua 연계 온천시설 신호",Atami day-use/spa official exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-new-akao,ホテルニューアカオ,Hotel New Akao,atami,静岡県,large seaside hotel,Tier 1,"대형 바다 전망 온천호텔, 리뷰풀/부정신호 분석 가치",Atami lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-watei-kazekomichi,WA亭 風こみち,Watei Kazekomichi,atami,静岡県,small luxury ryokan,Tier 1,"객실 노천탕 후보, 소형 고급숙",Atami room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-taiseikan,源泉湯宿 大成館,Taiseikan,atami,静岡県,traditional ryokan,Tier 2,원천·객실 노천탕 후보,Atami room-open-air exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-soki,SOKI ATAMI,SOKI Atami,atami,静岡県,modern ryokan,Tier 1,"현대형 온천 숙소, 객실탕/대욕장 후보",Atami luxury/new lodging exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-sekitei,あたみ石亭,Atami Sekitei,atami,静岡県,luxury ryokan,Tier 1,"노포 고급 료칸, 객실탕/대욕장 후보",Atami luxury exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-club-geihinkan,熱海倶楽部 迎賓館,Atami Club Geihinkan,atami,静岡県,luxury hotel,Tier 2,"고급 객실온천 후보, 골프/리조트형",Atami luxury exposure,needs_official_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-risonare,星野リゾート リゾナーレ熱海,Hoshino Resorts Risonare Atami,atami,静岡県,resort hotel,Tier 2,"가족형 리조트, 온천 대욕장 후보",Atami lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-micuras,ホテルミクラス,Hotel Micuras,atami,静岡県,seaside hotel,Tier 2,"바다 전망 대욕장 후보, 접근성/호텔형",Atami lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-yuyado-ichibanchi,熱海温泉 湯宿一番地,Yuyado Ichibanchi,atami,静岡県,ryokan hotel,Tier 2,"역 접근성, 노천/대욕장 후보",Atami lodging exposure,needs_bath_detail_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
atami-uminohana,隠れ湯の宿 月のあかり / うみのホテル中田屋候補,Uminohana / related Atami small inn,atami,静岡県,small ryokan,Tier 3,"소형 객실탕 후보, 명칭 재확인 필요",Atami room-open-air exposure,needs_identity_crosscheck,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
