slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status,source_files
shisui-yurari,酒々井温泉 湯楽の里,시스이온천 유라노사토,chiba,千葉県,large_day_use_complex,Tier 2,"아울렛 인접, 원천가케나가시 노천·사우나",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
yorimichi-no-yu,山梨泊まれる温泉 より道の湯,야마나시 요리미치노유,yamanashi,山梨県,wellness_spa,Tier 2,"숙박 가능 온천시설, 증기욕/객실 노천 후보",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
sagano-tenzannoyu,さがの温泉 天山の湯,사가노온천 텐잔노유,kyoto,京都府,public_bath_facility,Tier 2,"교토시 천연온천, 사우나/아우프구스/식음 신호",Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
raku-spa-tsurumi,RAKU SPA 鶴見,라쿠스파 쓰루미,yokohama,神奈川県,wellness_spa,Tier 2,욕조 15종·사우나·암반욕·이벤트 복합시설,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
yokosuka-yurari,横須賀温泉 湯楽の里,요코스카온천 유라노사토,yokosuka,神奈川県,large_day_use_complex,Tier 2,도쿄만 전망 노천·원천가케나가시·암반욕,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
makuhari-yurari,JFA夢フィールド 幕張温泉 湯楽の里,마쿠하리온천 유라노사토,chiba,千葉県,large_day_use_complex,Tier 2,바다 조망 리조트형 노천·사우나·암반욕,Nifty Onsen 2025 nationwide ranking,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
kusatsu-otakinoyu,大滝乃湯,오타키노유,kusatsu,群馬県,public_bath_facility,Tier 1,"구사쓰 대표 당일치기, 맞춤탕/유황천 후보",Jalan 2026 top area seed,needs_source_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv
kusatsu-sainokawara,西の河原露天風呂,사이노카와라 노천탕,kusatsu,群馬県,open_air_public_bath,Tier 1,대형 노천탕·관광동선 신호,Jalan 2026 top area seed,needs_source_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
hakone-yuryo,箱根湯寮,하코네유료,hakone,神奈川県,large_day_use_complex,Tier 1,"하코네 당일치기, 대욕장/대절탕 후보",Jalan 2026 top area seed,needs_source_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
hakone-tenzan,天山湯治郷,텐잔토지쿄,hakone,神奈川県,public_bath_facility,Tier 1,"하코네 탕치형 당일치기 시설, 노천/온천감 후보",Jalan 2026 top area seed,needs_source_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
yugawara-soyu,湯河原惣湯 Books and Retreat,유가와라 소유,yugawara,神奈川県,wellness_spa,Tier 1,공원·족탕·카페/리트리트형 당일치기 시설,Rakuten Top20 area article snippet,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
dogo-honkan,道後温泉本館,도고온천 본관,dogo,愛媛県,historic_public_bath,Tier 1,"역사형 공중탕 대표, 관광객 기대치/혼잡 신호 후보",Jalan 2026 top area seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
dogo-asukanoyu,道後温泉別館 飛鳥乃湯泉,도고온천 별관 아스카노유,dogo,愛媛県,historic_public_bath,Tier 1,"도고 공중탕 별관, 이용방식/대기 신호 후보",Jalan 2026 top area seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
arima-kin-no-yu,有馬本温泉 金の湯,아리마 금탕,arima,兵庫県,historic_public_bath,Tier 1,"금천 공중탕, 온천감/혼잡 신호 후보",Rakuten Top20 area seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
arima-gin-no-yu,有馬温泉 銀の湯,아리마 은탕,arima,兵庫県,historic_public_bath,Tier 2,"은천 공중탕, 금탕과 비교 가치",Rakuten Top20 area seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
shirahama-sakinoyu,崎の湯,사키노유,shirahama,和歌山県,open_air_public_bath,Tier 1,"바다 바로 앞 노천탕, 조망/운영조건 신호 후보",Rakuten Top20 area seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
ibusuki-saraku,砂むし会館 砂楽,이부스키 모래찜질회관 사라쿠,ibusuki,鹿児島県,sand_bath_facility,Tier 1,"모래찜질 대표 시설, 대기/체험/복장 신호 후보",facility model regional seed,needs_official_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
noboribetsu-sagiriyu,登別温泉 さぎり湯,노보리베쓰 사기리유,noboribetsu,北海道,public_bath_facility,Tier 1,"노보리베쓰 공중탕, 유황천/로컬탕 신호 후보",regional high-value seed,needs_source_crosscheck,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_east_facility_seed_v0_3_2026-07-03.csv
beppu-hyotan,ひょうたん温泉,효탄온천,beppu,大分県,large_day_use_complex,Tier 1,"원천 100% 가케나가시, 가족탕·모래탕·무시유·식음 복합","existing facility sample, official site, Google/Jalan",sample_done_needs_deep_tagging,nationwide_facility_seed_v0_1_2026-07-03.csv
beppu-takegawara,竹瓦温泉,타케가와라온천,beppu,大分県,historic_public_bath,Tier 1,"역사형 공중탕+모래탕, 예약/샤워/대기 신호 강함","existing facility sample, Beppu city official, Google/Jalan",sample_done_needs_deep_tagging,nationwide_facility_seed_v0_1_2026-07-03.csv
beppu-sakurayu,別府桜湯,벳푸 사쿠라유,beppu,大分県,family_private_bath_facility,Tier 1,"가족탕 20종, 코인타이머식 온천수 교체 신호","existing facility sample, official site, Google/Jalan",sample_done_needs_deep_tagging,nationwide_facility_seed_v0_1_2026-07-03.csv
kusatsu-ohtakinoyu,大滝乃湯,오타키노유,kusatsu,群馬県,large_day_use_complex,Tier 1,"대욕장·노천탕·合わせ湯·貸切風呂, 煮川源泉 신호",Official Kusatsu Sanyu site,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
kusatsu-gozanoyu,御座之湯,고자노유,kusatsu,群馬県,historic_public_bath,Tier 1,"草津三湯, 관광동선형 공중탕",Official Kusatsu Sanyu site,needs_official_detail_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
kusatsu-shirahata,白旗の湯,시라하타노유,kusatsu,群馬県,historic_public_bath,Tier 2,"공동탕형, 강한 로컬 이용 규칙 후보",Kusatsu public bath seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
kusatsu-jizonoyu,地蔵の湯,지조노유,kusatsu,群馬県,historic_public_bath,Tier 2,"공동탕형, 온천감/로컬 규칙 후보",Kusatsu public bath seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
kusatsu-chiyonoyu,千代の湯,치요노유,kusatsu,群馬県,historic_public_bath,Tier 2,시간탕/공동탕 문화 신호 후보,Kusatsu public bath seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
hakone-yunessun-morinoyu,箱根小涌園ユネッサン 森の湯,유넷상 모리노유,hakone,神奈川県,wellness_spa,Tier 1,"일일온천, 노천·내탕·사우나, 가족형 복합시설",Official Yunessun Mori no Yu site,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
hakone-kappa-tengoku,かっぱ天国,갓파텐고쿠,hakone,神奈川県,public_bath_facility,Tier 2,하코네유모토 역근처 당일치기 노천 후보,Hakone day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
hakone-no-yu,箱根の湯,하코네노유,hakone,神奈川県,public_bath_facility,Tier 2,"당일치기 온천, 가족/휴게 이용 후보",Hakone day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
atami-fuua,オーシャンスパ Fuua,오션스파 후아,atami,静岡県,wellness_spa,Tier 1,"상모만 조망 노천立ち湯, 암반욕·로우류·카페 복합",Official Atami Bay Resort Fuua site,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
atami-nikkotei,日航亭・大湯,닛코테이 오유,atami,静岡県,historic_public_bath,Tier 1,"熱海七湯 계열, 역사형 당일치기 온천 후보",Atami day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
atami-marinespa,マリンスパあたみ,마린스파 아타미,atami,静岡県,wellness_spa,Tier 2,"수영장/스파형 가족시설, 온천시설 후보",Atami tourism/day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
atami-ekimae-onsen,熱海駅前温泉浴場（田原浴場）,아타미역앞 온천욕장,atami,静岡県,historic_public_bath,Tier 2,"역앞 공동욕장, 수건/비누 지참 가능성 등 준비물 신호 후보",Atami City day-use facility list,needs_official_detail_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
atami-yamadayu,山田湯,야마다유,atami,静岡県,historic_public_bath,Tier 2,"공동욕장, 로컬 규칙/어메니티 신호 후보",Atami City day-use facility list,needs_official_detail_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
gero-kua-garden,クアガーデン露天風呂,쿠아가든 노천탕,gero,岐阜県,open_air_public_bath,Tier 1,"6종 온천욕, 히다강 조망, 공식 가격/주차 정보 확인",Gero City official day-use page,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
gero-shirasagi,白鷺の湯,시라사기노유,gero,岐阜県,historic_public_bath,Tier 1,"레트로 공중탕, 下呂 온천시설 비교 핵심",Gero City official day-use page,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
gero-sachinoyu,幸乃湯,사치노유,gero,岐阜県,public_bath_facility,Tier 1,"천연온천, 노천·사우나·가족탕 신호, 가족탕 휴지 공지 중요",Official Sachinoyu site,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
gero-onsen-museum,下呂発温泉博物館,게로 온천박물관,gero,岐阜県,footbath,Tier 3,온천 학습+족탕/관광동선 후보,Gero official set-ticket exposure,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
dogo-tsubakinoyu,椿の湯,츠바키노유,dogo,愛媛県,historic_public_bath,Tier 2,"도고 로컬 공중탕, 가격/로컬 문화 신호 후보",Dogo tourism seed,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-muronoyu,牟婁の湯,무로노유,shirahama,和歌山県,historic_public_bath,Tier 2,"공중탕, 두 원천 비교 신호 후보",Shirahama day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv;nationwide_west_facility_seed_v0_4_2026-07-03.csv
shirahama-shirasuna,しらすな,시라스나,shirahama,和歌山県,open_air_public_bath,Tier 2,수영복형 노천/해변 관광동선 후보,Shirahama day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
shirahama-choseinoyu,長生の湯,초세이노유,shirahama,和歌山県,public_bath_facility,Tier 2,"당일치기 온천, 원천/노천 후보",Shirahama day-use seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
ibusuki-sayuri,山川砂むし温泉 砂湯里,야마가와 모래찜질온천 사유리,ibusuki,鹿児島県,sand_bath_facility,Tier 1,"해변 모래찜질형, 운영/날씨 변수 후보",Ibusuki facility seed,needs_source_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
ibusuki-tamatebako,ヘルシーランド 露天風呂 たまて箱温泉,타마테바코온천,ibusuki,鹿児島県,open_air_public_bath,Tier 1,"절경 노천탕, 조망/접근성 신호 후보",Ibusuki facility seed,needs_review_pool_crosscheck,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
noboribetsu-daiichi-dayuse,第一滝本館 日帰り入浴,다이이치 타키모토칸 당일입욕,noboribetsu,北海道,large_day_use_complex,Tier 1,"대형 호텔 온천 당일입욕, 접수시간·요금 확인 필요",Noboribetsu tourism day-use page,needs_official_detail_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
noboribetsu-grand-dayuse,登別グランドホテル 日帰り温泉,노보리베쓰 그랜드호텔 당일온천,noboribetsu,北海道,large_day_use_complex,Tier 1,"日帰り 2,000엔, 접수마감/혼잡시 단축 신호, 鬼サウナ",Official Noboribetsu Grand hot spring/news pages,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
noboribetsu-sekisuitei-dayuse,登別石水亭 日帰り入浴,노보리베쓰 세키스이테이 당일입욕,noboribetsu,北海道,large_day_use_complex,Tier 2,"대형 호텔 당일입욕, 접수마감 신호",Noboribetsu tourism day-use page,needs_official_detail_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
noboribetsu-manseikaku-dayuse,登別万世閣 日帰り入浴,노보리베쓰 만세이카쿠 당일입욕,noboribetsu,北海道,large_day_use_complex,Tier 2,"아침/오후 당일입욕 시간 분리, 요금/접수마감 신호",Noboribetsu tourism day-use page,needs_official_detail_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
noboribetsu-suzuki-karurusu,カルルス温泉 鈴木旅館,가루루스온천 스즈키료칸,noboribetsu,北海道,public_bath_facility,Tier 2,가루루스 온천권 당일입욕 후보,Noboribetsu tourism day-use page,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
jozankei-hoheikyo,豊平峡温泉,호헤이쿄온천,jozankei,北海道,open_air_public_bath,Tier 1,"대자연 대노천탕, 조망/접근성/혼잡 신호 후보",Jozankei Tourism official day-use page,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
jozankei-yunohana,湯の花 定山渓殿,유노하나 조잔케이덴,jozankei,北海道,large_day_use_complex,Tier 1,"대중형 당일온천, 10:00-21:00/접수 20:30 노출, 셔틀 후보",Jozankei day-use search result,needs_official_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
jozankei-morino-uta-dayuse,定山渓鶴雅リゾートスパ森の謌 日帰り,모리노우타 당일온천,jozankei,北海道,wellness_spa,Tier 1,"스파 리조트형 당일 플랜, 식사세트 요금 신호","Official Mori no Uta, Jozankei Tourism day-use page",needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
jozankei-shogetsu-dayuse,章月グランドホテル 日帰り,쇼게쓰 그랜드호텔 당일온천,jozankei,北海道,hotel_dayuse_bath,Tier 2,"식사세트형 고가 당일온천, 예약/가격 신호 후보",Jozankei Tourism day-use page,needs_official_detail_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
jozankei-hanakaede-dayuse,鹿の湯・花もみじ 日帰り候補,시카노유/하나모미지 당일온천,jozankei,北海道,hotel_dayuse_bath,Tier 2,"호텔 대욕장 당일이용 후보, 운영일 확인 필요",Jozankei day-use seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
yunokawa-yumeguri-butai,湯の川温泉足湯「湯巡り舞台」,유노카와 족탕 유메구리부타이,yunokawa-hakodate,北海道,footbath,Tier 1,"무료 족탕, 9:00-21:00, 타월 지참 신호",Hakodate Yunokawa official spot page,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
yunokawa-tropical-footbath,函館市熱帯植物園足湯,하코다테시 열대식물원 족탕,yunokawa-hakodate,北海道,footbath,Tier 1,"열대식물원 내 원천 족탕, 원숭이 온천 계절성 신호",Hakobura and official botanical garden pages,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
hakodate-yachigashira,谷地頭温泉,야치가시라온천,yunokawa-hakodate,北海道,public_bath_facility,Tier 1,"하코다테 시내 공중온천, 로컬탕/갈색온천 신호 후보",Hakobura Hakodate onsen list,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
hakodate-hiromesou,ホテル函館ひろめ荘,하코다테 히로메소,yunokawa-hakodate,北海道,hotel_dayuse_bath,Tier 2,函館 근교 일일온천/숙박 겸용 후보,Hakobura onsen list,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nasu-shikanoyu,那須温泉 鹿の湯,나스온천 시카노유,nasu,栃木県,historic_public_bath,Tier 1,"1300년 역사, 성인 500엔, 탕치권, 강산성 유황천 후보","Official Shikanoyu, Nasu tourism day-use page",needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nasu-kitamoyu,那須高原 ゆの香しおばら / 北温泉旅館候補,Nasu historic bath candidates,nasu,栃木県,historic_public_bath,Tier 2,"비경/역사형 당일입욕 후보, 명칭 보강 필요",Nasu facility seed,needs_identity_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nasu-nakafujiya-dayuse,那須・鹿の湯源泉 中藤屋旅館 日帰り,나카후지야료칸 당일입욕,nasu,栃木県,hotel_dayuse_bath,Tier 2,"11:00-15:00 당일입욕, 鹿の湯源泉 백탁 유황천",Official Nakafujiya site,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nasu-shimizuya-dayuse,旅館 清水屋 日帰り入浴,시미즈야료칸 당일입욕,nasu,栃木県,hotel_dayuse_bath,Tier 2,鹿の湯 원천 무가수 사용 신호,Nasu tourism day-use page,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nasu-jizaiso-dayuse,こころのおやど 自在荘 日帰り入浴,지자이소 당일입욕,nasu,栃木県,hotel_dayuse_bath,Tier 2,"나스 관광협회 일일입욕 노출, 접객/대욕장 후보",Nasu tourism day-use page,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
kinugawa-nikko-yumoto-onsenji,日光山温泉寺,닛코산 온천사,nikko-yumoto,栃木県,historic_public_bath,Tier 1,"사찰 온천/탕치형, 유황천·운영시즌 후보",Nikko/Kinugawa regional facility seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
kinugawa-kinutaki,鬼怒川公園岩風呂,기누가와공원 이와부로,kinugawa,栃木県,public_bath_facility,Tier 1,"공원 내 당일온천, 로컬/관광객 이용 신호 후보",Kinugawa day-use seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
kinugawa-yudokoro-suzukaze,湯處すず風,유도코로 스즈카제,kinugawa,栃木県,public_bath_facility,Tier 2,"기누가와 당일온천 후보, 접근성/요금 확인 필요",Kinugawa day-use seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
nikko-edoyado-onsen,日光市温泉保養センター やしおの湯,야시오노유,kinugawa,栃木県,public_bath_facility,Tier 2,"닛코 공공온천, 가격형/로컬 시설 후보",Nikko regional public bath seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-tokaikan,東海館,도카이칸,ito-izu,静岡県,historic_public_bath,Tier 1,"伊東 역사건축, 주말/공휴일 입욕 운영 신호 후보",Ito tourism facility seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-marine-town-seaside-spa,伊東マリンタウン シーサイドスパ,이토 마린타운 시사이드스파,ito-izu,静岡県,wellness_spa,Tier 1,"해변/도로역 온천시설, 조망·장거리 이동자 수요 후보",Ito day-use facility seed,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-akazawa-day-spa,赤沢日帰り温泉館,아카자와 일일온천관,ito-izu,静岡県,large_day_use_complex,Tier 1,"태평양 조망 대노천, 스파/식음 복합 후보",Izu Kogen day-use seed,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-kawana-irukahama,川奈いるか浜公園 足湯候補,가와나 이루카하마 족탕 후보,ito-izu,静岡県,footbath,Tier 3,"해변 관광동선형 족탕 후보, 현존/운영 확인 필요",Ito facility seed,needs_source_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
ito-hokkawa-kuroane,黒根岩風呂,구로네이와부로,ito-izu,静岡県,open_air_public_bath,Tier 1,"바다 바로 앞 노천탕, 조망/운영시간/혼욕규칙 후보",Higashi-Izu day-use seed,needs_review_pool_crosscheck,nationwide_east_facility_seed_v0_3_2026-07-03.csv
