slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
arima-gekkoen-korokan,月光園 鴻朧館,Gekkoen Korokan,arima,兵庫県,ryokan,Tier 1,hold,"금천/노천/객실탕 후보, 리뷰풀 가치",room_bath;open_air_public_bath,리뷰풀 수는 이번 샘플에서 미확정,https://kouroukan.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,Arima accommodation exposure,needs_official_crosscheck,0,0,https://kouroukan.com/ ; https://www.feel-kobe.jp/facilities/0000000336/,공식/관광 표면에서 유료 숙박 료칸 및 금천 노천탕 신호 확인 | 공식 URL과 관광협회성 페이지가 일치. bath detail은 deep check 필요. | verification_result=official_identity_confirmed | next_status_raw=needs_review_pool_count
shirahama-kaishu,白浜温泉 浜千鳥の湯 海舟,Hamachidori no Yu Kaishu,shirahama,和歌山県,seaside ryokan,Tier 1,ready,바다 전망 노천/객실탕 인기 신호,room_open_air_bath;room_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten surfaces mention public/private/mixed open-air, ocean views, room open-air satisfaction, elderly family use, and foreign bath-use questions",https://dormy-hotels.com/resort/hotels/shirahama_kaisyu/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,0,0,https://dormy-hotels.com/resort/hotels/shirahama_kaisyu/ ; https://travel.rakuten.co.jp/HOTEL/68224/review.html ; https://travel.rakuten.co.jp/HOTEL/68224/68224.html ; https://travel.gpoint.co.jp/daredoko/h12992/,公式/Rakutenで日本三大古湯・白浜温泉をかけ流し、混浴露天風呂、貸切露天風呂、大浴場、客室露天風呂を確認 | 共立リゾートの浴場多層型。混浴露天/貸切露天/大浴場/客室露天/外国人利用戸惑いを分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
shirahama-kawakyu,ホテル川久,Hotel Kawakyu,shirahama,和歌山県,luxury resort hotel,Tier 1,ready;split_needed,"객실 노천탕 인기, 대형 리조트형 후보",room_open_air_bath,"Rakuten surfaces mention bath gender-switching, royal/luxury bath atmosphere, buffet strength and occasional room-service/cleanliness detail checks",https://www.hotel-kawakyu.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",MyBest/Jalan Shirahama room-open-air,needs_bath_detail_crosscheck,0,0,https://www.hotel-kawakyu.jp/ ; https://travel.rakuten.co.jp/HOTEL/14111/review.html ; https://travel.rakuten.co.jp/HOTEL/14111/14111.html ; https://travel.rakuten.co.jp/HOTEL/14111/14111_onsen.html,楽天/公式系表面で温泉サロンROYAL SPA、田辺湾を望む露天風呂、岩露天風呂、温泉露天風呂付きスパスイートを確認 | 豪華リゾート型。温泉サロン2系統、田辺湾ビュー露天、岩露天、露天風呂付きスイート、王様のビュッフェ信号を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_luxury_resort_bath_split
shirahama-key-terrace,SHIRAHAMA KEY TERRACE HOTEL SEAMORE,Hotel Seamore,shirahama,和歌山県,large resort hotel,Tier 1,ready;split_needed,"바다 전망 대형 리조트, 온천·족탕·당일이용 후보",public_bath;open_air_public_bath,"Rakuten surfaces mention ocean-view footbath, wide baths with partitioned washing area, sea-wind open-air view, buffet and resort lounge value",https://www.keyterrace.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Nanki Shirahama tourism onsen page,needs_bath_detail_crosscheck,0,0,https://www.keyterrace.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/166965/review.html ; https://travel.rakuten.co.jp/HOTEL/166965/166965_onsen.html ; https://travel.rakuten.co.jp/HOTEL/173031/gallery.html,公式/Rakutenで源泉掛け流しの海絶景温泉、大浴場、露天風呂、サウナ、足湯、岩盤浴系設備を確認 | 大型海景リゾート。源泉掛け流し大浴場/露天、足湯、サウナ、岩盤浴、日帰り/レジデンス利用導線を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_dayuse_and_footbath_split
shirahama-sanrakuso,白浜温泉 ホテル三楽荘,Hotel Sanrakuso,shirahama,和歌山県,seaside hotel ryokan,Tier 1,ready,객실 노천탕 인기 신호,room_open_air_bath;public_bath,"Rakuten shows large review pool; visible reviews mention room open-air with view, 8F room bath, public bath drink service, family/elderly use; third-party cites 2400+ review scale",https://sanrakuso.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,0,0,https://sanrakuso.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/8226/review.html ; https://travel.rakuten.co.jp/HOTEL/8226/8226.html ; https://iteminfootodoke.com/blog/%E3%80%90%E5%92%8C%E6%AD%8C%E5%B1%B1%E7%9C%8C%E7%99%BD%E6%B5%9C%E6%B8%A9%E6%B3%89%E3%80%91%E3%83%9B%E3%83%86%E3%83%AB%E4%B8%89%E6%A5%BD%E8%8D%98%E3%81%AE%E5%8F%A3%E3%82%B3%E3%83%9F%E3%83%BB%E8%A9%95/,公式/Rakutenで全室オーシャンビュー、22室の源泉かけ流し露天風呂付客室、2種の源泉を楽しむ大浴場と源泉客室露天風呂を確認 | 源泉かけ流し客室露天22室+2源泉大浴場。部屋タイプ別と大浴場泉質を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
shirahama-xyz-speciale,海絶景とギネス認定の宿 全室露天風呂付離れ XYZスペチアーレ,XYZ Speciale,shirahama,和歌山県,detached ryokan,Tier 1,ready,"전실 노천풍로離れ, 해절경·미라바스 신호",room_open_air_bath;room_bath,"Ikkyu/Rakuten/Yahoo surfaces mention room-only onsen, ocean view, slippery/toro water, no public bath, luxury extras/laser/Rolls-Royce, insects and unusual room-flow issues",https://xyz-speciale.xyz/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Ikkyu Shirahama room-open-air ranking,needs_official_crosscheck,0,0,https://xyz-speciale.xyz/ ; https://www.ikyu.com/00002920/ ; https://travel.rakuten.co.jp/HOTEL/182811/review.html ; https://travel.yahoo.co.jp/00002920/review/,公式で全室源泉かけ流し露天風呂付離れ、海絶景、ギネス認定宿として確認 | 全室離れ・部屋風呂のみ系。温泉そのものと演出/高価格/導線/虫を分ける | verification_result=official_and_multi_review_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
shirahama-yanagiya,白浜温泉 家族とすごす白浜の宿 柳屋,Yanagiya,shirahama,和歌山県,traditional ryokan,Tier 1,ready;split_needed,"가족형 료칸, 객실 노천탕 후보",room_open_air_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten/Jalan surfaces mention room open-air skin-smooth satisfaction, child/family friendliness, all-ocean-view and 100% source-flow appeal",https://www.yanagiya-hotel.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan Shirahama room-open-air page,needs_bath_detail_crosscheck,0,0,https://www.yanagiya-hotel.jp/ ; https://www.yanagiya-hotel.jp/rooms/ ; https://travel.rakuten.co.jp/HOTEL/9133/review.html ; https://travel.rakuten.co.jp/HOTEL/9133/9133.html ; https://www.jalan.net/yad364545/ ; https://www.shirahama-ryokan.jp/yado/yanagiya.html,公式/Rakuten/Jalanで大浴場・露天風呂等すべての湯船が源泉掛け流し、客室露天風呂付き久遠、貸切風呂、家族向け宿を確認 | 温泉露天風呂付客室と沸かし湯半露天客室が混在するため部屋タイプを必ず分ける。源泉掛け流し大浴場/客室久遠/貸切風呂/子連れを分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_room_type_source_split
toba-kisara,季さら,Kisara,toba,三重県,private ryokan,Tier 1,ready,객실 노천탕·프라이빗 숙소 후보,room_open_air_bath;room_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten/Ikkyu/Yahoo surfaces mention fully private room indoor+open-air onsen, 24h temperature-adjustable bath, maternity/child-friendly private stay, some room age/smell notes",https://www.toba-kisara.com/kisara/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Toba room-open-air exposure,needs_official_crosscheck,0,0,https://www.toba-kisara.com/kisara/ ; https://travel.rakuten.co.jp/HOTEL/108775/review.html ; https://travel.rakuten.co.jp/HOTEL/108775/108775.html ; https://www.ikyu.com/00001863/ ; https://travel.yahoo.co.jp/00001863/review/,公式/Rakutenで鳥羽湾近く、全室温泉露天風呂付き離れ13棟、内湯と露天風呂付き客室表面を確認 | 客室内湯+露天の完全プライベート型。大浴場ではなく家族/妊婦/子連れ需要と部屋食を分ける | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
toba-kisara-bettei-toki,季さら別邸 刻,Toki Kisara Bettei,toba,三重県,luxury ryokan,Tier 1,ready,고급 별저형 객실탕 후보,room_open_air_bath;room_bath,"Rakuten/Ikkyu/Relux surfaces mention room indoor bath + open-air + footbath, temperature-adjustable bath, slippery/toro water, high private-stay satisfaction and some insects/meal-time notes",https://www.toba-kisara.com/toki/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Toba luxury exposure,needs_official_crosscheck,0,0,https://www.toba-kisara.com/toki/ ; https://travel.rakuten.co.jp/HOTEL/172767/review.html ; https://travel.rakuten.co.jp/HOTEL/172767/172767.html ; https://www.ikyu.com/00002691/ ; https://rlx.jp/23788/review/,公式/Rakutenで全10室離れ、客室露天と内風呂、七栗の湯/社宮司温泉、アルカリ性泉質を確認 | 季さら本館と別行。客室内湯/露天/足湯、七栗の湯、部屋食・子連れ/妊婦需要を分ける | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
toba-toba-kokusai,鳥羽国際ホテル 潮路亭,Toba Hotel International Shiojitei,toba,三重県,seaside ryokan hotel,Tier 1,ready,"도바 바다 전망 온천숙소, 진주온천/대욕장 후보",public_bath;open_air_public_bath,"Rakuten/Oyutabi surfaces mention pearl bath novelty and soft feel, high-end lodging/food, but one review says bath variety and spring quality felt limited",https://www.shiojitei.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Toba top area seed,needs_source_crosscheck,0,0,https://www.shiojitei.jp/ ; https://travel.rakuten.co.jp/HOTEL/8528/review.html ; https://travel.rakuten.co.jp/HOTEL/8528/8528.html ; https://oyutabi.biglobe.ne.jp/h36864/,公式/Rakutenで鳥羽国際ホテル系列の温泉旅館、常若の湯、庭園、真珠由来成分を配合したパールオーロラ風呂系の浴場価値を確認 | 真珠温泉/パール風呂の体験価値が中心。泉質実感弱め、風呂種類少なめ、子供料理不満、伊勢志摩食事評価を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_pearl_bath_expectation_check
toba-todaya,戸田家,Todaya,toba,三重県,large ryokan hotel,Tier 1,ready;split_needed,"대형 온천호텔, 다양한 욕장/리뷰풀 후보",public_bath;private_bath_or_family_bath_unclear,"Rakuten surfaces mention family travel, food strength, free private baths and bath-village expectation; negative checks should focus on crowding/aging/flow",https://www.todaya.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Toba lodging exposure,needs_bath_detail_crosscheck,0,0,https://www.todaya.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/4761/review.html ; https://travel.rakuten.co.jp/HOTEL/4761/4761.html ; https://www.todaya.co.jp/rakuten_travel/room/ ; https://travel.rakuten.co.jp/HOTEL/4761/TOPIC/,公式/Rakutenで鳥羽温泉郷の大型旅館、5種類の無料貸切風呂、2種類の有料貸切風呂、温泉村の湯めぐり、大浴場を確認 | 大型温泉ホテル。無料貸切風呂5、有料貸切2、大浴場、温泉村、プール/食事/家族利用を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_bath_village_flow_split
kaike-kasuitei,皆生温泉 華水亭,Kasuitei,kaike,鳥取県,ryokan hotel,Tier 1,ready;split_needed,바다 전망 대욕장과 객실 노천탕 후보,room_open_air_bath;room_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten surface mentions sea-view rooms and open-air view satisfaction, food and service strength; bath proposition is public sea-view plus room open-air",https://kaikeonsenkasuitei.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_official_crosscheck,0,0,https://kaikeonsenkasuitei.jp/ ; https://travel.rakuten.co.jp/HOTEL/2038/review.html ; https://travel.rakuten.co.jp/HOTEL/2038/2038.html ; https://travel.rakuten.co.jp/HOTEL/2038/2038_onsen.html,公式/Rakutenで自家源泉の露天風呂、露天風呂付き客室、日本海を一望できる展望大浴場、露天風呂、サウナ、家族風呂を確認 | 日本海展望大浴場と自家源泉露天が中心。露天風呂付き客室、家族風呂、サウナ、海ビューを分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_view_room_bath_split
kaike-shiontei,皆生温泉 やど紫苑亭,Yado Shiontei,kaike,鳥取県,luxury ryokan,Tier 1,ready;split_needed,고급 객실탕과 해안 온천 후보,room_open_air_bath;room_bath;private_bath_or_family_bath_unclear,"Ikkyu/Yahoo surfaces mention private bath highly satisfying, room semi-open-air depth adjustment, high-end crab/kaiseki and premium service",https://yado-shiontei.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan Chugoku/Shikoku source,needs_official_crosscheck,0,0,https://yado-shiontei.jp/ ; https://www.ikyu.com/00002863/ ; https://travel.yahoo.co.jp/00002863/review/ ; https://www.instagram.com/kaike_yado_shiontei/,公式で1日10室限定、客室露天/内風呂で天然温泉、1日1組限定の源泉かけ流し貸切温泉を確認 | 高級小規模宿。客室内温泉、源泉かけ流し貸切温泉、貸切別料金、料理長演出/蟹会席を分ける | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_private_bath_fee_split
kaike-yugetsu,皆生游月,Kaike Yugetsu,kaike,鳥取県,seaside ryokan,Tier 1,ready;split_needed,객실 노천탕 인기 신호,room_open_air_bath;public_bath,Rakuten surfaces mention rooftop infinity open-air and location as strong positives; room open-air also praised but official FAQ limits source-flow interpretation,https://kaike-yugetsu.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten rotsuki ranking historic/source follow-up,needs_official_crosscheck,0,0,https://kaike-yugetsu.jp/ ; https://kaike-yugetsu.jp/rooms/ ; https://travel.rakuten.co.jp/HOTEL/168732/review.html ; https://travel.rakuten.co.jp/HOTEL/168732/168732.html ; https://travel.rakuten.co.jp/HOTEL/168732/168732_onsen.html,公式/Rakutenで全室オーシャンビュー、全室温泉露天風呂、インフィニティ天空露天風呂を確認。ただし大浴場/天空露天は循環式、客室テラス露天は溜め湯式でかけ流しではない | 全室温泉露天だが源泉かけ流しではない。大浴場/天空露天の循環式、客室露天の溜め湯式、茶褐色濁り、海ビューを分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_circulation_and_tameyu_split
kaike-yurari,皆生温泉 海色・湯の宿 松月,Shogetsu,kaike,鳥取県,ryokan,Tier 1,hold;route_or_pass,해안 객실탕과 전망 온천 후보,room_open_air_bath;room_bath;public_bath;private_bath_or_family_bath_unclear,"Rakuten surfaces mention many bath types, rooftop public bath and private baths, and use of sister property Yugetsu bath; food and sea-view signals also strong",https://www.shogetsu.co.jp/,정체성·동선·상품 단위가 흔들려 재라우팅 또는 제외 판단 필요,regional OTA source,needs_official_crosscheck,0,0,https://www.shogetsu.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/5666/review.html ; https://travel.rakuten.co.jp/HOTEL/5666/5666.html ; https://www.jalan.net/yad334440/,公式/Rakutenで最上階の日本海/大山眺望大浴場、露天風呂、4つの貸切温泉露天風呂、露天風呂付客室を確認 | slugはkaike-yurariだが日本語名/公式は皆生松月。松月として整理が必要。眺望大浴場、4貸切露天、客室露天、姉妹館游月利用を分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=slug_identity_recheck_then_ready_for_deep_review
misasa-izanro-iwasaki,三朝温泉 依山楼岩崎,Izanro Iwasaki,misasa,鳥取県,ryokan,Tier 1,ready,라듐 온천과 대형 회유식 대욕장 후보,public_bath;open_air_public_bath,"Rakuten/Jalan surfaces mention large bath circuit, radium/health spring framing, many baths, river/old building impressions and some room-age gaps",https://izanro.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan Chugoku/Shikoku source,needs_official_crosscheck,0,0,https://izanro.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/5847/review.html ; https://www.jalan.net/yad322113/kuchikomi/,公式で三朝ラジウム温泉、回遊式大庭園風呂「山の湯」「右の湯」、飲泉/蒸気吸入、源泉かけ流し表面を確認 | 三朝ラジウムの代表大型宿。回遊式大浴場/飲泉/吸入/ラジウム期待を分ける | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
misasa-mansuirou,三朝温泉 万翆楼,Mansuirou,misasa,鳥取県,ryokan,Tier 1,ready,객실 노천탕과 라듐 온천 후보,room_open_air_bath;public_bath,"Rakuten/Jalan surfaces mention room bath/open-air bath satisfaction, radium onsen, quiet luxury, but visible review volume is smaller than Izanro",https://www.mansuirou.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_official_crosscheck,0,0,https://www.mansuirou.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/38972/review.html ; https://www.jalan.net/yad322084/kuchikomi/,公式で三朝温泉、源泉かけ流し内風呂付特別室、離れ風客室、露天風呂/大浴場表面を確認 | 三朝の高級客室風呂候補。ラジウム大浴場と客室内風呂/露天の温泉有無を分離 | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
misasa-saiki-bekkan,三朝温泉 斉木別館,Saiki Bekkan,misasa,鳥取県,ryokan,Tier 1,hold,정원 대욕장과 전통 료칸 후보,room_open_air_bath;room_bath;public_bath,"Rakuten/JTB/Jalan surfaces mention radium bath, large garden bath, sauna/ganbanyoku, family value; some sources warn room open-air bath may be non-onsen/white water depending on room",https://saikibekkan.ooedoonsen.jp/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,regional OTA source,needs_source_crosscheck,0,0,https://saikibekkan.ooedoonsen.jp/ ; https://travel.rakuten.co.jp/HOTEL/4871/review.html ; https://travel.rakuten.co.jp/HOTEL/4871/4871_onsen.html ; https://www.jalan.net/yad345166/kuchikomi/,公式/Rakutenで大江戸温泉物語Premium斉木別館、高濃度ラジウム三朝温泉、大浴場・露天風呂・サウナ・水風呂・岩盤浴を確認 | 大浴場ラジウム温泉は有効。客室露天を温泉として扱う前に部屋タイプ別の温泉/白湯を確認 | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=needs_room_bath_onsen_status_check
tamatsukuri-chorakuen,玉造温泉 湯之助の宿 長楽園,Chorakuen,tamatsukuri,島根県,ryokan,Tier 1,ready,대형 혼욕 노천과 미인탕 후보,room_open_air_bath,Rakuten/Jalan surfaces mention very large open-air bath; bathing wear/mixed-bath expectation likely important,https://www.chorakuen.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional high-demand source,needs_official_crosscheck,0,0,https://www.chorakuen.jp/ ; https://travel.rakuten.co.jp/HOTEL/12628/review.html ; https://travel.rakuten.co.jp/HOTEL/12628/12628.html ; https://www.jalan.net/yad323049/,楽天/Jalanで120坪混浴庭園大露天風呂、天然温泉100%、一部循環ろ過表示、客室にも温泉供給を確認 | 120坪混浴大露天が主価値。混浴/湯浴み着/一部循環ろ過/客室温泉を分ける | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
tamatsukuri-kasuien-minami,玉造温泉 佳翠苑皆美,Kasuien Minami,tamatsukuri,島根県,luxury ryokan,Tier 1,ready,옥상 노천탕과 미인탕 후보,public_bath;open_air_public_bath,Rakuten review surface shows strong service and two-bath/crowd-status mentions; review volume likely high,https://www.kasuien-minami.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan Chugoku room-open-air source,needs_official_crosscheck,0,0,https://www.kasuien-minami.jp/ ; https://travel.rakuten.co.jp/HOTEL/7798/review.html ; https://travel.rakuten.co.jp/HOTEL/7798/7798.html,公式/Rakutenで玉造温泉、檜と岩の大浴場「浮殿」など複数浴場を確認 | 大型高級旅館。浴場数/混雑表示/美肌湯評価を分ける | verification_result=official_and_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
tamatsukuri-konya,玉造温泉 曲水の庭 ホテル玉泉,Hotel Gyokusen,tamatsukuri,島根県,large ryokan,Tier 1,ready,대형 대욕장과 정원 온천 후보,public_bath;open_air_public_bath,"Rakuten review surface mentions water quality high, smooth skin, large bath/garden view; third-party recommends very large indoor/open-air capacity",https://www.hotel-gyokusen.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_source_crosscheck,0,0,https://www.hotel-gyokusen.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/106267/review.html ; https://travel.rakuten.co.jp/HOTEL/106267/106267.html ; https://oyutabi.biglobe.ne.jp/h42213/,公式/Rakutenで玉造温泉、大浴場「巌の湯」など大型浴場・庭園型温泉宿表面を確認 | 玉造の大型大浴場候補。客室風呂ではなく大浴場・水質・庭園眺望を中心に見る | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
tamatsukuri-yunosuke,玉造グランドホテル長生閣,Choseikaku,tamatsukuri,島根県,ryokan hotel,Tier 1,ready,메노우 욕조와 미인탕 후보,public_bath,Rakuten review surface shows 855 marker; Jalan recent review praises agate bath and smooth skin,https://www.choseikaku.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_official_crosscheck,0,0,https://www.choseikaku.co.jp/ ; https://www.jalan.net/yad306939/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/10743/review.html ; https://travel.rakuten.co.jp/HOTEL/10743/10743.html,公式でめのうを敷き詰めた大浴場、全国有数の美肌の湯を確認 | めのう風呂/すべすべ美肌湯が主価値。食事評価との切り分け 필요 | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_pool_count
yubara-aburaya,湯原温泉 八景,Hakkei,yubara,岡山県,ryokan,Tier 1,ready,강변 노천과 스나유 접근성 후보,open_air_public_bath;private_bath_or_family_bath_unclear,Rakuten surface mentions public bath slightly lukewarm and private bath hotter; 4travel old surface includes cleanliness/service negative signal,https://hakkei-yubara.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_official_crosscheck,0,0,https://hakkei-yubara.jp/ ; https://travel.rakuten.co.jp/HOTEL/177949/review.html ; https://travel.rakuten.co.jp/HOTEL/177949/177949_onsen.html ; https://4travel.jp/dm_hotel-10051087,公式/Rakutenで砂湯向かい、pH9.3アルカリ性高温泉、川の湯/空の湯/貸切家族風呂、天然温泉を確認 | 宿泊施設内の風呂と対岸の公共砂湯を混同しない。古い清潔感ネガティブは年代を分けて検証 | verification_result=official_and_multi_review_surface_confirmed | next_status_raw=ready_for_deep_review_with_negative_cleanliness_check
yuda-kamefuku,湯田温泉 ユウベルホテル松政,Yubell Hotel Matsumasa,yuda,山口県,ryokan hotel,Tier 1,ready;split_needed,대욕장과 도심 온천 접근성 후보,public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Rakuten surfaces mention wide bath, relaxing open-air, food volume and city onsen convenience; bath proposition is urban-access public bath rather than room bath",https://www.matsumasa.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional OTA source,needs_source_crosscheck,0,0,https://www.matsumasa.jp/ ; https://travel.rakuten.co.jp/HOTEL/18990/review.html ; https://travel.rakuten.co.jp/HOTEL/18990/18990.html ; https://travel.rakuten.co.jp/HOTEL/18990/CUSTOM/GW18990130926203433.html,公式/Rakutenで湯田温泉源泉100%かけ流し露天風呂、広い大浴場「千人湯」、サウナ、貸切風呂、単純温泉/アルカリ単純泉を確認 | 都市型温泉ホテル。源泉100%かけ流し露天、大浴場千人湯、サウナ、貸切風呂、湯田温泉街アクセスを分ける | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_city_onsen_access_split
yuda-matsudaya,湯田温泉 松田屋ホテル,Matsudaya Hotel,yuda,山口県,historic ryokan,Tier 1,ready;split_needed,정원 노천탕과 역사 료칸 후보,room_bath;public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Rakuten/4travel/Oyutabi surfaces mention garden-view open-air bath, historical garden, some room-bath water-source differences between buildings, valuables-locker concern",https://www.matsudayahotel.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional high-value source,needs_official_crosscheck,0,0,https://www.matsudayahotel.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/67283/review.html ; https://travel.rakuten.co.jp/HOTEL/67283/67283.html ; https://4travel.jp/travelogue/10013517,公式/Rakutenで湯田温泉の歴史旅館、温泉、大浴場/庭園露天風呂表面を確認 | 歴史庭園旅館。大浴場・庭園露天・家族風呂・部屋風呂の温泉/水道水違いを確認 | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_room_bath_split
dogo-dogokan,道後舘,Dogo Kan,dogo,愛媛県,large ryokan,Tier 1,ready;split_needed,"도고 대표 료칸, 객실 노천탕/대욕장 후보",room_open_air_bath;room_bath;public_bath,"Ikkyu surfaces mention room open-air satisfaction and ability to bathe anytime, but taxi/transport arrangement friction and operational details appear",https://www.dogokan.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Ikkyu Dogo room-open-air list,needs_bath_detail_crosscheck,0,0,https://www.dogokan.co.jp/ ; https://www.ikyu.com/00001154/review/ ; https://www.ikyu.com/00001154/,公式/Ikkyuで道後温泉の代表旅館、露天風呂付客室、大浴場、道後温泉エリア滞在を確認 | 客室露天と大浴場/道後本館アクセスを分ける。温泉満足度とタクシー手配/移動導線の不満を混同しない | verification_result=official_and_multi_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_transport_and_room_bath_split
dogo-funaya,道後温泉 ふなや,Funaya,dogo,愛媛県,traditional ryokan,Tier 1,ready;split_needed,"도고 노포 료칸, 대욕장/역사형 수요",room_open_air_bath;public_bath,"Rakuten surfaces show very large review marker, garden/old ryokan/service/room meal signals; bath is public onsen + some room onsen, not all-room bath property",https://www.dogo-funaya.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan/Rakuten top area seed,needs_bath_detail_crosscheck,0,0,https://www.dogo-funaya.co.jp/ ; https://www.dogo-funaya.co.jp/facility/onsen.html ; https://travel.rakuten.co.jp/hotel/11332/11332.html ; https://travel.rakuten.co.jp/HOTEL/11332/11332_std.html,公式/Rakutenで創業390余年の老舗、2つの大浴場、露天風呂、サウナ、足湯、アルカリ性単純泉、温泉付き客室を確認 | 老舗旅館。大浴場/露天/サウナ/足湯/温泉付き客室を分け、庭園・歴史・部屋食・駅近アクセスが温泉評価を覆わないようにする | verification_result=official_and_high_volume_ota_bath_surface_confirmed | next_status_raw=ready_for_deep_review_with_heritage_public_bath_split
