slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
shirahama-sakinoyu,崎の湯,사키노유,shirahama,和歌山県,open_air_public_bath,day_use_onsen,Tier 1,ready,"바다 바로 앞 노천탕, 조망/운영조건 신호 후보",open_air_public_bath;public_bath,Jalan/4travel surfaces exist; wave/sea impact and no soap signal visible,https://www.town.shirahama.wakayama.jp/soshiki/kanko/koen/shisetsu/pubric_spa/1450338115191.html,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Rakuten Top20 area seed,needs_official_crosscheck,0,0,https://www.town.shirahama.wakayama.jp/soshiki/kanko/koen/shisetsu/pubric_spa/1450338115191.html ; https://www.jalan.net/kankou/spt_guide000000173536/ ; https://4travel.jp/dm_shisetsu/11322117,白浜町公式で500円、源泉かけ流し露天、石鹸/シャンプー不可系の共同露天として確認 | 海沿い露天の強い候補。洗い場なし/荒天/波/更衣設備 기대차를 반드시 태깅 | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
shirahama-toretore,とれとれの湯,토레토레노유,shirahama,和歌山県,large_day_use_complex,day_use_onsen,Tier 1,ready,식음/시장 관광동선형 대형 당일온천 후보,open_air_public_bath;public_bath,"Nifty/Jalan宿泊周辺 surfaces exist; sunset, oxygen bath/carbonated bath, towel purchase signals visible",https://toretore.com/yu/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Nanki Shirahama tourism onsen page,needs_review_pool_crosscheck,0,0,https://toretore.com/yu/ ; https://toretore.com/yu/price.html ; https://onsen.nifty.com/shirahama-wakayama-onsen/onsen008859/kuchikomi/,公式で白浜温泉の源泉、太平洋を望む露天風呂、内風呂、サウナ、岩盤浴を確認。料金大人980円、岩盤浴1000円 | 市場隣接大型温浴。白浜源泉/露天眺望/岩盤浴/タオル別料金を分ける | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
toba-aquaignis-kataoka,アクアイグニス片岡温泉,아쿠아이그니스 가타오카온천,toba,三重県,wellness_spa,day_use_onsen,Tier 1,ready,"미에권 스파/식음 복합시설, 도바·이세시마 보강 후보",public_bath,"Nifty/Jalan/Rakuten surfaces mention soft slippery water, faint sulfur smell, source-flow even shower; some shower pressure/complex facility signals",https://aquaignis.jp/spa_kataoka.php,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Mie facility seed,needs_area_crosscheck,0,0,https://aquaignis.jp/spa_kataoka.php ; https://onsen.nifty.com/yokkaichi-onsen/onsen002969/ ; https://www.jalan.net/yad365608/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/145313/145313.html,公式で地下1200m・毎分750L、源泉100%、加水加温循環なし、シャワーも含め掛け流し、アルカリ性単純温泉の美人の湯を確認 | wellness_spaかつsource-flow施設。三重だがarea_slug=tobaは不正確で湯の山/菰野に修正推奨 | verification_result=official_and_multi_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
toba-toba-seaside-hotel-dayuse,鳥羽シーサイドホテル 日帰り温泉,도바 시사이드호텔 당일온천,toba,三重県,hotel_dayuse_bath,day_use_onsen,Tier 1,hold;operation_recheck,바다 전망 대형 호텔 당일온천 후보,public_bath,Nifty/JTB/Instagram surfaces exist; ocean-view baths and chlorine smell/wayfinding caution visible,https://www.tobaseasidehotel.co.jp/,운영/당일이용 조건 변동 가능성이 있어 최신 공식 공지 재확인 필요,Toba day-use seed,needs_review_pool_crosscheck,0,0,https://www.tobaseasidehotel.co.jp/ ; https://onsen.nifty.com/tobashuuhen-onsen/onsen005633/ ; https://www.jtb.co.jp/kokunai-hotel/htl/6112006/review/,公式で3ヶ所の温泉施設、湯めぐり、鳥羽湾一望の大浴場を確認 | ホテル浴場の立寄り枠は最新確認 필요. 3浴場オーシャンビューと塩素臭/館内動線を確認 | verification_result=official_and_review_surface_confirmed | next_status_raw=needs_current_dayuse_rule_check
toba-todaya-dayuse,戸田家 日帰り温泉,토다야 당일온천,toba,三重県,hotel_dayuse_bath,day_use_onsen,Tier 1,route_or_pass;operation_recheck,"도바 대형 숙소 당일온천, 탕종류/혼잡 신호 후보",family_bath_or_private_bath_unclear;public_bath,Nifty has older day-use review; Jalan recent review flags weak onsen feeling/towel issue,https://www.todaya.co.jp/,운영/당일이용 조건 변동 가능성이 있어 최신 공식 공지 재확인 필요,Toba lodging/day-use seed,needs_review_pool_crosscheck,0,0,https://www.todaya.co.jp/ ; https://onsen.nifty.com/tobashuuhen-onsen/onsen007369/kuchikomi/ ; https://www.jalan.net/yad322346/kuchikomi/,公式で2025-07-01から日帰り入浴休止を確認。宿泊施設として温泉村/貸切風呂口コミ表面あり | 現在の施設候補としては保留。宿泊温泉候補なら別扱い 가능 | verification_result=official_current_dayuse_suspended | next_status_raw=hold_until_dayuse_reopens_or_convert_to_accommodation_signal
kaike-ou-land,皆生温泉 おーゆ・ランド,OU Land,kaike,鳥取県,large_day_use_complex,day_use_onsen,Tier 1,ready,대형 당일온천과 가족탕 후보,footbath;open_air_public_bath;family_bath_or_private_bath_unclear;public_bath,"Jalan/Nifty surfaces mention cheap/easy use, local users, family bath, saline feel and circulation caveat",https://www.ou-kaike.co.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional tourism source,needs_official_crosscheck,0,0,https://www.ou-kaike.co.jp/ ; https://www.jalan.net/kankou/spt_guide000000167859/kuchikomi/ ; https://onsen.nifty.com/yonago-onsen/onsen003516/kuchikomi/,公式で露天風呂、ふぁみりー風呂、サウナ、日帰り入浴できる皆生の源泉・湯元として確認 | 日帰り/家族風呂/サウナを分ける。安さと循環/混雑/塩気 피부자극 신호 확인 | verification_result=official_and_multi_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
misasa-kabuyu,三朝温泉 株湯,Kabuyu,misasa,鳥取県,historic_public_bath,footbath_only,Tier 1,hold,미사사 원천 공동탕과 라듐 온천 신호,footbath;public_bath,Nifty/4travel/Yahoo/Jalan surfaces exist; very hot water comments repeat,https://misasaonsen.jp/sightseeings/sightseeing-1072/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,regional tourism source,needs_official_crosscheck,0,0,https://misasaonsen.jp/sightseeings/sightseeing-1072/ ; https://onsen.nifty.com/misasa-onsen/onsen003527/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11330792,三朝温泉公式で公衆浴場・足湯・飲泉場、料金/時間を確認 | 三朝発祥の湯。熱い・小さい・飲泉/足湯/ラドン吸入期待を 시설별로 구조화 | verification_result=official_and_review_surface_confirmed | next_status_raw=needs_review_pool_count
misasa-kawara-buro,三朝温泉 河原風呂,Kawara-buro,misasa,鳥取県,open_air_public_bath,day_use_onsen,Tier 1,ready,강변 노천 공동탕과 이용난이도 후보,open_air_public_bath,Nifty shows 46; Jalan shows 43; Yahoo Map surface exists,https://misasaonsen.jp/sightseeings/sightseeing-1057/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional tourism source,needs_source_crosscheck,0,0,https://misasaonsen.jp/sightseeings/sightseeing-1057/ ; https://onsen.nifty.com/misasa-onsen/onsen003530/kuchikomi/ ; https://www.jalan.net/kankou/spt_guide000000162445/kuchikomi/ ; https://map.yahoo.co.jp/v3/place/N2efEjYw-Vk/review,三朝温泉公式で24時間無料の河原露天風呂、清掃時間表面を確認 | 無料混浴露天。開放感が価値だが丸見え/プライバシー/温度 변동 신호를 핵심 주의로扱う | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
misasa-radium-nettaiki,三朝温泉 ラドン熱気浴,River radon steam experience,misasa,鳥取県,steam_bath_facility,day_use_onsen,Tier 1,split_needed;route_or_pass,라돈 열기욕 체험과 기대차 후보,public_bath;facility_wide_special_experience,Official product pages visible; review pool not locked in this pass,https://misasaonsen.jp/radon/,정체성·동선·상품 단위가 흔들려 재라우팅 또는 제외 판단 필요,regional tourism source,needs_source_crosscheck,0,0,https://misasaonsen.jp/radon/ ; https://www.blancart.jp/spa/,三朝温泉公式でラドン熱気浴の利用施設/料金、すーはー温泉・ブランナールみささ表面を確認 | 単独浴場ではなくラドン熱気浴 product hub。すーはー温泉/ブランナールみささを子行化推奨 | verification_result=official_product_surface_confirmed | next_status_raw=route_or_product_split_needed
tamatsukuri-himegami-hiroba,玉造温泉 姫神広場 足湯,Himegami Footbath,tamatsukuri,島根県,footbath,footbath_only,Tier 1,footbath_only,온천가 중심 족욕과 산책 동선 후보,footbath,4travel and tourism surfaces exist; review pool modest,https://tamayado.com/?s=%E5%A7%AB%E7%A5%9E%E5%BA%83%E5%A0%B4,족탕/스톱오버형 시설로 숙소 온천 비교와 분리 유지,regional tourism source,needs_source_crosscheck,0,0,https://tamayado.com/?s=%E5%A7%AB%E7%A5%9E%E5%BA%83%E5%A0%B4 ; https://www.kankou-shimane.com/pickup/39854.html ; https://4travel.jp/dm_shisetsu/11380836,玉造温泉公式/島根観光で屋根付き無料足湯、タオル販売表面を確認 | footbath_only。温泉美肌エリアの回遊補助施設として候補維持 | verification_result=tourism_official_surface_confirmed | next_status_raw=footbath_only_keep
tamatsukuri-yu-yu,玉造温泉 ゆーゆ,Yu-yu,tamatsukuri,島根県,public_bath_facility,day_use_onsen,Tier 1,hold,옥조온천 대표 당일온천과 미인탕 후보,open_air_public_bath;public_bath,Nifty/Jalan/Sauna-ikitai review surfaces exist; crowding comments visible,https://www.tama-yuuyu.com/,Tier 1 후보이나 공식 세부 또는 리뷰풀 수 보강 필요,regional tourism source,needs_official_crosscheck,0,0,https://www.tama-yuuyu.com/ ; https://onsen.nifty.com/tamatsukurionsen-onsen/onsen003593/kuchikomi/ ; https://www.jalan.net/kankou/spt_32306cc3360048333/kuchikomi/page_3/,公式で日帰り温泉施設、大浴場・露天風呂を確認 | 混雑シグナルが見える。美肌/塩味/熱めの湯など浴感も回収対象 | verification_result=official_and_review_surface_confirmed | next_status_raw=needs_review_pool_count
yubara-sunayu,湯原温泉 砂湯,Sunayu,yubara,岡山県,open_air_public_bath,day_use_onsen,Tier 1,ready,강변 무료 노천탕과 혼욕 기대차 후보,open_air_public_bath,Nifty/Yahoo Map/Jalan surfaces exist; privacy/cleanliness/visibility concerns visible,https://www.maniwa.or.jp/web/?c=spot-2&pk=8,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional tourism source,needs_official_crosscheck,0,0,https://www.maniwa.or.jp/web/?c=spot-2&pk=8 ; https://onsen.nifty.com/okutsu-onsen/onsen003669/kuchikomi/ ; https://map.yahoo.co.jp/v3/place/PFRIMnqqnms/review ; https://www.jalan.net/kankou/spt_guide000000133029/kuchikomi/,真庭観光公式で無料24時間の混浴露天風呂、湯あみ着推奨表面を確認 | 混浴無料露天の強い候補。開放感とプライバシー/清潔感/女性利用ハードルを両方扱う | verification_result=official_and_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
yubara-yumoto-onsenkan,湯原温泉 湯本温泉館,Yumoto Onsenkan,yubara,岡山県,public_bath_facility,day_use_onsen,Tier 1,ready,스나유 인근 공공 당일온천 후보,family_bath_or_private_bath_unclear;public_bath,Nifty has 14 reviews; Jalan/Tripadvisor surfaces exist;砂湯回避先 and mild slimy water signals visible,https://www.city.maniwa.lg.jp/soshiki/60/2653.html,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",regional tourism source,needs_official_crosscheck,0,0,https://www.city.maniwa.lg.jp/soshiki/60/2653.html ; https://onsen.nifty.com/okutsu-onsen/onsen003676/kuchikomi/ ; https://www.jalan.net/kankou/spt_33583cc3360152787/kuchikomi/ ; https://www.tripadvisor.jp/Attraction_Review-g1023460-d5230927-Reviews-Yumoto_Onsenkan-Maniwa_Okayama_Prefecture_Chugoku.html,真庭市公式で地下源泉湧出、10:00-21:00、普通湯800円、家族湯4000円/1時間を確認 | 砂湯が苦手な人の代替施設。普通湯と家族湯を分ける | verification_result=municipal_official_and_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
yuda-kame-no-yu,湯田温泉 亀乃湯,Kame no Yu,yuda,山口県,public_bath_facility,day_use_onsen,Tier 1,route_or_pass,도심형 공동탕과 현지 이용 후보,public_bath,Nifty/Jalan/Japan47Go contain stale or legacy Kamenoyu information; current public-use evidence conflicts with closure/news and successor facilities,https://kamefuku.com/onsen/,정체성·동선·상품 단위가 흔들려 재라우팅 또는 제외 판단 필요,regional tourism source,needs_source_crosscheck,0,0,https://kamefuku.com/onsen/ ; https://onsen.nifty.com/yamaguchi-onsen/onsen010555/kuchikomi/ ; https://yama.minato-yamaguchi.co.jp/e-yama/articles/17153 ; https://www.japan47go.travel/ja/detail/a7a20d91-8d4e-4f22-8165-cad4f005de8e ; https://onsenkyokai.jp/spa/fukufukunoyu,公衆浴場の亀乃湯は2020-10-31閉館。現在の一般日帰り候補としては同エリアのかめ福オンプレイス「ふくふくの湯」等に再識別が必要 | このままTier1施設に残すのは危険。旧亀乃湯=閉館、Super Hotel guest-only/ふくふくの湯 public day-useを分離 | verification_result=closed_or_identity_conflict_confirmed | next_status_raw=exclude_or_reidentify_to_fukufukunoyu_or_superhotel_guest_only
yuda-kitsune-no-ashiato,湯田温泉 狐の足あと,Kitsune no Ashiato,yuda,山口県,footbath,footbath_only,Tier 1,footbath_only,카페형 족욕과 도심 관광 동선 후보,footbath,Jalan shows 96; Instagram official surface exists,https://www.yuda-onsen.jp/,족탕/스톱오버형 시설로 숙소 온천 비교와 분리 유지,regional tourism source,needs_official_crosscheck,0,0,https://www.yuda-onsen.jp/ ; https://www.jalan.net/kankou/spt_35203aa1032100822/kuchikomi/ ; https://www.instagram.com/kitsunenoashiato/,公式で湯田温泉の足湯カフェ/観光拠点として確認 | footbath + cafe/tourism hub。フル入浴施設ではなく stopover/観光導線として評価 | verification_result=official_and_review_surface_confirmed | next_status_raw=footbath_stopover_keep
dogo-asukanoyu,道後温泉別館 飛鳥乃湯泉,도고온천 별관 아스카노유,dogo,愛媛県,historic_public_bath,day_use_onsen,Tier 1,ready,"도고 공중탕 별관, 이용방식/대기 신호 후보",open_air_public_bath;public_bath,Jalan/4travel/Tabelog surfaces exist; queue/crowding and private room satisfaction signals visible,https://dogo.jp/onsen/asuka,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan 2026 top area seed,needs_official_crosscheck,0,0,https://dogo.jp/onsen/asuka ; https://www.jalan.net/kankou/spt_guide000000192110/kuchikomi/ ; https://4travel.jp/dm_shisetsu/11744516 ; https://tabelog.com/ehime/A3801/A380101/38012665/dtlrvwlst/?type=0,道後公式で加温加水なし源泉かけ流し、大浴場・露天風呂・特別浴室・休憩室を確認 | 道後本館との比較、1F入浴/2F個室/特別浴室の体験差を 분리 | verification_result=official_and_multi_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
dogo-honkan,道後温泉本館,도고온천 본관,dogo,愛媛県,historic_public_bath,day_use_onsen,Tier 1,ready,"역사형 공중탕 대표, 관광객 기대치/혼잡 신호 후보",public_bath,"Jalan shows 2,354 reviews; GoodLuckTrip notes full reopening and waiting/crowd-info value",https://dogo.jp/,"Tier 1 공식/검증 표면 확인, 딥리서치 우선 후보",Jalan 2026 top area seed,needs_official_crosscheck,0,0,https://dogo.jp/ ; https://www.jalan.net/kankou/spt_alikejpB001051499/kuchikomi/ ; https://www.gltjp.com/ja/directory/item/11360/,道後公式で重要文化財公衆浴場、保存修理工事が2024年全館営業再開済み、3館紹介を確認 | 歴史価値は強いが浴場規模/混雑/待ち時間/料金コース 기대차가 핵심 | verification_result=official_and_high_volume_review_surface_confirmed | next_status_raw=ready_for_facility_deep_review_pool_count
