queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,verification_status,source_basis,official_url,google_maps_url,nifty_url,jalan_or_4travel_url,tripadvisor_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_review,visible_review_pool_global,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
14,T1-01,unzen-yokayuu,雲仙よか湯,Unzen Yokayu,unzen,長崎県,public_bath_facility,Tier 1,가족탕과 당일온천 후보,needs_official_crosscheck,Unzen tourism daytrip source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
15,T1-01,ibusuki-kokoro-no-yu,指宿こころの湯,Ibusuki Kokoro no Yu,ibusuki,鹿児島県,large_day_use_complex,Tier 1,대욕장 암반욕 가족탕 병설형 대형 시설 후보,needs_official_crosscheck,regional facility source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
16,T1-01,ibusuki-saraku,砂むし会館 砂楽,이부스키 모래찜질회관 사라쿠,ibusuki,鹿児島県,sand_bath_facility,Tier 1,"모래찜질 대표 시설, 대기/체험/복장 신호 후보",needs_official_crosscheck,facility model regional seed,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
17,T1-01,kusatsu-gozanoyu,御座之湯,고자노유,kusatsu,群馬県,historic_public_bath,Tier 1,"草津三湯, 관광동선형 공중탕",needs_official_detail_crosscheck,Official Kusatsu Sanyu site,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
18,T1-01,gero-kua-garden,クアガーデン露天風呂,쿠아가든 노천탕,gero,岐阜県,open_air_public_bath,Tier 1,"6종 온천욕, 히다강 조망, 공식 가격/주차 정보 확인",needs_review_pool_crosscheck,Gero City official day-use page,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
19,T1-01,gero-sachinoyu,幸乃湯,사치노유,gero,岐阜県,public_bath_facility,Tier 1,"천연온천, 노천·사우나·가족탕 신호, 가족탕 휴지 공지 중요",needs_review_pool_crosscheck,Official Sachinoyu site,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
20,T1-01,gero-shirasagi,白鷺の湯,시라사기노유,gero,岐阜県,historic_public_bath,Tier 1,"레트로 공중탕, 下呂 온천시설 비교 핵심",needs_review_pool_crosscheck,Gero City official day-use page,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
21,T1-01,hakone-yunessun-morinoyu,箱根小涌園ユネッサン 森の湯,유넷상 모리노유,hakone,神奈川県,wellness_spa,Tier 1,"일일온천, 노천·내탕·사우나, 가족형 복합시설",needs_review_pool_crosscheck,Official Yunessun Mori no Yu site,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
22,T1-01,kusatsu-ohtakinoyu,大滝乃湯,오타키노유,kusatsu,群馬県,large_day_use_complex,Tier 1,"대욕장·노천탕·合わせ湯·貸切風呂, 煮川源泉 신호",needs_review_pool_crosscheck,Official Kusatsu Sanyu site,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
23,T1-01,atami-fuua,オーシャンスパ Fuua,오션스파 후아,atami,静岡県,wellness_spa,Tier 1,"상모만 조망 노천立ち湯, 암반욕·로우류·카페 복합",needs_review_pool_crosscheck,Official Atami Bay Resort Fuua site,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
24,T1-01,ito-akazawa-day-spa,赤沢日帰り温泉館,아카자와 일일온천관,ito-izu,静岡県,large_day_use_complex,Tier 1,"태평양 조망 대노천, 스파/식음 복합 후보",needs_review_pool_crosscheck,Izu Kogen day-use seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
25,T1-01,ito-hokkawa-kuroane,黒根岩風呂,구로네이와부로,ito-izu,静岡県,open_air_public_bath,Tier 1,"바다 바로 앞 노천탕, 조망/운영시간/혼욕규칙 후보",needs_review_pool_crosscheck,Higashi-Izu day-use seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
26,T1-01,ito-marine-town-seaside-spa,伊東マリンタウン シーサイドスパ,이토 마린타운 시사이드스파,ito-izu,静岡県,wellness_spa,Tier 1,"해변/도로역 온천시설, 조망·장거리 이동자 수요 후보",needs_review_pool_crosscheck,Ito day-use facility seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
27,T1-01,ibusuki-tamatebako,ヘルシーランド 露天風呂 たまて箱温泉,타마테바코온천,ibusuki,鹿児島県,open_air_public_bath,Tier 1,"절경 노천탕, 조망/접근성 신호 후보",needs_review_pool_crosscheck,Ibusuki facility seed,,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
28,T1-01,kurokawa-ikoi-dayuse,いこい旅館 日帰り入浴,Ikoi Ryokan day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,명물 노천탕 탕순례 후보,needs_source_crosscheck,Kurokawa regional source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
29,T1-01,kurokawa-yamamizuki-dayuse,山みず木 日帰り入浴,Yamamizuki day-use bath,kurokawa,熊本県,open_air_public_bath,Tier 1,자연형 노천탕 체험 후보,needs_source_crosscheck,Kurokawa regional source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
30,T1-01,hakone-tenzan,天山湯治郷,텐잔토지쿄,hakone,神奈川県,public_bath_facility,Tier 1,"하코네 탕치형 당일치기 시설, 노천/온천감 후보",needs_source_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
31,T1-01,hakone-yuryo,箱根湯寮,하코네유료,hakone,神奈川県,large_day_use_complex,Tier 1,"하코네 당일치기, 대욕장/대절탕 후보",needs_source_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
32,T1-01,kusatsu-otakinoyu,大滝乃湯,오타키노유,kusatsu,群馬県,public_bath_facility,Tier 1,"구사쓰 대표 당일치기, 맞춤탕/유황천 후보",needs_source_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
33,T1-01,kusatsu-sainokawara,西の河原露天風呂,사이노카와라 노천탕,kusatsu,群馬県,open_air_public_bath,Tier 1,대형 노천탕·관광동선 신호,needs_source_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv;nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
34,T1-01,atami-nikkotei,日航亭・大湯,닛코테이 오유,atami,静岡県,historic_public_bath,Tier 1,"熱海七湯 계열, 역사형 당일치기 온천 후보",needs_source_crosscheck,Atami day-use seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
35,T1-01,ito-tokaikan,東海館,도카이칸,ito-izu,静岡県,historic_public_bath,Tier 1,"伊東 역사건축, 주말/공휴일 입욕 운영 신호 후보",needs_source_crosscheck,Ito tourism facility seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
36,T1-01,ibusuki-sayuri,山川砂むし温泉 砂湯里,야마가와 모래찜질온천 사유리,ibusuki,鹿児島県,sand_bath_facility,Tier 1,"해변 모래찜질형, 운영/날씨 변수 후보",needs_source_crosscheck,Ibusuki facility seed,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_tourism_facility_seed_v0_2_2026-07-03.csv
37,T1-01,beppu-hyotan,ひょうたん温泉,효탄온천,beppu,大分県,large_day_use_complex,Tier 1,"원천 100% 가케나가시, 가족탕·모래탕·무시유·식음 복합",sample_done_needs_deep_tagging,"existing facility sample, official site, Google/Jalan",,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
38,T1-01,beppu-sakurayu,別府桜湯,벳푸 사쿠라유,beppu,大分県,family_private_bath_facility,Tier 1,"가족탕 20종, 코인타이머식 온천수 교체 신호",sample_done_needs_deep_tagging,"existing facility sample, official site, Google/Jalan",,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
39,T1-01,beppu-takegawara,竹瓦温泉,타케가와라온천,beppu,大分県,historic_public_bath,Tier 1,"역사형 공중탕+모래탕, 예약/샤워/대기 신호 강함",sample_done_needs_deep_tagging,"existing facility sample, Beppu city official, Google/Jalan",,,,,,,,,,,review_pool_count_check; accessible_review_text_check; Korean_demand_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_seed_v0_1_2026-07-03.csv
40,T1-01,kurokawa-day-use-status,黒川温泉 日帰り入浴情報,Kurokawa day-use bath status,kurokawa,熊本県,open_air_bath_route,Tier 1,혼잡과 휴업 상태를 공식 표시하는 노천 순례 허브,official_checked,Kurokawa official day-use status source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
41,T1-01,kurokawa-nyuto-tegata,黒川温泉 入湯手形,Kurokawa Onsen Nyuto Tegata,kurokawa,熊本県,open_air_bath_route,Tier 1,25개 료칸 노천 중 3곳 선택형 탕순례 상품,official_checked,Kurokawa official tegata source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
42,T1-01,unzen-kojigoku-onsenkan,小地獄温泉館,Kojigoku Onsenkan,unzen,長崎県,public_bath_facility,Tier 1,백탁 유황 원천 직접 이용과 낮은 요금 신호,official_checked,official Kojigoku source,,,,,,,,,,,source_url_check; map_listing_check; review_pool_count_check,P2,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
43,T1-01,takeo-motonoyu,武雄温泉 元湯,Takeo Motoyu,takeo,佐賀県,historic_public_bath,Tier 1,무형문화재급 누문 인근 역사 공중탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
44,T1-01,takeo-saginoyu,武雄温泉 鷺乃湯,Saginoyu,takeo,佐賀県,public_bath_facility,Tier 1,노천탕 있는 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
45,T1-01,ureshino-hyotan-onsen,嬉野温泉 百年の湯,Hyakunen no Yu,ureshino,佐賀県,public_bath_facility,Tier 1,가족탕과 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
46,T1-01,ureshino-siebold-no-yu,嬉野温泉 シーボルトの湯,Siebold no Yu,ureshino,佐賀県,historic_public_bath,Tier 1,우레시노 대표 공중탕과 미인탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
47,T1-01,jozankei-yunohana,湯の花 定山渓殿,유노하나 조잔케이덴,jozankei,北海道,large_day_use_complex,Tier 1,"대중형 당일온천, 10:00-21:00/접수 20:30 노출, 셔틀 후보",needs_official_crosscheck,Jozankei day-use search result,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_east_facility_seed_v0_3_2026-07-03.csv
48,T1-01,ginzan-shirogane-yu,銀山温泉 しろがね湯,Shirogane-yu,ginzan,山形県,public_bath_facility,Tier 1,온천가 중심 소형 공중탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
49,T1-01,zao-dai-rotenburo,蔵王温泉 大露天風呂,Zao Dai Rotenburo,zao-yamagata,山形県,open_air_public_bath,Tier 1,강산성 유황 대노천과 계절 운영 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
50,T1-01,zao-shinzaemon-no-yu,蔵王温泉 新左衛門の湯,Shinzaemon no Yu,zao-yamagata,山形県,public_bath_facility,Tier 1,관광객 친화적 당일 유황온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
51,T1-02,tamatsukuri-yu-yu,玉造温泉 ゆーゆ,Yu-yu,tamatsukuri,島根県,public_bath_facility,Tier 1,옥조온천 대표 당일온천과 미인탕 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
52,T1-02,tsukioka-bijin-no-izumi,月岡温泉 美人の泉,Bijin no Izumi,tsukioka,新潟県,public_bath_facility,Tier 1,월오카 미인탕 당일온천 대표 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
53,T1-02,wakura-soyu,和倉温泉 総湯,Wakura Soyu,wakura,石川県,public_bath_facility,Tier 1,와쿠라 대표 당일온천과 고염천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
54,T1-02,yamanaka-kikunoyu,山中温泉 菊の湯,Kiku no Yu,yamanaka,石川県,historic_public_bath,Tier 1,야마나카 대표 총탕과 현지 목욕문화 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
55,T1-02,yamashiro-ko-soyu,山代温泉 古総湯,Yamashiro Ko-Soyu,yamashiro,石川県,historic_public_bath,Tier 1,메이지풍 복원 공동탕과 관광객 기대차 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
56,T1-02,yamashiro-soyu,山代温泉 総湯,Yamashiro Soyu,yamashiro,石川県,historic_public_bath,Tier 1,야마시로 대표 공동탕과 온천가 중심 신호,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
57,T1-02,nyuto-ganiba-dayuse,蟹場温泉 日帰り入浴,Ganiba day-use bath,nyuto,秋田県,open_air_public_bath,Tier 1,숲속 노천탕과 탕순례 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
58,T1-02,nyuto-kuroyu-dayuse,黒湯温泉 日帰り入浴,Kuroyu day-use bath,nyuto,秋田県,historic_public_bath,Tier 1,계절형 비탕 원천과 접근성 변수 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
59,T1-02,nyuto-kyukamura-dayuse,休暇村乳頭温泉郷 日帰り入浴,Kyukamura Nyuto day-use bath,nyuto,秋田県,public_bath_facility,Tier 1,두 원천과 현대적 편의성을 가진 당일온천,needs_official_crosscheck,Qkamura travel magazine source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
60,T1-02,nyuto-taenoyu-dayuse,妙乃湯 日帰り入浴,Taenoyu day-use bath,nyuto,秋田県,open_air_public_bath,Tier 1,금탕은탕과 여성친화 노천탕 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
61,T1-02,nyuto-tsurunoyu-dayuse,鶴の湯温泉 日帰り入浴,Tsurunoyu day-use bath,nyuto,秋田県,historic_public_bath,Tier 1,뉴토 상징 노천탕과 혼욕 기대차 후보,needs_official_crosscheck,Nyuto official source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv
62,T1-02,nozawa-furusato-no-yu,野沢温泉 ふるさとの湯,Furusato no Yu,nozawa,長野県,public_bath_facility,Tier 1,관광객 친화적 유료 당일온천 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
63,T1-02,nozawa-ogama,野沢温泉 麻釜,Ogama,nozawa,長野県,food_steam,Tier 1,온천마을 상징 조리 원천과 관광 동선 후보,needs_official_crosscheck,regional tourism source,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_facility_batch_e_v0_6_2026-07-03.csv
