slug,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,bath_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
zao-lucent,蔵王温泉 蔵王国際ホテル,Zao Kokusai Hotel,zao-yamagata,山形県,ryokan hotel,Tier 1,ready,백탁 유황 대욕장과 스키 수요 후보,public_bath;open_air_public_bath,Rakuten review surface shows 806 marker and 2026 reviews praising onsen; Google hotel surface exists,https://www.zao-kokusaihotel.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.zao-kokusaihotel.jp/ ; https://travel.rakuten.co.jp/HOTEL/5723/review.html ; https://travel.rakuten.co.jp/HOTEL/5723/5723.html,공식/시설 주장: 公式/Rakutenで天然温泉100%の乳白色硫黄泉、雪見露天評価表面を確認 蔵王の強酸性硫黄泉候補。乳白色/硫黄臭/雪見露天/源泉100%を浴場別に深掘り 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
zao-miyagiya,蔵王温泉 深山荘高見屋,Miyamaso Takamiya,zao-yamagata,山形県,ryokan,Tier 1,ready,강산성 유황천과 전통 료칸 후보,unclear,"Jalan/Rakuten surfaces mention 100% source-flow, hot water, stairs/no elevator burden",https://www.zao.co.jp/takamiya/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.zao.co.jp/takamiya/ ; https://www.jalan.net/yad321744/kuchikomi/ ; https://travel.rakuten.co.jp/HOTEL/38534/review.html ; https://travel.rakuten.co.jp/HOTEL/38534/38534.html,공식/시설 주장: 公式で享保元年創業、自家源泉を情緒ある湯舟で楽しむ老舗旅館として確認 自家源泉掛け流し評価が強い。館内階段/段差と高齢者負荷も同時に 확인 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
hanamaki-kashoen,花巻温泉 佳松園,Kashoen,hanamaki,岩手県,luxury ryokan,Tier 1,ready,고급 료칸과 대욕장 후보,room_open_air_bath;public_bath;open_air_public_bath,Rakuten/Jalan/Ikkyu surfaces consistently mention torotoro/slippery water texture and repeat bathing satisfaction,https://www.hanamakionsen.co.jp/kashoen/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.hanamakionsen.co.jp/kashoen/ ; https://www.hanamakionsen.co.jp/kashoen/spa/ ; https://www.hanamakionsen.co.jp/kashoen/rooms/ ; https://travel.rakuten.co.jp/HOTEL/13482/review.html ; https://www.jalan.net/yad338456/ ; https://www.ikyu.com/00000478/review/,공식/시설 주장: 公式で自家源泉、とろとろの湯、pH8.9/9.0、内湯と檜露天風呂、源泉利用の客室露天を確認 水質テクスチャー信号が強い候補。大浴場、檜露天、客室露天、自家源泉を分けてタグ化する 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
hanamaki-osawa-onsen,大沢温泉 山水閣,Osawa Onsen Sansuikaku,hanamaki,岩手県,ryokan,Tier 1,ready,자취부 병설 탕치와 강변 노천 후보,public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Rakuten/JTB surfaces mention 5-6 bath touring, mixed open-air with women-only time, torotoro/slippery texture, shuttle access",https://www.oosawaonsen.com/sansui/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-demand source,needs_official_crosscheck,0,0,https://www.oosawaonsen.com/sansui/ ; https://www.oosawaonsen.com/sansui/spa/ ; https://travel.rakuten.co.jp/HOTEL/67442/review.html ; https://travel.rakuten.co.jp/HOTEL/67442/CUSTOM/GW67442100413115128.html ; https://www.kanko-hanamaki.ne.jp/spa/article.php?p=252,공식/시설 주장: 公式/Rakutenで山水閣専用の大浴場、半露天風呂、貸切家族風呂、自炊部を含む湯巡り、名物混浴露天「大沢の湯」を確認 山水閣専用浴場、自炊部浴場、混浴大露天、女性時間、外来入浴可の豊沢の湯を分ける。湯治/宿泊体験が混ざりやすい 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
hanamaki-yusen-shidate,志戸平温泉 游泉志だて,Yusen Shidate,hanamaki,岩手県,luxury ryokan,Tier 1,ready,전실 노천탕과 계류 온천 후보,room_open_air_bath;room_bath;public_bath;open_air_public_bath,"Rakuten surfaces mention room open-air and public bath satisfaction, good temperature in public bath, but also room open-air lukewarm negative signal",https://shidate.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://shidate.jp/ ; https://travel.rakuten.co.jp/HOTEL/50244/review.html ; https://travel.rakuten.co.jp/HOTEL/50244/50244.html,공식/시설 주장: 公式で二種類の源泉かけ流し、全客室に渓流を望む源泉100%露天風呂を配置と確認 全室源泉100%客室露天型。客室露天のぬるさと大浴場の適温/眺望を分けて温度信号を追う 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
tsunagi-shikitei,つなぎ温泉 四季亭,Shikitei,tsunagi,岩手県,ryokan,Tier 1,ready,모리오카 접근성과 전통 료칸 후보,room_open_air_bath;public_bath;open_air_public_bath,"Rakuten surface shows 485 review marker and room open-air/public bath satisfaction, child-friendly bath amenities, cleaning and access notes",https://www.shikitei.jp/jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.shikitei.jp/jp/ ; https://www.shikitei.jp/jp/rooms/ ; https://travel.rakuten.co.jp/HOTEL/56830/review.html ; https://travel.rakuten.co.jp/HOTEL/56830/56830.html,공식/시설 주장: 公式で露天風呂、大浴場、源泉掛け流し露天風呂付き特別室を確認。楽天でpH9.1のアルカリ性/硫黄泉、美肌の湯表記を確認 源泉掛け流し客室露天、大浴場、子連れ設備、盛岡アクセスを分ける。赤ちゃん/家族利用信号が温泉信号と混ざる 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
higashiyama-mukaitaki,会津東山温泉 向瀧,Mukaitaki,higashiyama,福島県,historic ryokan,Tier 1,split_needed;ready,문화재급 목조 료칸과 원천탕 후보,private_bath_or_family_bath_unclear,"Ikkyu/Nifty surfaces mention source-flow good water, toji-like bath atmosphere, natural spring flow and cultural-property lodging experience",https://www.mukaitaki.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional high-value source,needs_official_crosscheck,0,0,https://www.mukaitaki.com/ ; https://www.mukaitaki.com/koe/ ; https://www.ikyu.com/00001041/review/ ; https://onsen.nifty.com/aiduwakamatsu-onsen/onsen007001/kuchikomi/,공식/시설 주장: 公式で登録有形文化財の木造旅館、温泉遺産源泉かけ流し、貸切家族風呂、部屋食、同名類似宿注意を確認 文化財旅館。温泉評価と建築/雪見ろうそく/部屋食/レトロ体験が強く混ざる。同名類似宿との混同も注意 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
higashiyama-shosuke,会津東山温泉 庄助の宿 瀧の湯,Takinoyu,higashiyama,福島県,ryokan,Tier 1,ready,폭포 전망 노천탕과 대욕장 후보,public_bath;open_air_public_bath;private_bath_or_family_bath_unclear,"Rakuten surface shows very large visible pool around 3,907 reviews and repeated waterfall-view open-air/private bath/footbath satisfaction signals",https://shousuke.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://shousuke.com/ ; https://travel.rakuten.co.jp/HOTEL/5738/review.html ; https://travel.rakuten.co.jp/HOTEL/5738/5738.html ; https://oyutabi.biglobe.ne.jp/h3792/,공식/시설 주장: 公式/Rakutenで伏見ヶ滝を望む絶景露天風呂、貸切風呂、足湯、開湯1300年の東山温泉を確認 滝ビュー大浴場型。絶景露天、貸切風呂、足湯、日帰り/素泊まり導線、大型レビューの混雑・予約信号を確認 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
iizaka-yoshikawaya,飯坂温泉 摺上亭大鳥,Surikamitei Ohtori,iizaka,福島県,ryokan hotel,Tier 1,ready,대형 대욕장과 후쿠시마 접근성 후보,public_bath;open_air_public_bath,"Rakuten/Yahoo surfaces mention clean large bath, open-air view, soft water feeling, quiet rooms, food and Fukushima access value",https://www.surikamiteiohtori.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_source_crosscheck,0,0,https://www.surikamiteiohtori.com/ ; https://travel.rakuten.co.jp/HOTEL/32116/review.html ; https://travel.rakuten.co.jp/HOTEL/32116/32116.html ; https://travel.rakuten.co.jp/HOTEL/32116/CUSTOM/GW32116140525143311.html ; https://travel.yahoo.co.jp/00904209/review/,공식/시설 주장: 公式/Rakutenで源泉を有する飯坂温泉、内風呂、露天風呂、サウナ、水風呂、仕切り付きシャワーブース、15:00-25:00/5:00-9:30利用を確認 飯坂温泉の大型旅館。大浴場、露天、サウナ、水風呂、仕切り洗い場、景観、福島観光アクセスを分ける 검증 배치: tier1_verification_batch_06_complete_v0_1_2026-07-03.csv
nyuto-ganiba,乳頭温泉郷 蟹場温泉,Ganiba Onsen,nyuto,秋田県,ryokan,Tier 1,ready,숲속 노천탕과 탕순례 후보,public_bath;open_air_public_bath,"Jalan/4travel/blog surfaces mention source-flow feeling, forest mixed open-air, clear water with yuno-hana, but women may find mixed bath difficult",https://ganibaonsen.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Nyuto official source,needs_official_crosscheck,0,0,https://ganibaonsen.com/ ; https://www.nyuto-onsenkyo.com/ganiba.html ; https://www.jalan.net/kankou/spt_05426cd2110078266/kuchikomi/ ; https://4travel.jp/dm_shisetsu/10030855,공식/시설 주장: 公式/乳頭温泉郷で湯量豊富な源泉、乳頭では珍しい無色透明、湯の花、宿舎から50mほど離れた原生林露天風呂を確認 乳頭では白濁ではなく透明湯が特徴。混浴露天ハードル/女性専用時間/内湯と露天の役割を分離 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
nyuto-kuroyu,乳頭温泉郷 黒湯温泉,Kuroyu Onsen,nyuto,秋田県,ryokan,Tier 1,operation_recheck;ready,비탕형 원천 온천과 계절 운영 후보,open_air_public_bath,Review/blog surfaces mention seasonal closure and rustic source-site value; current mixed open-air operation is volatile due roof repair,https://kuroyu.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Nyuto official source,needs_official_crosscheck,0,0,https://kuroyu.com/ ; https://www.nyuto-onsenkyo.com/kuroyu.html ; https://hitoritabi.sakura.ne.jp/04_akita/kuroyu.htm,공식/시설 주장: 公式/乳頭温泉郷で源泉地が宿の横にあること、露天風呂・打たせ湯、営業期間4月中旬〜11月上旬を確認。2026-06-04告知で大雪により混浴露天風呂屋根倒壊・復旧作業中を確認 秘湯性は強いが季節営業・2026年混浴露天一部利用制限が重要。公開前に最新営業/浴場再開確認必須 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
nyuto-kyukamura,休暇村 乳頭温泉郷,Kyukamura Nyuto Onsenkyo,nyuto,秋田県,public resort hotel,Tier 1,ready,두 종류 원천과 접근성 좋은 숙박 후보,open_air_public_bath,"Rakuten/Jalan/Yahoo surfaces repeatedly mention two different springs, snow/beech forest open-air, and accessibility/comfort compared with more rustic Nyuto inns",https://www.qkamura.or.jp/nyuto/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Jalan and Qkamura source,needs_official_crosscheck,0,0,https://www.qkamura.or.jp/nyuto/ ; https://travel.rakuten.co.jp/HOTEL/72803/review.html ; https://www.jalan.net/yad322452/kuchikomi/ ; https://travel.yahoo.co.jp/00900792/review/,공식/시설 주장: 公式で2種類の天然温泉、泉質・温度が異なる源泉、ブナ林露天、日帰り温泉を確認 乳頭温泉郷の中ではアクセス/設備安定型。2源泉・露天・日帰り・ビュッフェ評価を分離 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
nyuto-taenoyu,乳頭温泉郷 妙乃湯,Taenoyu,nyuto,秋田県,ryokan,Tier 1,ready,금탕은탕과 노천탕 순례 후보,open_air_public_bath,"Jalan/Tripadvisor/blog surfaces mention two distinct springs, gold/brown acidic mineral water and silver clear smooth water, scenic mixed open-air by stream/waterfall, mixed-bath difficulty",https://taenoyu.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Nyuto official source,needs_official_crosscheck,0,0,https://taenoyu.com/ ; https://www.jalan.net/kankou/spt_05426cd2110076425/kuchikomi/ ; https://www.tripadvisor.jp/Hotel_Review-g1022324-d1165920-Reviews-Nyuto_Onsenkyo_Taenoyu-Semboku_Akita_Prefecture_Tohoku.html ; https://hitorionsen.jp/nyutoutaenoyu/,공식/시설 주장: 公式で金の湯・銀の湯を確認。宿の思想は女性/癒し型に寄る 金の湯/銀の湯の泉質差が強い。混浴露天・女性心理ハードル・景観露天を重点タグ化 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
nyuto-tsurunoyu,乳頭温泉郷 鶴の湯温泉,Tsurunoyu Onsen,nyuto,秋田県,historic ryokan,Tier 1,ready,상징적 혼욕 노천과 탕치형 온천 후보,open_air_public_bath,"Tripadvisor/Nifty/Jalan surfaces strongly mention milky blue-white mixed open-air, multiple baths, day-use crowding, old buildings, insects/no modern amenities, locker issues",https://www.tsurunoyu.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Nyuto official and ranking sources,needs_official_crosscheck,0,0,https://www.tsurunoyu.com/ ; https://www.nyuto-onsenkyo.com/tsurunoyu.html ; https://www.tripadvisor.jp/Hotel_Review-g1022324-d677252-Reviews-Tsurunoyu_Onsen-Semboku_Akita_Prefecture_Tohoku.html ; https://onsen.nifty.com/kakunodate-onsen/onsen000615/kuchikomi/,공식/시설 주장: 公式/乳頭温泉郷で秋田の秘湯、乳頭最古級、秋田藩主の湯治場、本陣・混浴露天を含む歴史的湯治宿として確認 象徴的Tier1。混浴露天/白濁足元湧出系信号/日帰り混雑/湯治宿の不便さを強く分離 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
nyuto-tsurunoyu-yamanoyado,鶴の湯別館 山の宿,Tsurunoyu Yamanoyado,nyuto,秋田県,ryokan,Tier 1,split_needed;ready,츠루노유 계열 산장형 온천 체류 후보,open_air_public_bath,"Rakuten/Tripadvisor surfaces mention excellent open-air bath, sulfur smell, quiet mountain stay, access to Tsurunoyu identity, but also insects/rustic setting",https://www.tsurunoyu.com/FONDMENT/y-annai.html,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,Rakuten Nyuto nearby source,needs_official_crosscheck,0,0,https://www.tsurunoyu.com/FONDMENT/y-annai.html ; https://travel.rakuten.co.jp/HOTEL/147944/review.html ; https://www.tripadvisor.jp/Hotel_Review-g1022324-d1117680-Reviews-Yamanoyado-Semboku_Akita_Prefecture_Tohoku.html,공식/시설 주장: 公式で鶴の湯別館 山の宿を確認。鶴の湯系の山宿型宿泊施設 鶴の湯本館とは別行。別館の自前風呂と本館利用期待を分離してレビュー確認 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
asamushi-kaisenkaku,浅虫温泉 南部屋・海扇閣,Kaisenkaku,asamushi,青森県,ryokan hotel,Tier 1,ready,무쓰만 전망 대욕장 후보,public_bath;open_air_public_bath,Rakuten surface mentions panoramic sea-view bath as strong positive while one review says spring quality itself was not strongly felt; food/live performance signals also appear,https://www.kaisenkaku.com/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional OTA source,needs_official_crosscheck,0,0,https://www.kaisenkaku.com/ ; https://travel.rakuten.co.jp/HOTEL/4962/review.html ; https://travel.rakuten.co.jp/HOTEL/4962/4962_onsen.html ; https://www.gltjp.com/ja/directory/item/17319/ ; https://aomori-tourism.com/spot/detail_9317.html,공식/시설 주장: 公式/Rakutenで最上階9階の陸奥湾ビュー展望温泉、掛け流し、露天風呂付展望大浴場、カルシウム/ナトリウム硫酸塩泉・塩化物泉を確認 むつ湾展望大浴場型。眺望評価と泉質実感を分ける。津軽三味線/食事/ショーがレビューで温泉信号を覆いやすい 검증 배치: tier1_verification_batch_05_complete_v0_1_2026-07-03.csv
