queue_rank,research_batch,slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,verification_status,source_basis,official_url,google_maps_url,rakuten_url,jalan_url,ikkyu_url,agoda_or_booking_url,naver_search_url,visible_review_pool_google,visible_review_pool_japanese_ota,visible_review_pool_global_ota,visible_review_pool_korean,required_checks,deep_research_priority,notes,source_files
11,T1-01,kinosaki-nishimuraya-honkan,西村屋本館,Nishimuraya Honkan,kinosaki,兵庫県,luxury ryokan,Tier 1,기노사키 대표 고급 료칸과 외탕 접근성 후보,needs_official_crosscheck,Ikkyu Kinosaki source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
12,T1-01,kinosaki-nishimuraya-shogetsutei,西村屋ホテル招月庭,Nishimuraya Hotel Shogetsutei,kinosaki,兵庫県,luxury ryokan hotel,Tier 1,정원 노천과 객실 노천탕 후보,needs_official_crosscheck,Ikkyu and Jalan Kinosaki sources,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
13,T1-01,kinosaki-ryokufukaku,きのさきの宿 緑風閣,Ryokufukaku,kinosaki,兵庫県,ryokan,Tier 1,객실 노천탕과 외탕 접근성 후보,needs_official_crosscheck,Ikkyu and Jalan Kinosaki sources,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
14,T1-01,gero-kawakamiya,下呂温泉 川上屋花水亭,Kawakamiya Kasuitei,gero,岐阜県,traditional ryokan,Tier 1,"소형 고급 료칸, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu Gero room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
15,T1-01,gero-miyako,下呂温泉 こころをなでる静寂 みやこ,Miyako,gero,岐阜県,small ryokan,Tier 1,전 16실 중 노천풍로 객실/離れ 신호,needs_official_crosscheck,Ikkyu Gero room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
16,T1-01,gero-shogetsu,下呂温泉 今宵 天空に遊ぶ しょうげつ,Shogetsu,gero,岐阜県,small luxury ryokan,Tier 1,"고지대 전망형 료칸, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu/Jalan Gero room-open-air lists,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
17,T1-01,gero-suihoen,下呂温泉 懐石宿 水鳳園,Suihoen,gero,岐阜県,kaiseki ryokan,Tier 1,"고평점, 객실 노천탕 충실 신호",needs_official_crosscheck,"Rakuten Gero listing, Ikkyu Gero ranking",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
18,T1-01,gero-tsukinoakari,下呂温泉 離れの宿 月のあかり,Tsuki no Akari,gero,岐阜県,detached ryokan,Tier 1,"전실 노천풍로離れ, 내탕·노천·족탕 신호",needs_official_crosscheck,Rakuten Gero room-open-air article,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
19,T1-01,gero-yunoshimakan,下呂温泉 湯之島館,Yunoshimakan,gero,岐阜県,traditional ryokan,Tier 1,"역사형 노포, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu/Yahoo Gero room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
20,T1-01,kurokawa-gekkoujyu,黒川温泉御処 月洸樹,Gekkoju,kurokawa,熊本県,luxury ryokan,Tier 1,고급 객실 노천탕과 프라이빗 체류 신호,needs_official_crosscheck,Ikkyu Kurokawa room-open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
21,T1-01,kurokawa-kiyashiki,黒川温泉 いやしの里 樹やしき,Iyashi no Sato Kiyashiki,kurokawa,熊本県,ryokan,Tier 1,전망 노천과 대절탕 후보 신호,needs_official_crosscheck,Kurokawa official day-use status source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
22,T1-01,kurokawa-kounoyu,黒川温泉 こうの湯,Kounoyu,kurokawa,熊本県,ryokan,Tier 1,노천탕과 대절탕 후보 신호,needs_official_crosscheck,Kurokawa day-use status and regional ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
23,T1-01,kurokawa-kurokawaso,黒川温泉 黒川荘,Kurokawaso,kurokawa,熊本県,ryokan,Tier 1,대형 노천과 자연 온천경험 후보,needs_official_crosscheck,Kurokawa official day-use status source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
24,T1-01,kurokawa-okunoyu,黒川温泉 旅館奥の湯,Ryokan Okunoyu,kurokawa,熊本県,ryokan,Tier 1,대형 노천과 객실탕 후보 신호,needs_official_crosscheck,MyBest and Rakuten Kurokawa sources,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
25,T1-01,kurokawa-senomoto-kogen-hotel,瀬の本高原ホテル,Senomoto Kogen Hotel,kurokawa,熊本県,resort hotel,Tier 1,고원 전망 노천탕과 객실탕 후보,needs_official_crosscheck,MyBest and Kurokawa day-use status source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
26,T1-01,kurokawa-takefue,竹ふえ,Takefue,kurokawa,熊本県,luxury ryokan,Tier 1,고급 객실탕/대절탕 후보,needs_official_crosscheck,regional high-value seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
27,T1-01,kurokawa-yusai,黒川温泉 湯峡の響き 優彩,Yukyo no Hibiki Yusai,kurokawa,熊本県,ryokan hotel,Tier 1,복수 대욕장과 노천탕 원천가케나가시 신호,needs_official_crosscheck,Jalan Kurokawa ranking snippet,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
28,T1-01,hakone-byakudan,箱根強羅 白檀,Hakone Gora Byakudan,hakone,神奈川県,luxury ryokan,Tier 1,"강라 고급 료칸, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu Hakone room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
29,T1-01,hakone-fontainebleau,オーベルジュ 箱根フォンテーヌ・ブロー仙石亭,Hakone Fontaine Bleau Sengokutei,hakone,神奈川県,auberge ryokan,Tier 1,"전 13실 노천풍로 객실 신호, 음식 평가 강함",needs_official_crosscheck,Ikkyu Hakone room-open-air dining list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
30,T1-01,hakone-gen-gora,玄 箱根強羅,Gen Hakone Gora,hakone,神奈川県,luxury ryokan,Tier 1,객실 노천탕 추천 숙소 신호,needs_official_crosscheck,Jalan 2026 rotsuki article,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
31,T1-01,hakone-ginyu,箱根吟遊,Hakone Ginyu,hakone,神奈川県,luxury ryokan,Tier 1,객실 노천탕/전망형 대표 후보,needs_official_crosscheck,Jalan 2026 top area seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
32,T1-01,hakone-gora-kadan,強羅花壇,Gora Kadan,hakone,神奈川県,luxury ryokan,Tier 1,"하코네 고급 료칸 대표, 객실탕/대욕장 후보",needs_official_crosscheck,Jalan/Ikkyu top area seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
33,T1-01,hakone-gora-karaku,箱根・強羅 佳ら久,Hakone Gora Karaku,hakone,神奈川県,luxury ryokan,Tier 1,"전실 온천 노천풍로 완비 신호, 리뷰풀 큼",needs_official_crosscheck,Ikkyu Hakone room-open-air listing,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
34,T1-01,hakone-kanaya-resort,KANAYA RESORT HAKONE,KANAYA RESORT HAKONE,hakone,神奈川県,luxury resort ryokan,Tier 1,센고쿠하라 고급 객실 노천탕 후보,needs_official_crosscheck,Ikkyu Hakone room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
35,T1-01,hakone-kowakien-tenyu,箱根小涌園 天悠,Hakone Kowakien Ten-yu,hakone,神奈川県,large resort ryokan,Tier 1,"전 객실 온천 노천풍로 계열 신호, 대형 리뷰풀 후보",needs_official_crosscheck,Hakone room-open-air lists,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
36,T1-01,hakone-matsuzakaya,箱根の名湯 松坂屋本店,Matsuzakaya Honten,hakone,神奈川県,traditional ryokan,Tier 1,하코네 명탕·원천 신호 강함,needs_official_crosscheck,Ikkyu nationwide onsen ranking snippet,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
37,T1-01,hakone-suisyoen,箱根・翠松園,Hakone Suishoen,hakone,神奈川県,luxury ryokan,Tier 1,전 객실 스위트·객실 노천탕 후보,needs_official_crosscheck,Ikkyu/Hakone luxury seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
38,T1-01,hakone-yama-no-chaya,山の茶屋,Yama no Chaya,hakone,神奈川県,traditional ryokan,Tier 1,"탑노사와 고급 료칸, 객실 노천탕 후보",needs_official_crosscheck,Hakone luxury/room-open-air exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
39,T1-01,hakone-yuyado-zen,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,hakone,神奈川県,small ryokan,Tier 1,"전 10실 반노천 객실 신호, 후지산 조망 후보",needs_official_crosscheck,Ikkyu Hakone room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
40,T1-01,kusatsu-lavista-hills,ラビスタ草津ヒルズ,La Vista Kusatsu Hills,kusatsu,群馬県,resort ryokan,Tier 1,"전실 히노키 노천풍로, 대욕장·대절탕 신호",needs_official_crosscheck,Rakuten Kusatsu room-open-air article,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
41,T1-01,kusatsu-now-resort,草津ナウリゾートホテル,Kusatsu Now Resort Hotel,kusatsu,群馬県,resort hotel,Tier 1,"객실 노천탕 후보, 리조트형 온천 비교군",needs_official_crosscheck,Kusatsu room-open-air ranking exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
42,T1-01,kusatsu-sakurai,草津温泉 ホテル櫻井,Hotel Sakurai,kusatsu,群馬県,large ryokan hotel,Tier 1,"객실 노천탕 목록 노출, 대형 리뷰풀 후보",needs_official_crosscheck,MyBest/Rakuten Kusatsu room-open-air exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
43,T1-01,kusatsu-tokino-niwa,湯宿 季の庭,Yuyado Tokinoniwa,kusatsu,群馬県,ryokan,Tier 1,객실 노천탕/대욕장/유황천 후보,needs_official_crosscheck,"Jalan 2026 top area, 5-star ryokan list",,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
44,T1-01,kusatsu-tsutsujitei,草津温泉 つつじ亭,Tsutsujitei,kusatsu,群馬県,luxury ryokan,Tier 1,"고급 료칸, 객실탕/대욕장 후보",needs_official_crosscheck,Kusatsu luxury lodging exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
45,T1-01,unzen-fukudaya,雲仙福田屋,Unzen Fukudaya,unzen,長崎県,ryokan,Tier 1,별저 객실 원천가케나가시 노천탕 강한 후보,needs_official_crosscheck,Ikkyu Unzen open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
46,T1-01,unzen-hanzuiryo,旅亭 半水盧,Hanzuiryo,unzen,長崎県,luxury ryokan,Tier 1,고급 별저형 온천 체류 후보,needs_official_crosscheck,regional high-end source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
47,T1-01,unzen-kanko-hotel,雲仙観光ホテル,Unzen Kanko Hotel,unzen,長崎県,classical hotel,Tier 1,클래식 호텔 온천 체류와 고급 수요 후보,needs_official_crosscheck,regional high-end source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
48,T1-01,unzen-kyushu-hotel,雲仙九州ホテル,Unzen Kyushu Hotel,unzen,長崎県,luxury hotel,Tier 1,운젠 유황천 고급 숙소 후보,needs_official_crosscheck,regional high-value seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv
49,T1-01,unzen-miyazaki-ryokan,雲仙宮崎旅館,Unzen Miyazaki Ryokan,unzen,長崎県,luxury ryokan,Tier 1,백탁 유황 원천가케나가시와 객실 노천탕 후보,needs_official_crosscheck,Ikkyu Unzen room-open-air source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
50,T1-01,unzen-shinyu,雲仙温泉 ゆやど雲仙新湯,Yuyado Unzen Shinyu,unzen,長崎県,ryokan,Tier 1,자사 원천과 다종 유황천 후보,needs_official_crosscheck,regional OTA source,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
51,T1-02,atami-kaihourou,ATAMI 海峯楼,ATAMI Kaihourou,atami,静岡県,luxury ryokan,Tier 1,"소형 초고급 숙소, 객실탕/온천 세부 확인 후보",needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
52,T1-02,atami-karaku,熱海・伊豆山 佳ら久,Atami Izusan Karaku,atami,静岡県,luxury ryokan,Tier 1,"객실 노천탕 인기 고급숙, 리뷰풀 큼",needs_official_crosscheck,Ikkyu Atami room-open-air list,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
53,T1-02,atami-new-tomiyoshi,味と湯の宿 ニューとみよし,New Tomiyoshi,atami,静岡県,seaside ryokan,Tier 1,객실 노천탕 많은 대중형 후보,needs_official_crosscheck,MyBest Atami room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
54,T1-02,atami-pearl-star,熱海パールスターホテル,Atami Pearl Star Hotel,atami,静岡県,luxury hotel,Tier 1,전실 오션뷰·객실탕/온천 후보,needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
55,T1-02,atami-sekaie,ATAMI せかいえ,ATAMI Sekaie,atami,静岡県,luxury ryokan,Tier 1,바다 전망 객실 노천탕 후보,needs_official_crosscheck,Rakuten/YuKoyuko top area seed,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_seed_v0_1_2026-07-03.csv;nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
56,T1-02,atami-sekitei,あたみ石亭,Atami Sekitei,atami,静岡県,luxury ryokan,Tier 1,"노포 고급 료칸, 객실탕/대욕장 후보",needs_official_crosscheck,Atami luxury exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
57,T1-02,atami-soki,SOKI ATAMI,SOKI Atami,atami,静岡県,modern ryokan,Tier 1,"현대형 온천 숙소, 객실탕/대욕장 후보",needs_official_crosscheck,Atami luxury/new lodging exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
58,T1-02,atami-watei-kazekomichi,WA亭 風こみち,Watei Kazekomichi,atami,静岡県,small luxury ryokan,Tier 1,"객실 노천탕 후보, 소형 고급숙",needs_official_crosscheck,Atami room-open-air exposure,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_a_v0_2_2026-07-03.csv
59,T1-02,ito-akazawa-geihinkan,赤沢迎賓館,Akazawa Geihinkan,ito-izu,静岡県,luxury ryokan,Tier 1,"이즈고원 고급 숙소, 객실탕/대욕장 후보",needs_official_crosscheck,Ikkyu Izu Kogen room-open-air page,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
60,T1-02,ito-atagawa-suiko,伊豆リトリート 熱川粋光 by 温故知新,Izu Retreat Atagawa Suiko,ito-izu,静岡県,luxury ryokan,Tier 1,"자가원천·정원형 고급숙, 객실 노천탕 후보",needs_official_crosscheck,Ikkyu Izu room-open-air ranking,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
61,T1-02,ito-fugetsumuhen,御宿 風月無辺,Fugaku Muhen / Fugetsu Muhen,ito-izu,静岡県,luxury ryokan,Tier 1,"전실 자가원천 노천풍로, 바다 조망 후보",needs_official_crosscheck,Rakuten Izu luxury room-open-air article,,,,,,,,,,,,official_site_check; bath_or_product_detail_check; map_listing_check; review_pool_count_check,P1,candidate-stage row; do not publish before URL/review-pool verification,nationwide_accommodation_batch_b_v0_3_2026-07-03.csv
