slug,name_ja,name_ko_or_en,area,prefecture,facility_type,facility_model,tier,candidate_status,initial_onsen_facility_signals,facility_area_axes_to_separate,visible_review_or_rating_signal,official_url,why_prioritized,source_basis,verification_status,direct_reviews_checked,onsen_related_direct_reviews_checked,source_urls,notes
nyuto-ganiba-dayuse,蟹場温泉 日帰り入浴,Ganiba day-use bath,nyuto,秋田県,open_air_public_bath,bathe,Tier 1,operation_recheck,숲속 노천탕과 탕순례 후보,open_air_public_bath;public_bath,4travel/JTB review surfaces exist; count not locked,https://ganibaonsen.com/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Nyuto official source,needs_official_crosscheck,0,0,https://ganibaonsen.com/ ; https://www.nyuto-onsenkyo.com/ganiba.html ; https://4travel.jp/dm_shisetsu/10030855,공식/시설 주장: 公式で100%源泉かけ流し、乳頭公式で立寄り湯時間/料金を確認 混浴露天・離れた露天など体験条件が重要。日帰り休み曜日 확인 필요 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-kuroyu-dayuse,黒湯温泉 日帰り入浴,Kuroyu day-use bath,nyuto,秋田県,historic_public_bath,bathe,Tier 1,operation_recheck,계절형 비탕 원천과 접근성 변수 후보,open_air_public_bath,Jalan shows 149 reviews; Tripadvisor surface exists,https://kuroyu.com/,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Nyuto official source,needs_official_crosscheck,0,0,https://kuroyu.com/ ; https://www.jalan.net/kankou/spt_05426cd2110076423/kuchikomi/ ; https://www.tripadvisor.jp/Attraction_Review-g1022324-d1423628-Reviews-Kuroyu_Onsen-Semboku_Akita_Prefecture_Tohoku.html,공식/시설 주장: 公式で黒湯温泉を確認。2026-06-04に混浴露天屋根倒壊による復旧作業告知あり 混浴露天が一時制限されている可能性。딥리뷰 전 최신 운영 재확인 필수 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-kyukamura-dayuse,休暇村乳頭温泉郷 日帰り入浴,Kyukamura Nyuto day-use bath,nyuto,秋田県,public_bath_facility,bathe,Tier 1,operation_recheck,두 원천과 현대적 편의성을 가진 당일온천,public_bath,review count not locked in this pass,https://www.qkamura.or.jp/nyuto/,개별 욕장이 아닌 루트/패스 또는 지역 경계 확인 대상,Qkamura travel magazine source,needs_official_crosscheck,0,0,https://www.qkamura.or.jp/nyuto/ ; https://www.nyuto-onsenkyo.com/kyukamura.html,공식/시설 주장: 公式施設として候補維持。乳頭公式の立寄り湯表面で個別確認が必要 このパスでは日帰り詳細/レビュー面が弱い。次回補強 대상 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-taenoyu-dayuse,妙乃湯 日帰り入浴,Taenoyu day-use bath,nyuto,秋田県,open_air_public_bath,bathe,Tier 1,operation_recheck,금탕은탕과 여성친화 노천탕 후보,public_bath,review count not locked in this pass,https://taenoyu.com/,개별 욕장이 아닌 루트/패스 또는 지역 경계 확인 대상,Nyuto official source,needs_official_crosscheck,0,0,https://taenoyu.com/ ; https://www.nyuto-onsenkyo.com/taenoyu.html,공식/시설 주장: 公式施設として候補維持。乳頭公式の立寄り湯表面で個別確認が必要 このパスでは日帰り詳細/レビュー面が弱い。金の湯/銀の湯など浴槽別 신호 확인 필요 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-tsurunoyu-dayuse,鶴の湯温泉 日帰り入浴,Tsurunoyu day-use bath,nyuto,秋田県,historic_public_bath,bathe,Tier 1,operation_recheck,뉴토 상징 노천탕과 혼욕 기대차 후보,open_air_public_bath;public_bath,Tripadvisor/Nifty/Jalan surfaces exist; crowding/day-use caution visible,https://www.nyuto-onsenkyo.com/tsurunoyu.html,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Nyuto official source,needs_official_crosscheck,0,0,https://www.nyuto-onsenkyo.com/tsurunoyu.html ; https://www.tripadvisor.jp/Hotel_Review-g1022324-d677252-Reviews-Tsurunoyu_Onsen-Semboku_Akita_Prefecture_Tohoku.html ; https://onsen.nifty.com/kakunodate-onsen/onsen000615/,공식/시설 주장: 乳頭公式で立寄り湯10:00-15:00、月曜は露天風呂不可を確認 日帰り混雑と月曜露天不可が核心。宿泊レビュー와 day-use 리뷰를 분리 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-yumeguri-cho,乳頭温泉郷 湯めぐり帖,Nyuto Yumeguri Pass,nyuto,秋田県,open_air_bath_route,route_or_pass,Tier 1,route_or_pass,숙박자 한정 탕순례 패스와 이용 조건 신호,route_or_pass,Jalan area review surface exists; individual bath review pools separate,https://www.nyuto-onsenkyo.com/,개별 욕장이 아닌 루트/패스 또는 지역 경계 확인 대상,Qkamura official yumeguri source,official_checked,0,0,https://www.nyuto-onsenkyo.com/ ; https://www.jalan.net/kankou/spt_05426cd2110076419/kuchikomi/,공식/시설 주장: 乳頭温泉郷公式で湯めぐり帖/温泉郷ルート表面を確認 施設ではなく宿泊者向け湯めぐり商品/ルート。個別宿の日帰り湯とは分ける 검증 배치: tier1_verification_batch_02_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
asamushi-yu-sa-asamushi,道の駅 ゆ～さ浅虫,Yu-sa Asamushi,asamushi,青森県,public_bath_facility,bathe,Tier 1,operation_recheck,역/도로휴게소형 전망 온천 후보,public_bath,Jalan shows 418 road-station reviews; Nifty shows 16 onsen reviews; view and no shampoo/soap signals visible,https://www.yu-sa.jp/contents/?page_id=1483,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,regional tourism source,needs_official_crosscheck,0,0,https://www.yu-sa.jp/contents/?page_id=1483 ; https://aomori-tourism.com/spot/detail_115.html ; https://www.jalan.net/kankou/spt_02201ad3352023625/kuchikomi/ ; https://onsen.nifty.com/aomori-onsen/onsen000311/kuchikomi/,공식/시설 주장: 公式で5F展望浴場、7:00-21:00、大人360円、泉質を確認。ただし設備故障による臨時休業表示あり 展望浴場は魅力だが、公式に臨時休業表示あり。掲載前に再開確認 필수 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
sukayu-hiba-sennin-buro,酸ヶ湯温泉 ヒバ千人風呂,Hiba Sennin-buro,sukayu,青森県,historic_public_bath,bathe,Tier 1,ready,혼욕 대욕장과 강산성 온천 기대차 후보,public_bath,"Jalan/Nifty surfaces mention mixed bath, privacy partitions, bathing wear, sulfur/turbid water and historic building",https://sukayu.jp/,Tier 1 기존 표면 검증 결과가 있어 다음 딥리서치 우선,regional tourism source,needs_official_crosscheck,0,0,https://sukayu.jp/ ; https://www.jalan.net/yad397533/ ; https://www.jalan.net/kankou/spt_02201cd2110076330/kuchikomi/ ; https://onsen.nifty.com/aomori-onsen/onsen000318/kuchikomi/,공식/시설 주장: Jalan/公式系で160畳の総ヒバ造り混浴大浴場、天然温泉100%、にごり湯、女性専用時間を確認 混浴・湯浴み着・女性専用時間・硫黄強酸性の期待差が核心。宿泊レビュー와 day-use 리뷰 분리 검증 배치: tier1_verification_batch_03_complete_v0_1_2026-07-03.csv
akiu-ryokusuitei-dayuse,篝火の湯 緑水亭 日帰り,료쿠스이테이 당일온천,akiu,宮城県,hotel_dayuse_bath,bathe,Tier 2,operation_recheck,정원형 노천/대욕장 당일온천 후보,public_bath,not_mapped_in_this_candidate_pass,,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Akiu day-use seed,needs_review_pool_crosscheck,0,0,nationwide_west_facility_seed_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
akiu-sato-center,秋保・里センター 足湯,아키우 사토센터 족탕,akiu,宮城県,footbath,footbath,Tier 2,footbath_only,"관광안내소 족탕, 무료/짧은 체류형 후보",footbath,not_mapped_in_this_candidate_pass,,전신 입욕 시설이 아닌 족탕/스톱오버 후보로 분리 유지,Akiu day-use seed,needs_source_crosscheck,0,0,nationwide_west_facility_seed_v0_4_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
kaminoyama-yumachi-footbath,かみのやま温泉 足湯めぐり,Kaminoyama Footbath Route,kaminoyama,山形県,footbath,footbath,Tier 2,footbath_only,온천가 족욕 순례와 산책 동선 후보,footbath,not_mapped_in_this_candidate_pass,,전신 입욕 시설이 아닌 족탕/스톱오버 후보로 분리 유지,regional tourism source,needs_source_crosscheck,0,0,nationwide_facility_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
hanamaki-seirei-no-yu,花巻温泉 精霊の湯,Seirei no Yu,hanamaki,岩手県,public_bath_facility,bathe,Tier 2,hold,대형 온천지 당일온천 후보,public_bath,not_mapped_in_this_candidate_pass,,"공식 URL, 욕장 세부, 리뷰풀 표면 보강 후 후속 처리",regional tourism source,needs_source_crosscheck,0,0,nationwide_facility_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
tsunagi-aishinkan-dayuse,つなぎ温泉 愛真館 日帰り入浴,Aishinkan day-use,tsunagi,岩手県,public_bath_facility,bathe,Tier 2,operation_recheck,모리오카 근교 당일온천 후보,public_bath,not_mapped_in_this_candidate_pass,,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,regional tourism source,needs_source_crosscheck,0,0,nationwide_facility_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
higashiyama-sarusuberi-no-yu,会津東山温泉 足湯処,Aizu Higashiyama Footbath,higashiyama,福島県,footbath,footbath,Tier 2,footbath_only,온천가 산책과 족욕 후보,footbath,not_mapped_in_this_candidate_pass,,전신 입욕 시설이 아닌 족탕/스톱오버 후보로 분리 유지,regional tourism source,needs_source_crosscheck,0,0,nationwide_facility_batch_e_v0_6_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-magoroku-dayuse,孫六温泉 日帰り入浴,Magoroku day-use bath,nyuto,秋田県,historic_public_bath,bathe,Tier 2,operation_recheck,탕치형 다욕장과 접근성 후보,public_bath,not_mapped_in_this_candidate_pass,,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Nyuto official source,needs_official_crosscheck,0,0,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
nyuto-ogama-dayuse,大釜温泉 日帰り入浴,Ogama day-use bath,nyuto,秋田県,historic_public_bath,bathe,Tier 2,operation_recheck,학교 건물 재활용 공동탕 문화 후보,public_bath,not_mapped_in_this_candidate_pass,,당일입욕/요금/접수마감/휴업 가능성이 있어 최신 운영 재확인 우선,Nyuto official source,needs_official_crosscheck,0,0,nationwide_kyushu_tohoku_facility_seed_v0_5_2026-07-03.csv,기존 Tier 1 검증 배치와 직접 매칭되지 않음. 딥리서치 전 공식/OTA 표면 보강 필요. 후보 단계 판단이며 직접 리뷰 본문 태깅은 수행하지 않음.
