slug,name_ja,source,url,rating,visible_review_count,access_status,directly_read_reviews,onsen_related_direct_reviews,snippet_only_count,bath_signal_keywords,notes
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Booking.com,https://www.booking.com/hotel/jp/yunokawa-prince-nagisa-tei.ko.html,9.0,522,aside_review_modal_read,1,1,0,개인노천탕; 객실; 석식 아쉬움,Booking review modal exposed one full Korean body; other Booking advantage snippets not counted as direct bodies.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Naver Blog,https://blog.naver.com/mong_family/223675779086,,,aside_search_snapshot_read_direct_blog_body,1,1,0,개인욕장; 대욕장; 가족탕; 바다뷰; 오래된 목욕탕 느낌; 민망함; 무서운 분위기,Korean blog body dated 2024-11-29 read directly; Naver search snippets kept separate.
yunokawa-nagisatei,湯の川プリンスホテル渚亭,Expedia,https://www.expedia.co.jp/Hakodate-Hotels-Yunokawa-Prince-Hotel-Nagisatei.h22404815.Hotel-Information,9.0,210,aside_listing_review_count_only,0,0,0,大浴場; 天然温泉; 海側露天風呂付客室,"Expedia page exposed review count and room/facility facts, but no individual review body was counted."
noboribetsu-daiichi-takimotokan,第一滝本館,Google Maps/Hotels,https://www.google.com/maps/search/?api=1&query=Dai-ichi%20Takimotokan%20Noboribetsu%20Onsen,4.3,6227,aside_review_tab_read_mixed_origin,9,8,2,온천; 대욕장; 노천탕; 유황; 지옥계곡 view; large bath; variety of tubs; crowded/tourists; old/aged,Google review tab visible. Count excludes separately listed Google-surfaced Trip.com body to avoid double count; Tripadvisor/Trip.com cards noted as mixed-origin snippets unless counted in their own row.
noboribetsu-daiichi-takimotokan,第一滝本館,Yahoo Travel,https://travel.yahoo.co.jp/00000587/review/,4.49; onsen/bath 4.79,215,webfetch_direct_read,40,34,0,温泉; お風呂; 大浴場; 露天風呂; 5つの泉質; 地獄谷; 広い; 遠い; 混雑; 外国人客,Yahoo page says overall count combines Yahoo Travel and Ikkyu; visible bodies read from Yahoo Travel page only.
noboribetsu-daiichi-takimotokan,第一滝本館,Ikkyu,https://www.ikyu.com/00000587/review/,4.49,215,webfetch_direct_read,30,24,0,温泉; 大浴場; 露天風呂; 部屋の露天風呂; 泉質; 広い; 遠い; 外国人客; 滑りやすい,Ikkyu page accessible; same combined score count as Yahoo but visible bodies read from Ikkyu page only.
noboribetsu-daiichi-takimotokan,第一滝本館,JTB/Rurubu,https://www.jtb.co.jp/kokunai-hotel/htl/1558001/review/,JTB 88/100; Rurubu 4.6,JTB 140; Rurubu 436,webfetch_direct_read,37,30,0,大浴場; 露天風呂; 温泉; 5種類の源泉掛け流し; 地獄谷; 遠い; 広い; ぬるめ; 熱い,"JTB customer survey count and Rurubu count kept separate; visible bodies include bath, distance, towel, and changing-room management signals."
noboribetsu-daiichi-takimotokan,第一滝本館,Jalan,https://www.jalan.net/yad364904/kuchikomi/,4.6 overall; bath 4.8,7241,aside_browser_direct_read,30,24,0,風呂 4.8; お風呂; 温泉; 大浴場; 露天風呂; 泉質; 広い; 遠い; 外国人客; タオル,Browser snapshot readable; webfetch was mojibake. First page bodies counted only.
noboribetsu-daiichi-takimotokan,第一滝本館,Booking.com,https://www.booking.com/hotel/jp/daiichi-takimotokan.html,8.9/10,3590,aside_review_modal_read,4,3,10,온천; 노천온천; 대형욕탕; 다양한 온천수; 지옥계곡; 수온; 부드러운 수질,Only expanded Korean review cards counted as direct bodies; carousel excerpts kept as snippets.
noboribetsu-daiichi-takimotokan,第一滝本館,Trip.com via Google Hotels,https://www.trip.com/hotels/noboribetsu-hotel-detail-704984/dai-ichi-takimotokan/,4.7/5 via Google Hotels,3047 via Google Hotels,native_trip_misrouted_google_surface_only,1,1,1,대욕장; old/aged; maintained,"Native Trip.com URL misrouted to an unrelated Sendai hotel, so only one Google-surfaced Trip.com body is counted."
noboribetsu-daiichi-takimotokan,第一滝本館,Naver Search / Place / Cafe,https://search.naver.com/search.naver?query=다이이치%20타키모토칸%20온천,Naver place 5.0; hotel card 9/10,Naver place 2,aside_search_snapshot_read_direct_cafe,2,2,14,온천; 대욕장; 노천탕; 수영장; 지옥계곡; 유황냄새; 남탕 view; 겨울 자쿠지 운영 안함,Naver search accessible; one Naver Place visible review and one Naver Cafe article body counted. Search snippets and cafe comments kept out of direct count.
noboribetsu-daiichi-takimotokan,第一滝本館,Agoda/Kayak aggregator,https://www.agoda.com/dai-ichi-takimotokan/hotel/noboribetsu-jp.html,9.2/10 via Kayak,787 Agoda reviews via Kayak,native_agoda_blocked_aggregator_count_only,0,0,1,hot spring aggregator keyword,"Native Agoda fetch returned empty; Kayak provider score is pool signal only, not direct-review evidence."
noboribetsu-mahoroba,ホテルまほろば,Google Maps,https://www.google.com/maps/search/Hotel%20Mahoroba%20Noboribetsu%20Onsen,4.1,4680,aside_review_tab_read_google_source,10,10,0,온천; 대욕장; 다양한 탕; 지하1층/지하2층; 노천탕; 유황온천; 미끄럼틀; 남성 이용시간 탕 별로; 수건 객실 지참,Google source selected on Maps hotel review tab. Expanded visible Korean Google-native review bodies; partner Trip.com/Tripadvisor cards were not merged into Google direct count.
noboribetsu-mahoroba,ホテルまほろば,Yahoo Travel,https://travel.yahoo.co.jp/00030360/review/,not_observed_this_pass,not_observed_this_pass,webfetch_direct_read,15,14,0,温泉; お風呂; 大浴場; 露天風呂; 地下2階; 湯船; 泉質; 脱衣所; カラン; 刺青; 子どもが泳ぐ,"Directly opened Yahoo review pages p1, p2, and p7; counted only bodies visible in fetched page excerpts, not all page inventory."
noboribetsu-mahoroba,ホテルまほろば,Booking.com,https://www.booking.com/reviews/jp/hotel/h-mahoroba.ja.html,8.3/10,1050,webfetch_direct_read,25,12,0,お風呂; 温泉施設; 湯舟; 湯温; 露天風呂; 雪景色; 大浴場; 泉質; 混雑しない; 部屋古い,Booking review page shows 1-25 review bodies. Visible review count is platform pool; direct count is only the first page bodies.
noboribetsu-mahoroba,ホテルまほろば,Ikkyu,https://www.ikyu.com/00030360/review/,not_observed_this_pass,not_observed_this_pass,webfetch_direct_read,6,6,0,お風呂; 内風呂; 露天風呂; 泉質; 滑り台; 大浴場; 温泉場の趣は皆無,Visible Ikkyu bodies included both strong bath praise and one low-rating weak-onsen-feeling complaint.
noboribetsu-mahoroba,ホテルまほろば,Trip.com,https://kr.trip.com/hotels/noboribetsu-hotel-detail-704188/hotel-mahoroba/review.html,8.9/10,728,webfetch_direct_read,3,3,1,온천 대욕장; B1/B2; B2 노천탕; 유황 냄새; 탕 종류; 사람 많음; 고급감 낮음,"Trip.com listing/review pages exposed a small number of Korean/translated bodies. AI review summary/chips were kept as pool signal, not direct count."
noboribetsu-mahoroba,ホテルまほろば,Hotels.com,https://kr.hotels.com/ho457447/hotel-maholoba-nobolibecheu-ilbon/,not_observed_this_pass,not_observed_this_pass,webfetch_direct_read,2,1,0,깨끗한 대욕장; 다다미방 꿉꿉함; 벌레,Only visible verified Korean review cards counted; remaining listing text not counted as review bodies.
noboribetsu-mahoroba,ホテルまほろば,Tripadvisor,https://www.tripadvisor.co.kr/ShowUserReviews-g325583-d1079122-r311169172-Hotel_Mahoroba-Noboribetsu_Hokkaido.html,4/5 review page,740,webfetch_direct_read_single_review,1,1,0,노천온천; 몇가지 온천; 규모; 가족 만족,Single Korean review page body counted. Tripadvisor total review count is pool signal only.
noboribetsu-mahoroba,ホテルまほろば,Naver Search / Blog,https://search.naver.com/search.naver?query=호텔%20마호로바%20노보리베츠%20온천,,,aside_search_opened_blog_webfetch_blocked,0,0,2,온천; 대욕장; 노천탕,"Naver search/blog tabs were opened, but blog webfetch returned empty body in this pass. Search snippets are not direct reviews."
noboribetsu-grand,祝いの宿 登別グランドホテル,Booking.com,https://www.booking.com/reviews/jp/hotel/noboribetsu-grand.ja.html,8.1/10,150 current Booking score set; search surface 473 pool,webfetch_direct_read,25,17,0,温泉街規模; 露天風呂; お風呂広い; 各種泉質; サウナ; 温度調整; タトゥー; 外国人観光客マナー; タオル常備; 鬼サウナ,"Booking review page displayed reviews 1-25 directly. Search-result total and page score were kept as pool signals, not direct bodies."
noboribetsu-grand,祝いの宿 登別グランドホテル,Yahoo Travel,https://travel.yahoo.co.jp/00000583/review/,4.27 overall; onsen/bath 4.58,160 Yahoo Travel; Yahoo map 90,webfetch_direct_read,10,9,0,泉質; 大浴場; 家族風呂; 50分; 脱衣所ロッカー古い; 複数泉質; タオル; 混雑少ない; 硫黄薄い; 水風呂多い,Yahoo Travel p1/p2 and opened single-review pages were readable. Yahoo map count is pool-only unless body opened.
noboribetsu-grand,祝いの宿 登別グランドホテル,Ikkyu,https://www.ikyu.com/00000583/review/,4.32 overall; onsen/bath 4.63,169,webfetch_direct_read,6,6,0,お風呂; 家族風呂; 貸切; 露天風呂; 鬼サウナ; 硫黄泉; 鉄泉; 塩泉; タオル; 客室露天風呂狭い,Ikkyu list and individual review pages were readable; counted visible review bodies only.
noboribetsu-grand,祝いの宿 登別グランドホテル,Trip.com,https://kr.trip.com/hotels/noboribetsu-hotel-detail-703466/noboribetsu-grand-hotel/review.html,not_observed_this_pass,487,webfetch_direct_read,1,1,1,유황 온천; 소금 온천; 온천 추천,One Korean/translated body counted. AI/review summary and keyword chips kept separate.
noboribetsu-grand,祝いの宿 登別グランドホテル,Tripadvisor,https://www.tripadvisor.co.kr/ShowUserReviews-g325583-d1155420-r465459193-Noboribetsu_Grand_Hotel-Noboribetsu_Hokkaido.html,not_observed_this_pass,not_observed_this_pass,webfetch_direct_read_single_review,1,1,0,노천탕; 대욕장; 하루종일 온천,Single Korean review body counted.
noboribetsu-grand,祝いの宿 登別グランドホテル,Hotelpass Korean review,https://www.hotelpass.net/community/review_view.asp?PKId=83866,7.7/10 review score,single_review_page,webfetch_direct_read_single_review,1,1,0,대욕장 야경; 객실 환기/냄새,Single Korean user review body counted; source is not a large review pool.
noboribetsu-grand,祝いの宿 登別グランドホテル,Naver Search,https://search.naver.com/search.naver?query=노보리베츠%20그랜드%20호텔%20온천,,,search_result_snippet_only,0,0,2,대욕장; 온천,Naver/native blog body not directly opened in this pass; snippets kept out of direct counts.
noboribetsu-manseikaku,登別万世閣,Google Maps,https://www.google.com/maps/search/%E7%99%BB%E5%88%A5%E4%B8%87%E4%B8%96%E9%96%A3%20Noboribetsu%20Manseikaku,3.8,2775,aside_review_tab_read_mixed_origin,12,12,5,온천대욕탕; 노천탕; 유황온천물; 대욕장 도난/매너; 샴푸바; 수건 객실 지참; 탕 많지 않음; 실내/실외 하나씩,Google review tab opened in Aside. Google-native Korean bodies counted separately; Trip.com/Tripadvisor cards on the same panel are not merged into Google count.
noboribetsu-manseikaku,登別万世閣,Booking.com,https://www.booking.com/reviews/jp/hotel/noboribetsu-manseikaku.ja.html,7.9/10 or 8.1/10 surface,520-526 surface; page shows reviews 1-25,webfetch_direct_read,25,12,0,露天風呂; 温泉; 大浴場; 源泉の香り; シャンプーバー; 温泉良かった; 泉質が優しい; 混雑; エレベーター,Booking review page exposed visible bodies 1-25; platform pool count kept separate from direct count.
noboribetsu-manseikaku,登別万世閣,Yahoo Travel,https://travel.yahoo.co.jp/00901592/review/,4.30 overall; onsen/bath 4.28,54,webfetch_direct_read,15,12,0,お湯; 鉄の臭い; サウナ; おはだつるつる; 大浴場1槽; 温泉種類少ない; 展望風呂付客室; 混雑; 外国人客,Yahoo Travel review page p1 was directly readable. Room plan names with bath are not counted as experiential signal unless body also refers to use.
noboribetsu-manseikaku,登別万世閣,Jalan,https://www.jalan.net/yad321916/kuchikomi/,not_observed_this_pass; bath scores visible per review,not_observed_this_pass,webfetch_direct_read,10,8,0,大浴場; サウナ; 源水水風呂; 階段; 内風呂と露天風呂; シャンプーバー; 混んでない; 狭い,Jalan latest review page directly readable; archive pagination visible but not expanded in this pass.
noboribetsu-manseikaku,登別万世閣,Trip.com,https://kr.trip.com/hotels/noboribetsu-hotel-detail-993429/noboribetsu-manseikaku/review.html,8.8/10,232,webfetch_direct_read,15,12,0,온천 추천(108); 야외 온천; 실내외 온천탕; 샴푸/컨디셔너 6종; 탕 수 적음; 전망 아쉬움; 사람 많지 않음; 노후,"Korean localized Trip.com review page directly readable; keyword chip counts kept as pool signal, not direct bodies."
noboribetsu-manseikaku,登別万世閣,Naver Blog,https://blog.naver.com/yeum04/223505801636,,single_blog_body,aside_search_snapshot_read_direct_blog_body,1,1,6,온천욕장; 샴푸/린스 선택; 수건 객실 지참; 개인물품 보관; 작은 비밀번호 보관함; 객실 벌레 주의,One Naver Blog body opened in Aside and counted. Other Naver search/cafe/blog result snippets were kept out of direct count.
noboribetsu-manseikaku,登別万世閣,Naver Search/Cafe snippets,https://search.naver.com/search.naver?query=노보리베츠%20만세이카쿠%20온천%20후기,,,aside_search_result_snippet_only,0,0,8,온천; 대욕장; 노천탕; 가족탕 언급; 유황 냄새; 대욕장/수건,Search result snippets and cafe comments were not counted as direct reviews.
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Google Maps,https://www.google.com/maps/search/%E5%B9%B3%E6%88%90%E9%A4%A8%20%E3%81%97%E3%81%8A%E3%81%95%E3%81%84%E4%BA%AD%20Heiseikan%20Shiosaitei,4.2,1627,aside_review_tab_read_mixed_identity_risk,6,2,3,온천; 여자 직원 대욕장 동선 불쾌; 하나즈키 별관 객실 온천; 낡음; 오션뷰,Google Maps place title was Korean Annex Hanatsuki while Japanese heading/address/site matched 平成館しおさい亭. Counted only Google-posted visible bodies; Trip.com/Tripadvisor cards and annex-specific body were kept as mixed-identity caution.
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Jalan,https://www.jalan.net/yad342256/kuchikomi/,4.2 overall; bath 4.1,1469,web_open_direct_read,30,22,0,温泉; お風呂; 7階大浴場; 客室露天風呂; 海が見える内風呂; 湯の温度; 浴槽小さい; 風呂数少ない; サウナ,"Jalan review page exposed recent first-page bodies directly. Count is visible body sample only; 1,469 is platform pool."
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Yahoo Travel,https://travel.yahoo.co.jp/00900119/review/,4.26 overall; onsen/bath 4.18,55,web_open_direct_read,20,8,0,大浴場; 客室露天風呂; 海を眺める; 大浴場ほぼ貸切; 温泉・お風呂; 清掃; 部屋臭い; カビ,"Yahoo Travel review page exposed review bodies and category scores directly. Counted body rows, not category-score rows alone."
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Booking.com,https://www.booking.com/reviews/jp/hotel/shiosaitei.ja.html,8.1/10,124-228 surface; page shows reviews 1-25,web_open_direct_read,25,14,0,露天風呂付のお部屋; 大浴場; お湯の温度が低い; 大浴場ゆったり; 温泉; 食事とお部屋の露天風呂; 種類が少ない,Booking review page exposed visible bodies 1-25. Platform pool and page score kept separate from direct count.
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Trip.com,https://kr.trip.com/hotels/hakodate-hotel-detail-1488016/heiseikan-shiosaitei/,9.1/10,208,web_open_direct_read,9,4,0,대욕장 바다 전망; 온천탕; 방에 딸린 온천; 여성 탕 시간 짧음; 온천 서비스 가성비,Korean-localized Trip.com page exposed recent review bodies. AI review summary and topic counts were not counted as direct bodies.
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Hotels.com,https://kr.hotels.com/ho540721/heiseikan-siosaitei-hakodate-ilbon/,8.8/10,225,web_open_partial_pool_and_room_type_surface,0,0,3,온천; 스파; 객실 전신 욕조; private open air bath room; 숙박 시설 상태; 오션뷰,"Hotels.com page exposed pool count, room-type surfaces, and facility facts, but no stable batch of review body cards was counted in this pass. Kept out of direct-review totals."
yunokawa-heiseikan-shiosaitei,平成館 しおさい亭,Naver/Search Korean web,https://search.naver.com/search.naver?query=%ED%97%A4%EC%9D%B4%EC%84%B8%EC%9D%B4%EC%B9%B8%20%EC%8B%9C%EC%98%A4%EC%82%AC%EC%9D%B4%ED%85%8C%EC%9D%B4%20%EC%98%A8%EC%B2%9C%20%ED%9B%84%EA%B8%B0,,,search_result_snippet_only,0,0,4,객실 노천탕; 개인 온천; 온천; 대욕장,"Korean web search surfaced OTA/blog-like snippets, but no Naver Blog/Cafe body was opened and read in this pass. Kept out of direct count."
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,Google Maps,https://www.google.com/maps/search/%E3%82%B6%E3%83%BB%E3%83%AC%E3%82%A4%E3%82%AF%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%88%E6%B9%96%E3%81%AE%E6%A0%96%20The%20Lake%20Suite%20Ko%20no%20Sumika,4.5,1169,aside_review_tab_read,10,5,0,객실 내 욕조; 대욕장; 노천탕; 선팔레스 이용; 가든뷰/호수뷰 기대차; 식사 소음/혼잡,Google review tab opened in Aside. Korean Google-native bodies counted; topic chips such as 일본의 온천 184 and 대욕장 110 kept as pool signal only.
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,Jalan,https://www.jalan.net/yad352222/kuchikomi/,4.4 overall; bath 4.7,119,web_open_direct_read,30,27,0,客室露天風呂; 部屋のお風呂; 大浴場露天風呂; インフィニティ露天風呂; 温度調節; 温泉感; 虫; サンパレス移動; 食事会場遠い,Jalan recent review page exposed bodies directly. Count is visible direct-review sample only; 119 is platform pool.
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,Yahoo Travel,https://travel.yahoo.co.jp/00002637/review/,4.32 overall; onsen/bath 4.70,189,web_open_direct_read,20,14,0,部屋付露天風呂; 温泉露天風呂付; 大浴場露天風呂; 室内露天風呂; 部屋風呂狭い; 湖ビュー期待差; 食事期待差,Yahoo Travel review page exposed review bodies and category scores directly. Category scores were not counted without body text.
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,Trip.com,https://kr.trip.com/hotels/sobetsu-hotel-detail-30149326/the-lake-suite-ko-no-sumika/,9.6/10,67,web_open_direct_read,8,4,0,온천 추천; 객실에서 즐기는 온천; 파노라마 온천; 본관 식당까지 멂; 온천 편안함; 탁 트인 시야,Korean-localized Trip.com page exposed visible review bodies. Topic counts such as 온천 추천 26 kept separate from direct body counts.
toyako-lake-suite-konosisu,ザ・レイクスイート湖の栖,Naver/Search Korean web,https://search.naver.com/search.naver?query=%EB%8D%94%20%EB%A0%88%EC%9D%B4%ED%81%AC%20%EC%8A%A4%EC%9C%84%ED%8A%B8%20%EC%BD%94%20%EB%85%B8%20%EC%88%98%EB%AF%B8%EC%B9%B4%20%ED%9B%84%EA%B8%B0%20%EC%98%A8%EC%B2%9C,,,search_result_snippet_only,0,0,4,객실 온천; 노천탕; 대욕장; 도야호 뷰,Korean search snippets only; no Naver Blog/Cafe body was counted in this pass.
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,Google Maps,https://www.google.com/maps/search/%E5%8D%81%E5%8B%9D%E5%B7%9D%E3%83%A2%E3%83%BC%E3%83%AB%E6%B8%A9%E6%B3%89%20%E6%B8%85%E5%AF%82%E6%88%BF,4.5,266,aside_review_tab_read,7,6,3,내탕; 모르온천수; 객실에 딸린 탕; 물/수질; 개인 온천풀; 몰 온천물; 노천탕,Google review tab opened in Aside. Google-native Korean bodies counted; Trip.com partner cards on the same surface kept separate/snippet-only.
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,Ikkyu,https://www.ikyu.com/00003001/review/,4.80 overall; onsen/bath 4.90,341,web_open_direct_read,35,32,0,部屋のモール温泉; 客室露天風呂; 広いお風呂; 茶褐色; 入浴後ポカポカ; 大浴場閉塞感; 浴槽深い; シャワー動線,Ikkyu review page exposed direct bodies. Counted visible body sample only; facility replies and category scores not counted as separate reviews.
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,Yahoo Travel,https://travel.yahoo.co.jp/00003001/review/,4.80 overall; onsen/bath 4.90,341,web_open_direct_read,25,18,0,温泉; お風呂; 源泉かけ流し露天風呂付き; 客室露天風呂; モール温泉露天風呂; 内湯異臭; 食事ペース,Yahoo Travel review page exposed direct bodies. Category-only rows not counted.
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,Hotels.com,https://jp.hotels.com/ho2463267776/shi-sheng-chuanmoru-wen-quan-qing-ji-fang-yin-geng-ri-ben/,9.0/10,32,web_open_direct_read_partial,5,3,0,モール温泉; 肌すべすべ; 温さが続く; 施設清潔; 宿泊者限定口コミ,Hotels.com exposed a small verified-review section. Counted only visible body cards; FAQ/facility facts kept separate.
tokachigawa-seijakubou,全室源泉かけ流し露天風呂付きの宿 清寂房《十勝川モール温泉》,Naver/Search Korean web,https://search.naver.com/search.naver?query=%EC%84%B8%EC%9D%B4%EC%9E%90%EC%BF%A0%EB%B3%B4%20%EC%8B%AD%EC%8A%B9%EC%B2%9C%20%EC%98%A8%EC%B2%9C%20%ED%9B%84%EA%B8%B0,,,search_result_snippet_only,0,0,4,모르 온천; 객실 노천온천; 전 객실 노천탕; 조용한 환경,Korean web search/MATOKA/private-hotspring pages were not counted as direct user review bodies.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Ikkyu,https://www.ikyu.com/00001211/review/,4.45 overall; onsen/bath 4.52,147,web_open_direct_read,35,30,0,部屋風呂; 大人4人でも充分; 大浴場; 泉質; トロトロ; 濁り湯; 段差; 露天風呂落葉; シャワールーム動線,Ikkyu review page exposed direct bodies. Counted visible review bodies only; category scores and facility replies were not counted as reviews.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Yahoo Travel,https://travel.yahoo.co.jp/00001211/review/,4.45 overall; onsen/bath 4.53,148,web_open_direct_read,25,20,0,温泉展望風呂; 部屋風呂; 温泉の質; 広い; シャワー水圧; 大浴場; 露天風呂; 道案内/到着混乱,Yahoo review page exposed direct bodies. Ikkyu/Yahoo share some review surfaces; platform pool and direct body count are recorded separately from source_count interpretation.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Tripadvisor,https://www.tripadvisor.com/Hotel_Review-g325583-d1155419-Reviews-Bourou_Noguchi_Noboribetsu-Noboribetsu_Hokkaido.html,not_captured,not_captured,web_open_direct_read,12,10,0,in room onsen; private onsen; room bath large; public bath tranquil; too hot; window/privacy; cancellation/oil issue,Tripadvisor page exposed English/Japanese direct bodies. Tripadvisor machine translations were treated as direct readable only where review body text was visible.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Trip.com,https://jp.trip.com/hotels/noboribetsu-hotel-detail-1487991/bourou-noguchi-noboribetsu/,8.9/10,85,web_open_direct_read,8,4,0,部屋に温泉; 共同浴場; 雪景色; お風呂; チェックアウト混雑; 低評価なし表示,Trip.com exposed a limited visible body sample plus AI summary. AI summary counts were not counted as direct reviews.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Expedia,https://www.expedia.com/Noboribetsu-Hotels-Bourou-NOGUCHI-Noboribetsu-Adult-Only.h12629784.Hotel-Information,not_captured,not_captured,web_open_direct_read,4,3,0,Onsen was awesome; private hot spring bath; room private onsen; shuttle bus; room comfort,Expedia page exposed a small verified-review body sample. Similar Hotels.com/Expedia group surfaces were not inflated beyond visible body rows.
noboribetsu-bourou-noguchi,望楼NOGUCHI登別,Naver/Search Korean web,https://search.naver.com/search.naver?query=%EB%A7%9D%EB%A3%A8%20%EB%85%B8%EA%B5%AC%EC%B9%98%20%EB%85%B8%EB%B3%B4%EB%A6%AC%EB%B2%A0%EC%B8%A0%20%EA%B0%9D%EC%8B%A4%ED%83%95%20%EC%98%A8%EC%B2%9C,,,snippet_only,0,0,4,객실탕; 개인 온천; 노보리베츠; 송영/위치,Korean search surface was not opened as stable direct review bodies in this pass; kept as snippet_only.
