slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status
kawaguchiko-tensui,野天風呂天水 / 河口湖日帰り温泉候補,Tensui day-use seed,kawaguchiko,山梨県,open_air_public_bath,Tier 2,"야천풍로형 당일온천 후보, 운영현황 확인 필요","Kawaguchiko day-use seed",needs_current_operation_crosscheck
kawaguchiko-fujiyama-onsen,ふじやま温泉,Fujiyama Onsen,kawaguchiko,山梨県,large_day_use_complex,Tier 1,"후지큐 인접 대형 온천시설, 관광동선/혼잡 신호 후보","Kawaguchiko day-use seed",needs_review_pool_crosscheck
akiu-sato-center,秋保・里センター 足湯,아키우 사토센터 족탕,akiu,宮城県,footbath,Tier 2,"관광안내소 족탕, 무료/짧은 체류형 후보","Akiu day-use seed",needs_source_crosscheck
akiu-hananoyu-dayuse,ホテル華乃湯 日帰り温泉,호텔 하나노유 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 1,"아키우 당일온천 추천 노출, 노천/대욕장 후보","Jalan/Akiu day-use exposure",needs_review_pool_crosscheck
akiu-zuiho-dayuse,ホテル瑞鳳 日帰り温泉,호텔 즈이호 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 1,"대형 호텔 당일온천 후보, 운영일/혼잡 확인 필요","Akiu day-use seed",needs_official_detail_crosscheck
akiu-ryokusuitei-dayuse,篝火の湯 緑水亭 日帰り,료쿠스이테이 당일온천,akiu,宮城県,hotel_dayuse_bath,Tier 2,"정원형 노천/대욕장 당일온천 후보","Akiu day-use seed",needs_review_pool_crosscheck
ikaho-ishidan-no-yu,石段の湯,이카호 이시단노유,ikaho,群馬県,historic_public_bath,Tier 1,"석단거리 공중탕, 황금탕/관광객 혼잡 신호 후보","Ikaho day-use seed",needs_review_pool_crosscheck
ikaho-rotenburo,伊香保露天風呂,이카호 노천탕,ikaho,群馬県,open_air_public_bath,Tier 1,"원천 근처 노천탕, 온천감/운영조건 후보","Ikaho day-use seed",needs_review_pool_crosscheck
ikaho-kogane-no-yu,黄金の湯館,고가네노유칸,ikaho,群馬県,large_day_use_complex,Tier 2,"대형 당일온천, 가격/혼잡/가족형 수요 후보","Ikaho day-use seed",needs_source_crosscheck
ikaho-ikaho-onsen-drink,飲泉所・足湯候補,이카호 음천/족탕 후보,ikaho,群馬県,footbath,Tier 3,"석단거리 짧은 체류/무료 시설 후보","Ikaho tourist seed",needs_source_crosscheck
toba-toba-seaside-hotel-dayuse,鳥羽シーサイドホテル 日帰り温泉,도바 시사이드호텔 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,"바다 전망 대형 호텔 당일온천 후보","Toba day-use seed",needs_review_pool_crosscheck
toba-todaya-dayuse,戸田家 日帰り温泉,토다야 당일온천,toba,三重県,hotel_dayuse_bath,Tier 1,"도바 대형 숙소 당일온천, 탕종류/혼잡 신호 후보","Toba lodging/day-use seed",needs_review_pool_crosscheck
toba-toba-grand-dayuse,鳥羽グランドホテル 日帰り温泉,도바 그랜드호텔 당일온천,toba,三重県,hotel_dayuse_bath,Tier 2,"바다 전망 호텔온천 후보","Toba day-use seed",needs_source_crosscheck
toba-aquaignis-kataoka,アクアイグニス片岡温泉,아쿠아이그니스 가타오카온천,toba,三重県,wellness_spa,Tier 1,"미에권 스파/식음 복합시설, 도바·이세시마 보강 후보","Mie facility seed",needs_area_crosscheck
isawa-yamanami,やまなしフルーツ温泉ぷくぷく / ほったらかし温泉候補,Yamanashi view onsen seed,isawa,山梨県,open_air_public_bath,Tier 2,"이사와/후에후키권 조망형 온천 후보, 지역 정확도 보강 필요","Yamanashi facility seed",needs_area_crosscheck
isawa-nadeshiko,石和温泉駅前公園あしゆ,이사와온천역 앞 족탕,isawa,山梨県,footbath,Tier 2,"역 앞 무료 족탕 후보, 짧은 체류형 시설","Isawa tourist seed",needs_source_crosscheck
isawa-spaland,スパランドホテル内藤,스파랜드 호텔 나이토,isawa,山梨県,wellness_spa,Tier 1,"대형 스파/사우나/숙박 겸용, 리뷰풀 후보","Isawa/Fuefuki facility seed",needs_review_pool_crosscheck
isawa-yamanashi-kotsu,石和健康ランド,이사와 건강랜드,isawa,山梨県,wellness_spa,Tier 2,"건강랜드형 대형 온욕시설 후보","Isawa facility seed",needs_source_crosscheck
