slug,name_ja,name_ko_or_en,area_slug,prefecture,facility_type,initial_tier,initial_onsen_facility_signals,source_basis,verification_status
kinugawa-nikko-yumoto-onsenji,日光山温泉寺,닛코산 온천사,nikko-yumoto,栃木県,historic_public_bath,Tier 1,"사찰 온천/탕치형, 유황천·운영시즌 후보","Nikko/Kinugawa regional facility seed",needs_source_crosscheck
kinugawa-kinutaki,鬼怒川公園岩風呂,기누가와공원 이와부로,kinugawa,栃木県,public_bath_facility,Tier 1,"공원 내 당일온천, 로컬/관광객 이용 신호 후보","Kinugawa day-use seed",needs_source_crosscheck
kinugawa-yudokoro-suzukaze,湯處すず風,유도코로 스즈카제,kinugawa,栃木県,public_bath_facility,Tier 2,"기누가와 당일온천 후보, 접근성/요금 확인 필요","Kinugawa day-use seed",needs_source_crosscheck
nikko-edoyado-onsen,日光市温泉保養センター やしおの湯,야시오노유,kinugawa,栃木県,public_bath_facility,Tier 2,"닛코 공공온천, 가격형/로컬 시설 후보","Nikko regional public bath seed",needs_source_crosscheck
ito-tokaikan,東海館,도카이칸,ito-izu,静岡県,historic_public_bath,Tier 1,"伊東 역사건축, 주말/공휴일 입욕 운영 신호 후보","Ito tourism facility seed",needs_source_crosscheck
ito-marine-town-seaside-spa,伊東マリンタウン シーサイドスパ,이토 마린타운 시사이드스파,ito-izu,静岡県,wellness_spa,Tier 1,"해변/도로역 온천시설, 조망·장거리 이동자 수요 후보","Ito day-use facility seed",needs_review_pool_crosscheck
ito-akazawa-day-spa,赤沢日帰り温泉館,아카자와 일일온천관,ito-izu,静岡県,large_day_use_complex,Tier 1,"태평양 조망 대노천, 스파/식음 복합 후보","Izu Kogen day-use seed",needs_review_pool_crosscheck
ito-kawana-irukahama,川奈いるか浜公園 足湯候補,가와나 이루카하마 족탕 후보,ito-izu,静岡県,footbath,Tier 3,"해변 관광동선형 족탕 후보, 현존/운영 확인 필요","Ito facility seed",needs_source_crosscheck
ito-hokkawa-kuroane,黒根岩風呂,구로네이와부로,ito-izu,静岡県,open_air_public_bath,Tier 1,"바다 바로 앞 노천탕, 조망/운영시간/혼욕규칙 후보","Higashi-Izu day-use seed",needs_review_pool_crosscheck
ito-atagawa-takayuso,熱川高磯の湯,아타가와 다카이소노유,ito-izu,静岡県,open_air_public_bath,Tier 2,"해안 노천탕, 계절/운영조건 확인 후보","Izu day-use seed",needs_source_crosscheck
ito-izu-kogen-taiyokan,伊豆高原の湯,이즈고원노유,ito-izu,静岡県,large_day_use_complex,Tier 2,"이즈고원 당일온천, 泥パック/휴게 신호 후보","Izu Kogen day-use seed",needs_review_pool_crosscheck
