slug,kind,name_ja,name_ko_or_en,area,prefecture,property_type,tier,candidate_status,initial_bath_signals,visible_review_or_rating_signal,why_prioritized,source_basis,verification_status,source_urls,notes
hakone-yama-no-chaya,accommodation,山の茶屋,Yama no Chaya,hakone,神奈川県,traditional ryokan,Tier 1,ready,公式で自家源泉を四つの風呂と客室露天風呂に注ぐと確認。箱ぴたで温泉付客室11室・一部客室露天あり確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_association_bath_surface_confirmed,https://yamanochaya.com/ ; https://yamanochaya.com/room/ ; https://www.hakone-ryokan.or.jp/search/00502/,一部客室露天형.全室扱い 금지. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-yuyado-zen,accommodation,箱根湯宿 然-ZEN-,Hakone Yuyado Zen,hakone,神奈川県,small ryokan,Tier 1,ready,公式で全10室半露天風呂付き・天然かけ流しにごり湯を確認,review count not locked,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_bath_surface_confirmed,https://www.hakone-zen.com/ ; https://www.hakone-zen.com/room/index.html ; https://www.hakone-ryokan.or.jp/blog/10772.html,半露天風呂를 객실노천과 별도 세부표현으로 유지. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
hakone-kai,accommodation,星野リゾート 界 箱根,Hoshino Resorts KAI Hakone,hakone,神奈川県,brand ryokan,Tier 1,ready,公式で箱根湯本温泉・半露天風呂を確認。Jalanで大浴場/半露天風呂、Tripadvisor/Yahooでレビュー表面を確認,Jalan shows 37 reviews; Tripadvisor/Yahoo/Expedia surfaces exist,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_review_surface_confirmed,https://hoshinoresorts.com/ja/hotels/kaihakone/ ; https://www.jalan.net/yad352635/ ; https://www.tripadvisor.jp/Hotel_Review-g298171-d4131246-Reviews-Hoshino_Resorts_KAI_Hakone-Hakone_machi_Ashigarashimo_gun_Kanagawa_Prefecture_Kanto.html,界ブランドでレビュー풀은 분산될 수 있음. 객실탕보다 대욕장 반노천 중심으로 보임 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-fujinoya,accommodation,シャトレーゼホテル 旅館 富士野屋,Fujinoya,isawa,山梨県,ryokan hotel,Tier 1,ready,公式/Rakutenで大浴場・貸切露天・客室シャワー水栓も温泉、最大7つの湯巡り、全客室湯船/シャワー天然温泉100%を確認,"Rakuten surfaces mention room open-air source-flow, shower also onsen, suitable temperature, smooth skin, but weak water pressure and large-bath time allocation issues",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.fujinoya-chateraise.com/ ; https://travel.rakuten.co.jp/HOTEL/9121/review.html ; https://travel.rakuten.co.jp/HOTEL/9121/9121.html ; https://travel.rakuten.co.jp/HOTEL/9121/CUSTOM/GW9121220326175429.html,石和で客室水栓まで温泉という強い差別化。客室温泉/大浴場/貸切露天/水圧を確認 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-itoyanagi,accommodation,石和名湯館 糸柳,Itoyanagi,isawa,山梨県,traditional ryokan,Tier 1,ready,公式で自家源泉100%天然温泉、貸切風呂、露天風呂を備えた大浴場、天然温泉薬石浴を確認,"Rakuten/Oyutabi surfaces mention medicinal stone bath, large/public baths, room with onsen/open-air options and high food/service satisfaction",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.itoyanagi.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/16390/review.html ; https://travel.rakuten.co.jp/HOTEL/16390/16390.html ; https://oyutabi.biglobe.ne.jp/h30667/,自家源泉100%と薬石浴が特徴。客室露天候補より大浴場/貸切/薬石浴も強い / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-itoyanagi-yuwa,accommodation,糸柳こやど ゆわ,Itoyanagi Koyado Yuwa,isawa,山梨県,small ryokan,Tier 1,ready,公式/Rakutenで石和温泉の小宿、露天風呂付き大浴場、薬石浴嵐の湯、露天風呂付き客室では石和の湯を楽しめると確認,"Rakuten surfaces mention room bath use, lounge service, older building/low water pressure notes; guest may skip public bath if room bath satisfies",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://www.itoyanagi-yuwa.com/ ; https://travel.rakuten.co.jp/HOTEL/20033/review.html ; https://travel.rakuten.co.jp/HOTEL/20033/CUSTOM/GW20033101122133335.html ; https://travel.rakuten.co.jp/HOTEL/20033/gallery.html,糸柳本館と別行。小宿・部屋風呂・薬石浴・ラウンジ価値を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-kagetsu,accommodation,銘石の宿 かげつ,Kagetsu,isawa,山梨県,traditional ryokan,Tier 1,ready,公式/Rakutenで石和温泉の老舗庭園宿、巨岩・奇岩の大露天風呂、温泉半露天風呂付き客室、別邸The ONEを確認,"Rakuten/Jalan surfaces mention room semi-open-air bath, large stone public bath, alkaline smooth skin, garden/koi atmosphere; pet-luxury annex exists as separate product",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://www.isawa-kagetsu.com/ ; https://travel.rakuten.co.jp/HOTEL/16653/review.html ; https://travel.rakuten.co.jp/HOTEL/16653/16653.html ; https://kagetsu-theone.com/ ; https://www.jalan.net/yad327951/,庭園・巨石露天が強い。通常宿/温泉半露天客室/別邸The ONEを分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-keizan,accommodation,石和温泉 華やぎの章 慶山,Keizan,isawa,山梨県,large ryokan,Tier 1,ready,公式/Rakutenで湯量豊富な自家源泉かけ流し、大浴場・露天風呂、男女入替、昌客殿露天風呂付客室は自家源泉100%かけ流し加水加温なしと確認,"Rakuten shows 1,922 review marker; visible reviews mention room open-air, self-source flow, soft water, high food/service and Taiko show; large active review pool",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://keizan.com/ ; https://travel.rakuten.co.jp/HOTEL/19894/review.html ; https://travel.rakuten.co.jp/HOTEL/19894/19894.html ; https://hotel.travel.rakuten.co.jp/hotelinfo/plan/19894,Batch04最後の強候補。大浴場/露天/昌客殿客室露天/太鼓ショーを分離 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-koshien,accommodation,銘庭の宿 ホテル甲子園,Hotel Koshien,isawa,山梨県,ryokan hotel,Tier 1,ready,公式/Rakutenで貸切家族風呂、露天風呂付き客室、大浴場、露天風呂、サウナ/岩盤浴系の利用導線を確認,"Rakuten review surface mentions tablet-reservable private open-air, suna/ganbanyoku, and public open-air bath temperature nuance",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.hotel-koushien.jp/ ; https://travel.rakuten.co.jp/HOTEL/18659/review.html ; https://travel.rakuten.co.jp/HOTEL/18659/CUSTOM/GW1865960302000546.html ; https://travel.rakuten.co.jp/HOTEL/18659/18659.html,客室露天、貸切家族風呂、大浴場、サウナ/岩盤浴を分ける。ぬるい/冷たい系の温度信号も深掘り対象 / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-wajoen,accommodation,糸柳別館 離れの邸 和穣苑,Wajoen,isawa,山梨県,detached ryokan,Tier 1,ready,公式で露天風呂付き離れ、12室中露天風呂付き客室/離れ、源泉よりひいた温泉を確認,"Rakuten surface shows high rating/review pool marker; elderly guest use, bath/washroom ease, food/service strength are visible",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.wajoen.jp/ ; https://travel.rakuten.co.jp/HOTEL/72019/review.html ; https://travel.rakuten.co.jp/HOTEL/72019/72019.html ; https://www.489pro-x.com/ja/itoyanagi/wajoen/search/,公式は12室、Rakuten側は総部屋数9表記が見えるため現行客室数を再確認。離れ客室露天と共用浴場を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
fujiyoshida-kaneyamaen,accommodation,庭園と感動の宿 富士山温泉 ホテル鐘山苑,Hotel Kaneyamaen,kawaguchiko,山梨県,large ryokan hotel,Tier 1,ready,公式/Rakutenで富士山温泉、屋上露天風呂、富士山ビューの露天風呂付き客室、カルシウム/ナトリウム硫酸塩泉を確認,"Rakuten surface includes room open-air usefulness for elderly parent, comfortable hot spring water, Fuji/garden view weather dependency",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.kaneyamaen.com/ ; https://www.kaneyamaen.com/room/sanri/ ; https://travel.rakuten.co.jp/HOTEL/19206/review.html ; https://travel.rakuten.co.jp/HOTEL/19206/19206.html,公式住所は富士吉田市。205行と同一施設のため203を正本候補にして205を重複統合対象にする / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-fufu,accommodation,ふふ 河口湖,Fufu Kawaguchiko,kawaguchiko,山梨県,luxury resort ryokan,Tier 1,ready,公式で全室富士山ビューのスイート、客室の富士山溶岩露天風呂、天然温泉を確認,Ikkyu/Yahoo surfaces show room open-air/Fuji view strength; some review surface mentions room bath too hot and public bath size expectation gap,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://www.fufukawaguchiko.jp/ ; https://www.ikyu.com/00002583/review/ ; https://travel.yahoo.co.jp/00002583/review/ ; https://www.expedia.co.jp/Fujikawaguchiko-Hotels-FUFU-KAWAGUCHIKO.h30994578.Hotel-Information,高級客室温泉/Fuji view型。温度調整、共用浴場規模、価格期待値を深掘り対象にする / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-kaneyamaen,accommodation,庭園と感動の宿 富士山温泉 ホテル鐘山苑,Hotel Kaneyamaen,kawaguchiko,山梨県,large ryokan hotel,Tier 1,merge,203行と同一の公式施設。公式で屋上露天風呂、富士山ビュー客室露天、天然温泉を確認,Same review surface as 203; do not count as independent candidate or independent review pool,Tier 1 우선 후보 / 중복 후보 병합 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,duplicate_identity_confirmed,https://www.kaneyamaen.com/ ; https://travel.rakuten.co.jp/HOTEL/19206/review.html ; https://www.kaneyamaen.com/room/sanri/,日本語名、公式サイト、住所情報から203と同一。河口湖エリア候補として入った重複を統合する / 동일 숙소/시설 후보로 병합 필요. 원본 행을 사용자-facing 데이터로 중복 노출하지 말 것. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-konanso,accommodation,富士河口湖温泉 湖南荘,Konanso,kawaguchiko,山梨県,ryokan hotel,Tier 1,ready,公式/Rakutenで富士山側客室の露天風呂、温泉露天風呂付き客室、富士山/河口湖眺望を確認,Rakuten shows large visible pool marker; Yahoo surface mentions room open-air booking difficulty and renovated public bath/sauna comfort,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.konansou.com/ ; https://travel.rakuten.co.jp/HOTEL/31111/31111.html ; https://travel.rakuten.co.jp/HOTEL/31111/CUSTOM/31111101215150848.html ; https://travel.yahoo.co.jp/00002350/review/,富士山側客室露天と大浴場/足湯を分ける。予約困難・眺望・改装後大浴場信号を確認対象にする / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-sunnide,accommodation,Sunnide Resort ＜ホテル＆湖畔別邸 千一景＞,Sunnide Resort,kawaguchiko,山梨県,lake resort hotel,Tier 1,ready|split_needed,公式で湖畔別邸千一景の客室露天風呂、富士山/河口湖眺望を確認,Jalan surface explicitly says room open-air is not onsen while public bath is onsen; Yahoo surface supports room view/open-air satisfaction,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed_with_room_bath_source_issue,https://www.sunnide.com/stay_senikkei.html ; https://www.jalan.net/yad328136/kuchikomi/ ; https://travel.yahoo.co.jp/00908546/review/ ; https://www.agoda.com/ja-jp/sunnide-resort-kashi-besso/hotel/fujikawaguchiko-jp.html,客室露天は眺望価値が強いが温泉ではない可能性が高い。room_bath_hot_spring候補にせず public_bath_hot_spring と分離 / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-yumedono,accommodation,河口湖温泉寺 露天風呂の宿 夢殿,Yumedono,kawaguchiko,山梨県,luxury ryokan,Tier 1,ready,公式で全室露天風呂付きの宿として確認,Booking review surface shows large global pool marker and room open-air/relaxation/service mentions; Ikkyu has smaller readable surface,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_global_review_surface_confirmed,https://www.onsenji.com/ ; https://www.booking.com/reviews/jp/hotel/yumedono.ja.html ; https://www.ikyu.com/00000687/review/ ; https://www.expedia.co.jp/Kofu-Hotels-Fuji-Onsenji-Yumedono.h9635420.Hotel-Information,グローバルレビューが厚い高級客室露天型。Booking/Agoda/Trip系の多言語期待値と日本OTAを分けて読む / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-ashikari,accommodation,懐石旅庵 阿しか里,Ashikari,yugawara,神奈川県,kaiseki ryokan,Tier 1,ready,公式/Jalanで全室源泉かけ流し露天風呂付き、源泉掛流し露天風呂付客室、湯河原の柔ら湯を確認,"Ikkyu/Jalan/Rakudaclub surfaces mention soft water, room open-air satisfaction, elderly mobility/stairs and baby-friendly lodging signals",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_multi_ota_bath_surface_confirmed,https://www.ashikari.com/ ; https://www.ashikari.com/room/ ; https://www.ikyu.com/00001221/review/ ; https://www.jalan.net/yad331750/ ; https://www.rakudaclub.com/hotels/00028/,全室源泉かけ流し客室露天型。階段/足腰負担、赤ちゃん歓迎、客室露天サイズ、柔ら湯テクスチャーを分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-miwa,accommodation,三輪 湯河原,Miwa Yugawara,yugawara,神奈川県,luxury ryokan,Tier 1,ready,公式で17室すべてに掛け流し露天風呂を完備した大人向け温泉旅館を確認,"Ikkyu/4travel surfaces mention large white room open-air, repeated bathing, heat retention, quiet design, food/bar service and anniversary use",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://miwayugawara.jp/ ; https://www.ikyu.com/00002751/review/ ; https://www.ikyu.com/00002751/ ; https://4travel.jp/travelogue/11813057,現代デザイン小規模宿。全室掛け流し客室露天、森眺望、バー/記念日サービス、食事評価を分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-okuyugawara-yui,accommodation,奥湯河原 結唯,Yui Okuyugawara,yugawara,神奈川県,luxury ryokan,Tier 1,ready,公式で奥湯河原の秘湯、客室露天風呂、本館客室プライベートサウナ、清流沿いの温泉体験を確認,"Ikkyu/Rakuten surfaces mention room open-air by river, fireflies/stream sound, lukewarm indoor/open-air water, multi-level detached room access and privacy/eye-screen concern",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_multi_ota_bath_surface_confirmed,https://okuyugawara.jp/ ; https://www.ikyu.com/00001700/review/ ; https://travel.rakuten.co.jp/HOTEL/111181/review.html,離れ/本館で体験差が大きい。客室露天、内湯、サウナ、階段動線、ぬるめ温度、川音/蛍/目隠しを分ける / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
yugawara-tsubaki,accommodation,海石榴 つばき,Tsubaki,yugawara,神奈川県,luxury ryokan,Tier 1,ready|split_needed,公式/Rakutenで奥湯河原の高級料亭旅館、弱塩泉の柔らかい湯、大浴場、庭園眺望、専用露天風呂付き客室を確認,Official/Rakuten review surface includes room open-air and room meal privacy satisfaction; OTA surfaces emphasize soft water and old-ryokan hospitality,Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_review_surface_confirmed,https://www.tubaki.net/ ; https://travel.rakuten.co.jp/HOTEL/67086/67086.html ; https://travel.rakuten.co.jp/HOTEL/67086/CUSTOM/GW67086110528121145.html ; https://oyutabi.biglobe.ne.jp/t3698/h16725/,老舗高級料亭旅館。客室専用露天、大浴場弱塩泉、部屋食/プライバシー、老舗感と清掃を分ける / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
isawa-hotel-fuji,accommodation,ホテルふじ,Hotel Fuji,isawa,山梨県,large hotel ryokan,Tier 1,ready|split_needed,公式/Rakutenで県内最大級の大岩風呂「信玄」、大庭園風呂「きんすい」、露天風呂「寿々」「風林」、有料貸切展望風呂を確認,"Rakuten surfaces mention clean open-air bath, huge rock bath, buffet, check-in waiting and older rooms; bath proposition is large public bath more than room bath",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.hotel-fuji.jp/ ; https://travel.rakuten.co.jp/HOTEL/27753/review.html ; https://travel.rakuten.co.jp/HOTEL/27753/27753.html ; https://travel.rakuten.co.jp/HOTEL/27753/gallery.html,大型大浴場ホテル。大岩風呂、大庭園風呂、露天、貸切展望風呂、客室古さ、チェックイン混雑を分ける / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
kawaguchiko-fuji-lake,accommodation,FUJI LAKE HOTEL / 富士レークホテル,Fuji Lake Hotel,kawaguchiko,山梨県,lake hotel,Tier 1,ready|split_needed,公式/Rakutenで富士山地下1500m由来の天然温泉、大浴場、露天風呂、サウナ、ジェットバス、露天風呂付客室を確認,"Rakuten surfaces mention relaxed uncrowded baths, accessible bath lift, room/open-air view but one review says public open-air view could be better",Tier 1 우선 후보 / 공식/리뷰 표면 기준 다음 단계 가능 / 욕장/객실 타입 분리 필요,nationwide_accommodation_master_v0_6_2026-07-03.csv,official_and_high_volume_ota_bath_surface_confirmed,https://www.fujilake.co.jp/ ; https://travel.rakuten.co.jp/HOTEL/7298/review.html ; https://travel.rakuten.co.jp/HOTEL/7298/7298.html ; https://travel.rakuten.co.jp/HOTEL/7298/gallery.html,富士/河口湖ビューとアクセシビリティが強い。大浴場、客室露天、入浴介助リフト、眺望不足、湖/富士側部屋を分ける / 욕장/객실 타입 단위 분리 확인 필요. / 직접 리뷰 카운트와 플랫폼상 리뷰풀은 분리 유지.
