sample_id,platform,provider,review_date,rating,source_url,language,author_hash,lodging_context,onsen_related,bath_area_tags,signal_tags,caution_tags,original_keywords,paraphrase_ko,source_access,included_in_lodging_direct_count,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
enokiya-rakuten_travel-33123477111439,Rakuten Travel,Rakuten Travel,2026-03-14,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,780b1f94fc,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,予約,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476826456,Rakuten Travel,Rakuten Travel,2026-02-07,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,b4b8be231b,lodging_direct,True,private_bath,private_bath_experience;crowding;booking_confusion,pet_friendly_context,貸切温泉;貸切;露天風呂;露天;温泉;湯;待ち,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476667199,Rakuten Travel,Rakuten Travel,2026-01-16,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,e0a7e60706,lodging_direct,True,private_bath,private_bath_experience,pet_friendly_context,温泉;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477125954,Rakuten Travel,Rakuten Travel,2026-03-15,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,en,8165820dfb,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476841646,Rakuten Travel,Rakuten Travel,2026-02-09,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,68f1ed480f,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477280988,Rakuten Travel,Rakuten Travel,2026-04-01,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,251e9376c4,lodging_direct,True,private_bath,private_bath_experience,,貸切風呂;貸切,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477104138,Rakuten Travel,Rakuten Travel,2026-03-13,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,e5982d8f50,lodging_direct,False,,,pet_friendly_context,,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477058395,Rakuten Travel,Rakuten Travel,2026-03-07,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,19d109d202,lodging_direct,True,private_bath,private_bath_experience;crowding;booking_confusion,,貸切;湯;予約;空き,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476896402,Rakuten Travel,Rakuten Travel,2026-02-16,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,65465bb6e7,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476608062,Rakuten Travel,Rakuten Travel,2026-01-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,aa997d8e49,lodging_direct,True,facility_wide,crowding,pet_friendly_context,予約;待ち,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123477083612,Rakuten Travel,Rakuten Travel,2026-03-10,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,df857c8477,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476825187,Rakuten Travel,Rakuten Travel,2026-02-07,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,80754810fd,lodging_direct,True,private_bath,private_bath_experience,,貸切風呂;貸切;温泉;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476617302,Rakuten Travel,Rakuten Travel,2026-01-09,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,8a33b19045,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476373520,Rakuten Travel,Rakuten Travel,2025-12-13,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,4a6cff346c,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,温泉;予約,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476540323,Rakuten Travel,Rakuten Travel,2025-12-31,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,20afa6e179,lodging_direct,True,private_bath,private_bath_experience,,貸切;温泉,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476204342,Rakuten Travel,Rakuten Travel,2025-11-27,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,0118f71c54,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476374872,Rakuten Travel,Rakuten Travel,2025-12-14,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,7d3cda49cf,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476292851,Rakuten Travel,Rakuten Travel,2025-12-04,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,ae865c7e7b,lodging_direct,False,,,stairs_or_access,,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476146887,Rakuten Travel,Rakuten Travel,2025-11-11,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience,,貸切;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472824152,Rakuten Travel,Rakuten Travel,2025-09-12,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience,,貸切風呂;貸切;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472590709,Rakuten Travel,Rakuten Travel,2025-08-15,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience;temperature,pet_friendly_context,貸切温泉;貸切;温泉;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 탕 온도나 계절 체감이 언급된다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472537439,Rakuten Travel,Rakuten Travel,2025-08-05,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,3ecbd6cea4,lodging_direct,True,private_bath,private_bath_experience;temperature,,貸切;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 탕 온도나 계절 체감이 언급된다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476365684,Rakuten Travel,Rakuten Travel,2025-12-12,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,f1b410b952,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123476172107,Rakuten Travel,Rakuten Travel,2025-11-18,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,d6bd6b13a1,lodging_direct,False,,,pet_friendly_context,,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123473027141,Rakuten Travel,Rakuten Travel,2025-05-25,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,ff45b07c4f,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,温泉,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472396943,Rakuten Travel,Rakuten Travel,2024-10-12,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472050728,Rakuten Travel,Rakuten Travel,2024-07-23,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,bc5a4ba921,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123471880886,Rakuten Travel,Rakuten Travel,2024-06-17,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,building_age,予約,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123471668385,Rakuten Travel,Rakuten Travel,2024-06-05,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,164de73a44,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123471184269,Rakuten Travel,Rakuten Travel,2024-02-26,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,bb94ea3a84,lodging_direct,True,facility_wide,water_texture,,温泉;湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 원천·수질 체감 표현이 포함된다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123470773031,Rakuten Travel,Rakuten Travel,2024-01-09,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience;crowding;booking_confusion,,空き,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123470766572,Rakuten Travel,Rakuten Travel,2024-01-06,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience,,露天;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123469995061,Rakuten Travel,Rakuten Travel,2023-08-28,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,b907a219ae,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,温泉,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123469745737,Rakuten Travel,Rakuten Travel,2023-07-18,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,42612a0120,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123472339030,Rakuten Travel,Rakuten Travel,2024-10-09,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123470743648,Rakuten Travel,Rakuten Travel,2024-01-04,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123470643564,Rakuten Travel,Rakuten Travel,2023-12-12,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,a2486b1ba3,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123469590210,Rakuten Travel,Rakuten Travel,2023-06-24,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience;crowding;booking_confusion,,貸切風呂;貸切,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123461326017,Rakuten Travel,Rakuten Travel,2022-08-23,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,pet_friendly_context,,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123461313535,Rakuten Travel,Rakuten Travel,2022-08-19,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,55348dc1f8,lodging_direct,True,family_bath,private_bath_experience,pet_friendly_context,家族風呂;露天風呂;露天;湯,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123461288530,Rakuten Travel,Rakuten Travel,2022-08-14,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,c0de5034fd,lodging_direct,True,private_bath,private_bath_experience;crowding,,空き;待ち,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 공실 타이밍이나 대기 가능성을 함께 남겼다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123461151070,Rakuten Travel,Rakuten Travel,2022-06-13,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,72e0c80204,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,予約,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123461027253,Rakuten Travel,Rakuten Travel,2022-05-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,b433689214,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460898378,Rakuten Travel,Rakuten Travel,2022-03-26,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,7f85bc992b,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460911761,Rakuten Travel,Rakuten Travel,2022-03-20,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,3adfb852d3,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,pet_friendly_context,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460907895,Rakuten Travel,Rakuten Travel,2022-03-18,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,c693a1b9a2,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460892894,Rakuten Travel,Rakuten Travel,2022-03-15,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460575523,Rakuten Travel,Rakuten Travel,2021-09-23,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460479240,Rakuten Travel,Rakuten Travel,2021-07-31,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,f7d048fad5,lodging_direct,True,private_bath,private_bath_experience,pet_friendly_context,露天風呂;露天,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460403213,Rakuten Travel,Rakuten Travel,2021-05-05,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,private_bath,private_bath_experience;temperature,,露天風呂;露天;湯;大浴場,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다; 탕 온도나 계절 체감이 언급된다.,direct_readable,True,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460397555,Rakuten Travel,Rakuten Travel,2021-05-05,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,57d69655ae,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,stairs_or_access,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460199855,Rakuten Travel,Rakuten Travel,2020-12-21,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123460176997,Rakuten Travel,Rakuten Travel,2020-12-13,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,6490d9263f,lodging_direct,True,family_bath,private_bath_experience,,家族風呂;温泉,공용 대절탕을 프라이빗하게 이용하는 경험을 언급한 후기다.,direct_readable,True,positive,body_positive,high,issue_caution_calibration_needed
enokiya-rakuten_travel-33123466195345,Rakuten Travel,Rakuten Travel,2020-12-08,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,623093debb,lodging_direct,False,,,pet_friendly_context,,숙박 경험 중심 후기다; 객실 샤워/동선 등 운영 주의 신호가 붙는다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123466025121,Rakuten Travel,Rakuten Travel,2020-11-23,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,43929db2e0,lodging_direct,False,,,,予約,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123465542289,Rakuten Travel,Rakuten Travel,2020-09-22,4,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,43929db2e0,lodging_direct,True,facility_wide,facility_wide_hot_spring_mention,,湯;予約,숙소 온천 또는 욕장 이용을 넓게 언급한 후기다.,direct_readable,True,positive,rating_positive_signal,medium,issue_caution_calibration_needed
enokiya-rakuten_travel-33123465349640,Rakuten Travel,Rakuten Travel,2020-09-04,5,https://travel.rakuten.co.jp/HOTEL/28502/review.html,ja,212746dea5,lodging_direct,False,,,,,숙박 경험 중심 후기다.,direct_readable,True,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
