direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
11,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_11,ja,2026/5/18,2026年5月宿泊,5,5,5,夕食と中庭がよかった,【じゃらんのお得な10日間】20％OFF◆庭園側,103,yes,facility_wide,water_texture,,お風呂;泉質;温泉;湯;風呂,우레시노 물성/피부감 언급,positive,body_positive,high,issue_caution_calibration_needed
12,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_12,ja,2026/5/17,2026年4月宿泊,5,4,5,またすぐにでも再訪したい！！,【じゃらんスペシャルウィーク】庭園側,291,yes,facility_wide,water_texture,temperature,温泉,우레시노 물성/피부감 언급; 주의 신호: temperature,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
13,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_13,ja,2026/5/16,2026年4月宿泊,4,4,4,和室に宿泊,【じゃらんスペシャルウィーク】庭園側,168,yes,facility_wide,water_texture,,お風呂;湯;風呂,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
14,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_14,ja,2026/5/10,2026年5月宿泊,4,4,4,接客最高！間違いない。,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,216,yes,public_bath,booking_confusion;public_bath_hot_spring;water_texture,aging_or_access,大浴場;温泉;湯;美肌;風呂,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
15,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_15,ja,2026/5/8,2026年5月宿泊,5,5,4,義母と母を新幹線で嬉野旅行,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,98,yes,facility_wide,water_texture,aging_or_access,お風呂;温泉;湯;美肌;風呂,우레시노 물성/피부감 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
16,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_16,ja,2026/5/6,2026年5月宿泊,5,5,4,さすがです,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,450,yes,open_air_public_bath;public_bath,public_bath_hot_spring;water_texture,cleanliness;temperature,お風呂;大浴場;椎葉山荘;湯;露天;露天風呂;風呂,"대욕장/공용탕 이용 경험 언급; 공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: cleanliness,temperature",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
17,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_17,ja,2026/5/6,2026年5月宿泊,4,4,4,子連れにもオススメ、細かなサービスと感じのよいおもてなし,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,399,yes,facility_wide,water_texture,,温泉;湯;美肌,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
18,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_18,ja,2026/5/5,2026年5月宿泊,5,4,4,お風呂が気持ち良かった,【直前割タイムセール◆お部屋お任せ】一泊,52,yes,facility_wide,water_texture,,お風呂;湯;風呂,우레시노 물성/피부감 언급,positive,body_positive,high,issue_caution_calibration_needed
19,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_19,ja,2026/5/5,2026年5月宿泊,5,5,5,最高の宿でした,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,109,yes,facility_wide,water_texture,,お風呂;風呂,우레시노 물성/피부감 언급,positive,body_positive,high,issue_caution_calibration_needed
20,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_20,ja,2026/4/27,2026年4月宿泊,4,4,4,オーソドックスにいいです。,【じゃらんのお得な10日間】30％OFF◆東館客室◆匠の技が紡ぐ料理長特選会席《松会席◆食事処》,110,yes,room_bath,room_bath_hot_spring;water_texture,aging_or_access,温泉;部屋風呂;風呂,객실탕/객실 노천탕 맥락 언급; 우레시노 물성/피부감 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
21,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_21,ja,2026/4/14,2026年3月宿泊,5,5,4,温泉最高,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,255,yes,facility_wide,water_texture,aging_or_access;sister_property_movement,お風呂;椎葉山荘;温泉;風呂,"우레시노 물성/피부감 언급; 주의 신호: aging_or_access,sister_property_movement",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
22,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_22,ja,2026/4/5,2026年3月宿泊,4,5,4,卒業旅行,【早割60】佐賀の厳選食材を満喫◆佐賀牛会席が早期予約で2000円引《佐賀牛会席◆食事処》,387,yes,open_air_public_bath;public_bath;room_bath,booking_confusion;public_bath_hot_spring;room_bath_hot_spring;water_texture,cleanliness;sister_property_movement,お風呂;大浴場;椎葉山荘;泉質;温泉;湯;露天;露天風呂,"대욕장/공용탕 이용 경험 언급; 공용 노천탕 경험 언급; 객실탕/객실 노천탕 맥락 언급; 우레시노 물성/피부감 언급; 주의 신호: cleanliness,sister_property_movement",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
23,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_23,ja,2026/4/4,2026年3月宿泊,5,5,4,居心地の良い老舗旅館,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,282,yes,facility_wide,water_texture,,温泉;湯;美肌,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
24,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_24,ja,2026/4/4,2026年2月宿泊,3,4,4,全体的に良かったのですが・・・,【記念日プラン】大切な時間を大切な仲間や家族とともアニバーサリープラン《藤会席◆食事処》,161,yes,facility_wide,water_texture,cleanliness,お風呂;とろとろ;風呂,우레시노 물성/피부감 언급; 주의 신호: cleanliness,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
25,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_25,ja,2026/4/3,2026年4月宿泊,5,4,5,安心のお宿,【じゃらんのお得な10日間】30％OFF◆東館客室◆匠の技が紡ぐ料理長特選会席《松会席◆食事処》,329,yes,facility_wide,water_texture,sister_property_movement,温泉;湯,우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
26,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_26,ja,2026/4/1,2026年3月宿泊,5,5,5,落ち着いた雰囲気と、温かいおもてなしがうれしい宿,【じゃらんアワード受賞プラン】10％OFF◆当館人気No1◆佐賀牛陶板焼＆旬菜＆鮮魚等《佐賀牛会席◆食事処》,218,yes,open_air_public_bath;public_bath,public_bath_hot_spring;water_texture,sister_property_movement,しいばの湯;泉質;温泉;湯;露天,대욕장/공용탕 이용 경험 언급; 공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
27,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_27,ja,2026/3/31,2026年3月宿泊,5,5,5,食事よし、風呂もよし、接客も素晴らしい,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,449,yes,public_bath,public_bath_hot_spring;water_texture,sister_property_movement,しいばの湯;四季の湯;温泉;湯;滝の湯;風呂,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
28,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_28,ja,2026/3/31,2026年3月宿泊,5,4,5,老舗に,【早割60】佐賀の厳選食材を満喫◆佐賀牛会席が早期予約で2000円引《佐賀牛会席◆食事処》,92,yes,facility_wide,booking_confusion;water_texture,,温泉,우레시노 물성/피부감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
29,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_29,ja,2026/3/30,2026年3月宿泊,3,5,5,お風呂が最高,【早割90】匠の技が織りなす料理長特選会席が早期予約で3000円引《松会席◆食事処》,165,yes,facility_wide,booking_confusion;water_texture,,お風呂;サウナ;泉質;温泉;風呂,우레시노 물성/피부감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
30,Jalan,https://www.jalan.net/yad321819/kuchikomi/,latest_1,Jalan_latest_1_30,ja,2026/3/27,2026年2月宿泊,1,5,5,残念,【記念日プラン】大切な時間を大切な仲間や家族とともアニバーサリープラン《藤会席◆食事処》,99,yes,facility_wide,booking_confusion;water_texture,,温泉,우레시노 물성/피부감 언급,mixed,body_negative_with_context,high,issue_caution_calibration_needed
31,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_1,ja,2026/3/24,2026年1月宿泊,1,1,1,今までの宿泊の中でも,【早割60】佐賀の厳選食材を満喫◆佐賀牛会席が早期予約で2000円引《佐賀牛会席◆食事処》,416,yes,room_bath,booking_confusion;room_bath_hot_spring;water_texture,aging_or_access,湯;部屋風呂;風呂,객실탕/객실 노천탕 맥락 언급; 우레시노 물성/피부감 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
32,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_2,ja,2026/3/17,2026年3月宿泊,4,4,3,フロント対応,【早割90】匠の技が織りなす料理長特選会席が早期予約で3000円引《松会席◆食事処》,75,yes,facility_wide,booking_confusion,,風呂,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
33,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_3,ja,2026/3/16,2026年3月宿泊,4,4,3,ご飯がとっても美味しかった。,【特室◆水昌・菊】眼前に臨む日本庭園と檜内風呂付客室、当館最高級会席を味わう《食事処◆松会席》,292,yes,facility_wide,booking_confusion;water_texture,aging_or_access,温泉;風呂,우레시노 물성/피부감 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
34,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_4,ja,2026/3/13,2026年3月宿泊,5,5,5,おもてなし最高,【じゃらんアワード受賞プラン】10％OFF◆当館人気No1◆佐賀牛陶板焼＆旬菜＆鮮魚等《佐賀牛会席◆食事処》,251,yes,open_air_public_bath,public_bath_hot_spring;water_texture,sister_property_movement,お風呂;湯;露天;露天風呂;風呂,공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
35,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_5,ja,2026/3/8,2026年3月宿泊,5,4,5,食事が豪華,【じゃらんアワード受賞プラン】10％OFF◆当館人気No1◆佐賀牛陶板焼＆旬菜＆鮮魚等《佐賀牛会席◆食事処》,179,yes,private_bath,private_bath_experience;water_texture,cleanliness,お風呂;湯;貸切;風呂,대절/프라이빗탕 맥락 언급; 우레시노 물성/피부감 언급; 주의 신호: cleanliness,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
36,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_6,ja,2026/3/1,2026年2月宿泊,4,3,3,お料理が美味しい,【早割90】匠の技が織りなす料理長特選会席が早期予約で3000円引《松会席◆食事処》,376,yes,public_bath,booking_confusion;public_bath_hot_spring;water_texture,aging_or_access;cleanliness,四季の湯;大浴場;湯,"대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: aging_or_access,cleanliness",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
37,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_7,ja,2026/2/22,2026年2月宿泊,5,5,4,初本館泊,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,241,yes,facility_wide,booking_confusion,,お風呂;風呂,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
38,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_8,ja,2026/2/19,2026年1月宿泊,2,3,1,期待はしていませんでしたが,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,70,yes,facility_wide,booking_confusion,,風呂,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
39,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_9,ja,2026/2/18,2026年2月宿泊,5,5,5,おもてなしがとても素晴らしい,【50歳以上限定のおとな旅★10%OFF】日本庭園と檜内風呂付客室◆大正屋特選牛会席《食事処◆松会席》,215,yes,facility_wide,booking_confusion,,風呂,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
40,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_10,ja,2026/2/17,2026年1月宿泊,5,5,5,ありがとうございました,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,180,yes,facility_wide,booking_confusion;water_texture,sister_property_movement,湯;湯めぐり,우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
41,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_11,ja,2026/2/14,2026年2月宿泊,5,5,4,お風呂も！最高なお宿,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,57,yes,public_bath,booking_confusion;public_bath_hot_spring;water_texture,,お風呂;しいばの湯;温泉;湯;風呂,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
42,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_12,ja,2026/2/12,2026年1月宿泊,5,5,5,嬉野温泉最高,【じゃらんアワード受賞プラン】10％OFF◆当館人気No1◆佐賀牛陶板焼＆旬菜＆鮮魚等《佐賀牛会席◆食事処》,651,yes,open_air_public_bath,booking_confusion;public_bath_hot_spring;water_texture,aging_or_access;sister_property_movement,温泉;湯;露天;露天風呂;風呂,"공용 노천탕 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: aging_or_access,sister_property_movement",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
43,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_13,ja,2026/2/3,2026年1月宿泊,5,5,5,友達との嬉野温泉旅行,【じゃらんアワード受賞プラン】10％OFF◆当館人気No1◆佐賀牛陶板焼＆旬菜＆鮮魚等《佐賀牛会席◆食事処》,330,yes,facility_wide,water_texture,,泉質;温泉;湯,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
44,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_14,ja,2026/2/2,2026年1月宿泊,4,5,4,まさに美肌の湯,【じゃらんのお得な10日間】30％OFF◆東館客室◆匠の技が紡ぐ料理長特選会席《松会席◆食事処》,390,yes,open_air_public_bath,public_bath_hot_spring;water_texture,,お風呂;椎葉山荘;温泉;湯;美肌;露天;露天風呂;風呂,공용 노천탕 경험 언급; 우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
45,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_15,ja,2026/2/2,2026年1月宿泊,4,2,5,いい湯だな,【露天風呂付客室◆東館松琴亭】品格、居心地、余韻を感じる特別空間、嬉野の名湯を満喫《食事処◆松会席》,333,yes,open_air_public_bath;public_bath,public_bath_hot_spring;water_texture,,大浴場;泉質;温泉;湯;露天;露天風呂;風呂,대욕장/공용탕 이용 경험 언급; 공용 노천탕 경험 언급; 우레시노 물성/피부감 언급,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
46,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_16,ja,2026/1/23,2026年1月宿泊,4,4,4,老舗の風格,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,229,yes,facility_wide,booking_confusion,,お風呂;風呂,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
47,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_17,ja,2026/1/20,2026年1月宿泊,2,1,2,風呂つき部屋を選びましたが、使えませんでした,【じゃらんスペシャルウィーク】東館客室◆匠の技が紡ぐ珠玉の逸品◆料理長特選会席《松会席◆食事処》,136,yes,open_air_public_bath,booking_confusion;public_bath_hot_spring,temperature,露天;露天風呂;風呂,공용 노천탕 경험 언급; 주의 신호: temperature,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
48,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_18,ja,2026/1/19,2025年12月宿泊,5,5,5,おもてなしが最高,【50歳以上限定のおとな旅★10%OFF】日本庭園と檜内風呂付客室◆大正屋特選牛会席《食事処◆松会席》,90,yes,facility_wide,water_texture,,風呂,우레시노 물성/피부감 언급,positive,body_positive,high,issue_caution_calibration_needed
49,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_19,ja,2026/1/19,2025年12月宿泊,5,5,5,おもてなしが最高,【早割60】佐賀の厳選食材を満喫◆佐賀牛会席が早期予約で2000円引《佐賀牛会席◆食事処》,50,yes,unclear,booking_confusion,,,온천 언급 없는 숙박 경험 리뷰.,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
50,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_20,ja,2026/1/7,2026年1月宿泊,5,4,5,おすすめの宿です,【最高峰客室◆衆芳亭】優雅と静寂が織りなす日本庭園と和空間、匠の技冴える珠玉の会席《食事処◆松会席》,279,yes,facility_wide,water_texture,,温泉,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
51,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_21,ja,2026/1/2,2025年12月宿泊,4,4,4,ゆっくりとした時間を過ごすことができました,【当館人気No1プラン】佐賀の厳選食材を満喫◆佐賀牛陶板焼＆旬菜＆鮮魚など《佐賀牛会席◆食事処》,111,yes,facility_wide,water_texture,cleanliness,お風呂;湯;風呂,우레시노 물성/피부감 언급; 주의 신호: cleanliness,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
52,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_22,ja,2025/12/31,2025年12月宿泊,2,4,5,部分的には素晴らしいが、再訪は考えづらい,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,816,yes,facility_wide,booking_confusion;water_texture,,温泉;湯;美肌,우레시노 물성/피부감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
53,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_23,ja,2025/12/29,2025年12月宿泊,4,4,4,スタッフの接遇がとても良かった,【早割90】匠の技が織りなす料理長特選会席が早期予約で3000円引《松会席◆食事処》,310,yes,facility_wide,booking_confusion;water_texture,sister_property_movement,湯,우레시노 물성/피부감 언급; 주의 신호: sister_property_movement,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
54,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_24,ja,2025/12/26,2025年12月宿泊,5,5,5,クリスマスイブのサプライズ、最高,【早割30】旬菜彩る大正屋特選牛付会席が早期予約で1000円引《藤会席◆食事処》,112,yes,facility_wide,booking_confusion;water_texture,,とろとろ;温泉,우레시노 물성/피부감 언급,mixed,conditional_signal_tag,medium,issue_caution_calibration_needed
55,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_25,ja,2025/12/25,2025年12月宿泊,5,5,4,大浴場の空間と湯質、料理と器のハーモニーが最高,【スタンダードプラン】美肌温泉に癒される湯治旅◆郷土の旬菜彩る大正屋特選牛付会席《藤会席◆食事処》,304,yes,public_bath,public_bath_hot_spring;water_texture;weak_onsen_feeling,weak_onsen_feeling,四季の湯;大浴場;温泉;湯;滝の湯;美肌,대욕장/공용탕 이용 경험 언급; 우레시노 물성/피부감 언급; 주의 신호: weak_onsen_feeling,negative,negative_signal_tag,high,issue_caution_calibration_needed
56,Jalan,https://www.jalan.net/yad321819/kuchikomi/2.HTML,latest_2,Jalan_latest_2_26,ja,2025/12/22,2025年12月宿泊,5,5,5,大人におすすめ,【源泉100％かけ流し檜温泉内風呂付◆東館客室】夕食時ワンドリンクサービス《松会席◆食事処》,89,yes,facility_wide,water_texture,,温泉;風呂,우레시노 물성/피부감 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
