direct_read_sequence,platform,source_url,page_label,review_id,language,review_date,stay_date,rating,bath_rating,room_rating,title,room_or_plan,body_char_count,onsen_related,bath_area_tags,signal_tags,issue_tags,original_keywords_short,short_paraphrase,signal_direction,direction_backfill_rule,direction_backfill_confidence,direction_backfill_candidate_type
12,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15376918,ja,2026/6/20,2026年5月宿泊,3,3,3,夕食時の仲居さんが残念でした,和室 【じゃらんのお得な10日間】夕食17：30限定ワンランク上の贅沢/北野茶園×瀬頭酒造×利休コラボ懐石個室食,228,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,mixed,body_negative_with_context,high,issue_caution_calibration_needed
13,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15374172,ja,2026/6/18,2026年6月宿泊,5,4,5,温泉、料理、サービス,和室 【じゃらんスペシャルウィーク】夕食17：30限定/ワンランク上の贅沢きたの茶園×瀬頭酒造×利休コラボ懐石,328,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;crowding;booking_confusion,aging_or_access;cleanliness;crowding,温泉;露天;露天風呂;美肌;トロトロ;清掃,"공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,cleanliness,crowding",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
14,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15372774,ja,2026/6/18,2026年6月宿泊,5,5,5,部屋の檜風呂がよか,ツイン 【1泊朝食付】和洋ビュッフェでモーニング！グループやお子様連れのファミリーにおすすめ！,78,yes,room_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring,,檜風呂,객실 내탕/내풍呂 맥락 언급; 대욕장/공용탕/사우나 맥락 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
15,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15372597,ja,2026/6/18,2026年6月宿泊,4,5,5,今回は,ツイン 【夕食19：30お約束】はじめての方におすすめ！温泉湯豆腐＆佐賀牛/若楠豚で佐賀満喫しゃぶしゃぶプラン,295,yes,facility_wide,water_texture,,温泉,우레시노 물성/미인탕/원천 신호 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
16,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15370180,ja,2026/6/16,2026年6月宿泊,4,5,3,従業員さんの対応とお風呂が良かった,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,79,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
17,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15367247,ja,2026/6/15,2026年5月宿泊,3,2,3,時期が悪かった,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,106,yes,public_bath,public_bath_hot_spring;booking_confusion,operation_recheck,大浴場,대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,negative,low_rating_negative_body,high,issue_caution_calibration_needed
18,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15358127,ja,2026/6/9,2026年5月宿泊,3,2,2,いつも本屋さんだけ利用してて今回初めて宿泊した,和室 【5月厳選】和洋ビュッフェでモーニング！グループやファミリーにおすすめ！1泊朝食付プラン,230,yes,room_open_air_bath;room_bath;open_air_public_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring;water_texture;booking_confusion,operation_recheck,露天;露天風呂;大浴場,객실 노천탕 맥락 언급; 객실 내탕/내풍呂 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
19,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15354291,ja,2026/6/8,2026年5月宿泊,5,5,5,とても素敵なところでした,和室 【じゃらんのお得な10日間】1泊朝食付和洋ビュッフェでモーニング！お子様連れのファミリーにおすすめ！,138,yes,open_air_public_bath;public_bath,public_bath_hot_spring,,露天;露天風呂;広い,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
20,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15352366,ja,2026/6/8,2026年6月宿泊,4,5,3,温泉がよかった,和室 【夕食17：30お約束】迷ったらこちら！旬の嬉野・佐賀を味わうこだわり懐石/レストラン個室食,56,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,aging_or_access,温泉;トロトロ,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
21,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15351582,ja,2026/6/7,2026年6月宿泊,4,3,5,展望風呂付き客室最高！,ツイン 【じゃらんのお得な10日間】夕食17：30お約束/ワンランク上の贅沢～温泉湯豆腐と佐賀牛若楠豚しゃぶしゃぶ,217,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,aging_or_access,温泉;大浴場;とろとろ,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
22,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15350736,ja,2026/6/7,2026年6月宿泊,4,3,3,新車記念旅行,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,217,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,aging_or_access,温泉,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
23,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15349575,ja,2026/6/7,2026年5月宿泊,3,3,3,誕生日に利休コラボ懐石,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,206,yes,public_bath,public_bath_hot_spring;booking_confusion,operation_recheck;aging_or_access,大浴場,"대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,aging_or_access",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
24,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15348390,ja,2026/6/6,2026年6月宿泊,4,3,3,なんと無く,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,61,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
25,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15347170,ja,2026/6/6,2026年6月宿泊,5,3,5,やっと泊まれました,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,442,yes,unclear,booking_confusion,cleanliness,古い;匂い,주의 신호: cleanliness,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
26,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15347104,ja,2026/6/6,2026年6月宿泊,5,4,4,夫婦で嬉野温泉 楽しめました！,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,175,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture,,温泉,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급,positive,body_positive,high,issue_caution_calibration_needed
27,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15344174,ja,2026/6/4,2026年6月宿泊,4,4,4,部屋と、食事,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,64,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
28,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15340933,ja,2026/6/2,2026年6月宿泊,3,3,3,癒しの温泉,和室 【朝夕お部屋食】水明荘/当館最高級のおもてなし数奇屋造りの別邸で過ごす至福のひととき特別懐石プラン,134,yes,facility_wide,water_texture,,温泉,우레시노 물성/미인탕/원천 신호 언급,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
29,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15340753,ja,2026/6/2,2026年6月宿泊,5,5,5,全てが最高！,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,100,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
30,Jalan,https://www.jalan.net/yad322946/kuchikomi/,latest_1,Jalan_15340434,ja,2026/6/2,2026年6月宿泊,2,1,2,久しぶりの娘と旅行,ツイン 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,138,yes,public_bath,public_bath_hot_spring,aging_or_access;cleanliness,匂い,"대욕장/공용탕/사우나 맥락 언급; 주의 신호: aging_or_access,cleanliness",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
31,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15340368,ja,2026/6/2,2026年6月宿泊,4,5,5,部屋にある露天風呂最高,和室 【1泊朝食付】和洋ビュッフェでモーニング！グループやお子様連れのファミリーにおすすめ！,412,yes,room_open_air_bath;open_air_public_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring,aging_or_access,露天;露天風呂,객실 노천탕 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
32,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15339773,ja,2026/6/2,2026年5月宿泊,5,5,4,館内施設が楽しい,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,90,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,positive,body_positive,high,issue_caution_calibration_needed
33,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15336046,ja,2026/5/31,2026年5月宿泊,4,5,5,子供も喜ぶ宿,和室 【1泊朝食付】和洋ビュッフェでモーニング！グループやお子様連れのファミリーにおすすめ！,177,no,unclear,,,,온천 언급 없는 숙박 경험 리뷰.,neutral,neutral_or_lodging_context,medium,issue_caution_calibration_needed
34,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15331577,ja,2026/5/30,2026年5月宿泊,1,1,1,全てが台無しに…,和室 【夕食19：30お約束】はじめての方におすすめ！温泉湯豆腐＆佐賀牛/若楠豚で佐賀満喫しゃぶしゃぶプラン,186,yes,private_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;private_bath_experience;booking_confusion,operation_recheck,温泉,대욕장/공용탕/사우나 맥락 언급; 대절탕/貸切風呂 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
35,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15330449,ja,2026/5/29,2026年5月宿泊,3,2,2,大浴場,ツイン 【夕食17：30お約束】ワンランク上の贅沢/人気No.1！温泉湯豆腐と特選佐賀牛・若楠豚しゃぶしゃぶプラン,124,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,operation_recheck,温泉;大浴場,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
36,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15330077,ja,2026/5/29,2026年5月宿泊,3,4,3,温泉は良かったです。,ツイン 【夕食19：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,110,yes,facility_wide,water_texture,,温泉,우레시노 물성/미인탕/원천 신호 언급,positive,body_positive,high,issue_caution_calibration_needed
37,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15326767,ja,2026/5/27,2026年5月宿泊,5,5,4,楽しかった,ツイン 【夕食17：30お約束】ワンランク上の贅沢/人気No.1！温泉湯豆腐と特選佐賀牛・若楠豚しゃぶしゃぶプラン,229,yes,facility_wide,water_texture;booking_confusion,operation_recheck,温泉,우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
38,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15326696,ja,2026/5/27,2026年5月宿泊,4,4,3,御飯とお湯,和室 【じゃらんスペシャルウィーク】夕食17：30限定ワンランク上の贅沢/温泉湯豆腐と佐賀牛若楠豚しゃぶしゃぶ,60,yes,public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,operation_recheck,温泉;とろとろ,대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
39,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15325816,ja,2026/5/26,2026年5月宿泊,5,4,5,結婚記念日に嬉野へ,ツイン 【夕食19：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,358,yes,facility_wide,water_texture,,温泉;古い,우레시노 물성/미인탕/원천 신호 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
40,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15325693,ja,2026/5/26,2026年5月宿泊,4,5,5,お風呂に満足,和室 【じゃらんスペシャルウィーク】夕食19：30限定ワンランク上の贅沢/温泉湯豆腐＆佐賀牛若楠豚しゃぶしゃぶ,524,yes,room_open_air_bath;room_bath;open_air_public_bath;public_bath;facility_wide,room_bath_hot_spring;public_bath_hot_spring;water_texture;crowding;booking_confusion,operation_recheck,温泉;露天;露天風呂,객실 노천탕 맥락 언급; 객실 내탕/내풍呂 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
41,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15325111,ja,2026/5/26,2026年5月宿泊,4,4,3,夕食の会席料理は美味しかったです。,和室 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,128,yes,facility_wide,water_texture,temperature,温泉,우레시노 물성/미인탕/원천 신호 언급; 주의 신호: temperature,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
42,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15324716,ja,2026/5/26,2026年5月宿泊,4,2,4,お料理、グッド,和室 【じゃらんスペシャルウィーク】夕食19：30限定ワンランク上の贅沢/北野茶園×瀬頭酒造×利休コラボ懐石,170,yes,open_air_public_bath;public_bath,public_bath_hot_spring;booking_confusion,operation_recheck,露天;露天風呂,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
43,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15322287,ja,2026/5/25,2026年5月宿泊,3,2,1,お茶が美味しい,和室 【5月厳選】夕食17：30お約束/ワンランク上の贅沢/和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,151,yes,public_bath,public_bath_hot_spring;booking_confusion,operation_recheck,大浴場;古い,대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
44,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15319482,ja,2026/5/24,2026年5月宿泊,5,5,5,良いお湯・料理でした。,和室 【選べるペアリング付】レストラン個室食/うれしの茶or日本酒をチョイス～ワンランク上の贅沢懐石プラン,281,yes,room_bath;open_air_public_bath;public_bath,room_bath_hot_spring;public_bath_hot_spring;water_texture,,露天;露天風呂;大浴場,객실 내탕/내풍呂 맥락 언급; 공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
45,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15319125,ja,2026/5/24,2026年5月宿泊,3,2,3,期待外れ,和室 【贅を極める】貴方はどっち？しゃぶしゃぶor焼肉から選べる極上佐賀牛＆若楠豚堪能プラン,304,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture,temperature,露天;露天風呂,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: temperature,negative,low_rating_negative_body,high,issue_caution_calibration_needed
46,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15319027,ja,2026/5/24,2026年5月宿泊,3,3,4,毎回温泉ドライブル,ツイン 【アロマの香りに包まれて】魅惑のオリエンタルスパで珠玉の癒し体験プラン,240,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture,,温泉;露天;露天風呂;大浴場,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급,positive,positive_signal_no_caution,medium,issue_caution_calibration_needed
47,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15315313,ja,2026/5/22,2026年5月宿泊,4,4,4,老舗旅館,ツイン 【1泊朝食付】和洋ビュッフェでモーニング！グループやお子様連れのファミリーにおすすめ！,301,yes,open_air_public_bath;public_bath;facility_wide,public_bath_hot_spring;water_texture;booking_confusion,operation_recheck,温泉;露天;露天風呂;大浴場;すべすべ,공용 노천탕/浮世風呂 경험 언급; 대욕장/공용탕/사우나 맥락 언급; 우레시노 물성/미인탕/원천 신호 언급; 주의 신호: operation_recheck,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
48,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15313497,ja,2026/5/21,2026年5月宿泊,5,5,4,非日常を味わえるホテル,和室 【夕食19：30お約束】迷ったらこちら！旬の嬉野・佐賀を味わうこだわり懐石/レストラン個室食,419,yes,facility_wide,water_texture;booking_confusion,aging_or_access,温泉,우레시노 물성/미인탕/원천 신호 언급; 주의 신호: aging_or_access,mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
49,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15311641,ja,2026/5/20,2026年5月宿泊,5,5,5,良い思い出,ツイン 【夕食17：30お約束】ワンランク上の贅沢/想～和敬静寂～きたの茶園×瀬頭酒造×利休コラボ懐石個室食,89,yes,public_bath,public_bath_hot_spring,,,대욕장/공용탕/사우나 맥락 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
50,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15307513,ja,2026/5/18,2026年5月宿泊,4,4,3,珍道中,和室 【じゃらんスペシャルウィーク】夕食17：30限定ワンランク上の贅沢/北野茶園×瀬頭酒造×利休コラボ懐石,60,yes,facility_wide,water_texture,,温泉,우레시노 물성/미인탕/원천 신호 언급,positive,rating_positive_signal,medium,issue_caution_calibration_needed
51,Jalan,https://www.jalan.net/yad322946/kuchikomi/2.HTML,latest_2,Jalan_15304964,ja,2026/5/17,2026年5月宿泊,4,3,3,若い観光客向きかな,和室 【夕食17：30お約束】迷ったらこちら！旬の嬉野・佐賀を味わうこだわり懐石/レストラン個室食,463,yes,public_bath,public_bath_hot_spring;crowding;booking_confusion,operation_recheck;aging_or_access;temperature;cleanliness;crowding,大浴場;混雑,"대욕장/공용탕/사우나 맥락 언급; 주의 신호: operation_recheck,aging_or_access,temperature",mixed,caution_or_issue_tag,high,issue_caution_calibration_needed
