canonical_name_ja,aliases,research_priority_seed,research_priority_score,priority_reasons,preliminary_status,lodging_type_guess,max_visible_ota_reviews,rakuten_review_count,jalan_review_count,bath_signal_keywords,discovered_sources,official_url,rakuten_url,jalan_url,official_room_text,official_bath_text,jalan_desc,source_checked_at
旅館 冨季の舎,旅館 冨季の舎 | 由布院温泉 旅館 冨季の舎,Tier 1 seed / 정밀조사 우선,99,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | source_flow_keyword | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword | has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.fukinoya.com/,,https://www.jalan.net/yad324644/,和7・和洋3（離あり・全室内湯付）,内2・家3（露）,地元の旬を味わうお食事に、上質な由布院温泉を源泉掛け流しで堪能できるお風呂。 広さの異なる2タイプの本館客室とグループでのご利用に最適な広さの露天風呂付きの離れ客室。由布岳を望む癒しの時間を。 【アクセス】 由布院駅下車タクシーで5分、湯布院ICやまなみハイウェイ由布院駅方面車で10分 MAP,2026-06-30
湯布院かほりの郷 はな村,湯布院かほりの郷 はな村 | 由布院温泉 かほりの郷 はな村,Tier 1 seed / 정밀조사 우선,99,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,742,742,519,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.yufuin-hanamura.jp/,https://travel.rakuten.co.jp/HOTEL/43826/43826.html,https://www.jalan.net/yad328454/,和11・洋9・和洋9（風呂付あり）,内2・露2・家2（露）,4.8 519件 接客、夕食、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院の中心「湯の坪街道」に建つ、女性に大人気の宿です。 料理長の創作料理や、肌がスベスベになる温泉に浸かって楽しいひと時をお過ごし下さい。 また、館内には、可愛い小物も沢山ありますよ♪ 【アクセス】 JR久大本線由布院駅より徒歩10分、タクシー2分。大分自動車道湯布院ICより車で5分。 MAP,2026-06-30
草屋根の宿 龍のひげ,草屋根の宿 龍のひげ | 草屋根の宿 龍のひげ／別邸 ゆむた,Tier 1 seed / 정밀조사 우선,97,official_ryokan_association | jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,982,,982,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://ryunohige.com/,,https://www.jalan.net/yad315874/,和4・洋3・和洋3,家5（内2・露3）,5.0 982件 風呂、夕食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 【口コミ料理評価★★★★★5.0】静かな森の中に佇む隠れ家的料理宿。宿名の由来でもある『リュウノヒゲ』と呼ばれる植物を屋根に養成し、夏は涼しく、冬は暖かい。由布岳が一望できる半露天付離れも大人気 【アクセス】 湯布院ICより車で約3分、由布院駅より車で約13分 MAP,2026-06-30
すみか,すみか | 由布院温泉 すみか,Tier 1 seed / 정밀조사 우선,93,official_ryokan_association | rakuten_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,unclear,920,920,,has_room_open_air,official_ryokan_association | rakuten_area_list,https://yufuinsumika.jp/,https://travel.rakuten.co.jp/HOTEL/130594/130594.html,,和洋13,全室露天風呂付,,2026-06-30
ゆふいんホテル秀峰館,ゆふいんホテル秀峰館 | 由布院温泉 ゆふいんホテル秀峰館,Tier 1 seed / 정밀조사 우선,93,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,245,245,42,has_room_open_air | has_public_bath,official_ryokan_association | jalan_spot_list | rakuten_area_list,http://www.shuhokan.jp,https://travel.rakuten.co.jp/HOTEL/28141/28141.html,https://www.jalan.net/yad343812/,和28・洋12・和洋6（全室風呂付）,内2・露2・サ2・足湯（無料）,4.3 42件 風呂、接客、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ４階展望大浴場からは、正面に由布岳が見えます。 盆地を吹き抜ける風を感じながら、解放感あふれる展望大浴場、そして併設の露天風呂・サウナを思う存分お楽しみください。 【アクセス】 由布院駅から徒歩１２分 MAP,2026-06-30
ゆふいん旅庵 和山豊,ゆふいん旅庵 和山豊 | 由布院温泉 ゆふいん 旅庵 和山豊,Tier 1 seed / 정밀조사 우선,93,official_ryokan_association | rakuten_presence | review_pool_500_plus | all_or_many_room_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,510,510,,has_room_open_air | has_public_bath,official_ryokan_association | rakuten_area_list,http://wazanho.jp/,https://travel.rakuten.co.jp/HOTEL/69247/69247.html,,離12（和8・和洋4）全室内湯・露天付,露2,,2026-06-30
由布院別邸 樹,由布院別邸 樹,Tier 1 seed / 정밀조사 우선,93,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,335,335,152,,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://bettei-itsuki.jp/,https://travel.rakuten.co.jp/HOTEL/144474/144474.html,https://www.jalan.net/yad334203/,離14（和洋・全室風呂付）,全室風呂付,4.7 152件 夕食、朝食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 雄大な由布岳麓で、日常を離れ、時を忘れ、ゆるりと流れる贅沢な時間を「由布院別邸 樹」でお楽しみください。 【アクセス】 JR由布院駅より徒歩約20分 送迎サービスもございます。 MAP,2026-06-30
御宿 のぎく,御宿 のぎく | 湯布院旅館のぎく,Tier 1 seed / 정밀조사 우선,91,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,,,,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://nogiku.hp.peraichi.com/,,https://www.jalan.net/yad302784/,和4（風呂付・朝食部屋）・ 離3（風呂付・朝食大部屋）,露2・内2・家７,【本格貸切サウナ×全室源泉かけ流し100％】川の風を感じる外気浴と「美人の湯」で極上のととのい体験。1日7組限定の清閑な隠れ家で、湯上りアイスや色浴衣をまとい、大切な人と特別なひとときを。 【アクセス】 【車】 湯布院ICより約10分/ 【徒歩】 JR由布院駅より約7～8分 MAP,2026-06-30
柚富の郷 彩岳館,柚富の郷 彩岳館 | 由布院温泉 柚富の郷 彩岳館 | 由布岳を身近に感じる -柚富の郷 彩岳館-,Tier 1 seed / 정밀조사 우선,91,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,unclear,335,335,,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.saigakukan.co.jp,https://travel.rakuten.co.jp/HOTEL/20453/20453.html,https://www.jalan.net/yad334081/,和16・和洋8,内2・露2・家2（内・露）,今までの彩岳館の良さを残しながら自然、歴史、文化を融合した滞在を目指しより楽しめるように施設をリニューアルいたしました！客室露天風呂や貸切温泉など楽しめる要素を数多く揃えお出迎えします☆ 【アクセス】 JR由布院駅から車で５分。 大分自動車道湯布院I.Cから車で13分。 MAP,2026-06-30
榎屋旅館,榎屋旅館 | 由布院温泉 榎屋旅館,Tier 1 seed / 정밀조사 우선,91,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_200_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,233,233,19,has_onsen_keyword | has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.yufuin-enokiya.jp,https://travel.rakuten.co.jp/HOTEL/28502/28502.html,https://www.jalan.net/yad348760/,和12,内2・露2・家1（内）,4.9 19件 夕食、清潔感、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 大切なワンちゃん・ネコちゃんとのお泊り大歓迎のペット可旅館♪ベッドタイプに生まれ変わった居心地のよい客室と貸切温泉（家族風呂）、コース料理からアラカルトまで楽しめるモダンなダイニングも好評 【アクセス】 ＪＲ由布院駅より徒歩13分。 MAP,2026-06-30
湯富里の宿 一壺天,湯富里の宿 一壺天 | 由布院温泉 湯富里の宿 一壷天,Tier 1 seed / 정밀조사 우선,91,official_ryokan_association | jalan_presence | review_pool_200_plus | all_or_many_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,469,,469,has_room_open_air | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.ikkoten.com/,,https://www.jalan.net/yad333628/,和洋8,各部屋にあり,3.8 469件 清潔感、夕食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布院の山中にある隠れ宿。 全10棟半露天風呂付の趣き異なる離れ客室をご用意 四季折々の風光明媚な景観と至極の時間をお楽しみください。 個室お食事処でお召し上がりいただけます。 【アクセス】 ◆由布院駅よりお車で7分程です。 尚送迎はございませんのでご了承下さいませ。 MAP,2026-06-30
ENOWA,ENOWA | ENOWA YUFUIN,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,unclear,,,,has_onsen_keyword | has_room_open_air | has_private_bath,official_ryokan_association | jalan_spot_list,https://www.2hon-no-ashitaba.co.jp/,,https://www.jalan.net/yad350146/,和洋19（全室温泉付露天風呂）、離れ客室有,貸切サウナ有,答えはすべて畑にある――その哲学から生まれたファームドリブンの料理。 由布院の大地と調和する客室や温泉、感性を研ぎ澄ますサウナとスパ。自然と命を味わう唯一無二の体験を。 【アクセス】 由布院駅より車で約5分 MAP,2026-06-30
おやど 二本の葦束,おやど 二本の葦束 | 限定１日１３組・全室離れ 大露天も貸し切り おやど 二本の葦束,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,unclear,,,,has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://www.2hon-no-ashitaba.co.jp/,,https://www.jalan.net/yad338096/,離13（風呂付6）,露2・家7,4500平米の敷地の中に全13棟離れ。四季折々の自然を感じ、大露天風呂など全てが貸切風呂。 コロナウィルス対策：フロントに消毒液の設置、お客様用マスクの用意。※全館禁煙 【アクセス】 JR久大本線 由布院駅下車 駅からお車で7分程でございます。 MAP,2026-06-30
別荘 今昔庵,別荘 今昔庵,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | jalan_presence | all_or_many_room_bath_signal | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,,,,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.konjakuan.co.jp/index.htm,,https://www.jalan.net/yad313965/,和2（風呂付1）・和洋1・ 離4（全室露天付）,内2・露2 ＊貸切利用可,和の風情溢れる造り120年前の庄屋を改築した母屋と露天風呂付離れの2タイプ。 【アクセス】 ＪＲ由布院駅から車で７分。徒歩２０分。 MAP,2026-06-30
山のホテル 夢想園,山のホテル 夢想園 | 由布院温泉 山のホテル 夢想園 | 山のホテル夢想園,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_500_plus | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,1205,173,"1,205",has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://www.musouen.co.jp/,https://travel.rakuten.co.jp/HOTEL/44815/44815.html,https://www.jalan.net/yad386852/,和12・和洋2,内2・露3・家4（内2・露2）,"4.6 1,205件 風呂、夕食、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布院盆地の中心から少し離れた高台に位置し、男女それぞれの大露天風呂からは、由布岳、由布院盆地を眺望できる。夕食は、地採れの野菜や近海の魚、和牛を用いた季節感のある和会席料理。 【アクセス】 ＪＲ由布院駅よりタクシーで約５分。湯布院ＩＣ出口正面の信号を右折、県道１１号線を左折後、約２ｋｍ。 MAP",2026-06-30
旅想ゆふいん やまだ屋,旅想ゆふいん やまだ屋,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | jalan_presence | review_pool_500_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal,core_official_ryokan_association,ryokan_or_inn,503,,503,has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,http://www.yufuin-yamadaya.com,,https://www.jalan.net/yad303690/,和14（内湯付1・露天付6）,内2・露2・家2（内1・露1）,4.9 503件 夕食、接客、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 料理宿として「素材に一切の妥協なし」と見て美しい食べて美味しい季節のお料理に舌鼓。和の趣溢れる寛ぎ空間で湯巡り、湯布院散策にベストな立地で心に残る湯布院旅を演出。 【アクセス】 JR 湯布院駅より徒歩10分 湯布院ICより車で10分 大分空港より1時間（有料道路及び高速道路を使用） MAP,2026-06-30
由布院 梅園 GARDEN RESORT,由布院 梅園 GARDEN RESORT | 由布院 梅園 ＧＡＲＤＥＮ ＲＥＳＯＲＴ,Tier 1 seed / 정밀조사 우선,89,official_ryokan_association | rakuten_presence | jalan_presence | review_pool_500_plus | private_or_family_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,514,514,423,has_public_bath | has_private_bath,official_ryokan_association | rakuten_area_list | jalan_spot_list,http://yufuin-baien.com/,https://travel.rakuten.co.jp/HOTEL/39494/39494.html,https://www.jalan.net/yad318959/,和洋26,露2・家2,4.1 423件 風呂、夕食、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 一万坪の敷地に佇む全26室の宿。由布岳を望む絶景露天風呂と旬の食材を活かし敷地内に湧き出す名水で旨味を引き出す料理は絶品 【アクセス】 ＪＲ久大本線由布院駅よりタクシー（車）で５分。由布院の人気観光スポット「金鱗湖」まで自転車で3分！ MAP,2026-06-30
お宿 有楽,お宿 有楽,Tier 1 seed / 정밀조사 우선,87,official_ryokan_association | jalan_presence | review_pool_500_plus | some_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,1028,,"1,028",has_room_open_air | has_public_bath,official_ryokan_association | jalan_spot_list,http://www.urak.jp,,https://www.jalan.net/yad398280/,和7（露天付2）・ 離3（和・露天付）,露2,"4.1 1,028件 夕食、接客、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 お食事は朝夕客室にて。一期一会を大切したおもてなしと本格懐石料理をご堪能下さい。2024年度じゃらんアワード☆九州エリア【売れた宿大賞10室以下】第3位☆ 【アクセス】 >由布院駅より約7分。湯の坪街道まで約10分。金鱗湖まで約16分。 >湯布院ICより約10分。 MAP",2026-06-30
ゆふいんバース 里山茶風,ゆふいんバース 里山茶風,Tier 1 seed / 정밀조사 우선,85,official_ryokan_association | jalan_presence | review_pool_50_plus | some_room_bath_signal | private_or_family_bath_signal | public_bath_signal | source_flow_keyword,core_official_ryokan_association,ryokan_or_inn,83,,83,has_onsen_keyword | has_room_open_air | has_public_bath | has_private_bath,official_ryokan_association | jalan_spot_list,https://www.satoyamasafu.com/spa/index.html,,https://www.jalan.net/yad306578/,和1・和洋9（内湯付3・露天付3）,内2・家2（露）,4.3 83件 風呂、接客、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布岳を目前に、星空を眺めながら湯布院の自然と風を感じられるお宿 万葉の昔より薬の水として重宝された数少ない源泉の湯、おおいた和牛を始めを四季を感じる料理をこだわりの器とともにお愉しみください 【アクセス】 ＪＲ由布院駅よりタクシーで約５分。湯布院ＩＣ出口正面の信号を右折、県道１１号線を左折後、約２ｋｍ。 MAP,2026-06-30
御宿 田 離宮,御宿 田 離宮,Tier 1 seed / 정밀조사 우선,85,official_ryokan_association | jalan_presence | review_pool_50_plus | all_or_many_room_bath_signal | public_bath_signal | luxury_or_specialty_signal,core_official_ryokan_association,ryokan_or_inn,127,,127,has_room_open_air,official_ryokan_association | jalan_spot_list,https://www.yufuin-den-rikyu.com/,,https://www.jalan.net/yad367427/,離7,全室内湯・露天付,5.0 127件 風呂、夕食、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 □ 2019.4.26 開業 □ 秀麗な由布岳を見上げる位置にあり、冬場は朝霧に包まれます。 四季折々の旬の旨味を閉じ込めた日本料理。 全室露天風呂・内湯付き、離れのお部屋で寛ぎのひと時を…＜Wi-Fi有＞ 【アクセス】 JR久大本線・由布院駅から、お車（タクシー）で5分程でございます。 MAP,2026-06-30
