canonical_name_ja,aliases,preliminary_inclusion,lodging_type_guess,onsen_signal_keywords,discovered_sources,official_url,rakuten_url,rakuten_review_count,jalan_url,jalan_review_count,official_room_text,official_bath_text,room_open_air_bath_scope,public_bath_claim,private_bath_claim,jalan_desc,source_checked_at,normalized_key
ｉＯＲｉ Ｙｕｆｕｉｎ,ｉＯＲｉ Ｙｕｆｕｉｎ,needs_manual_review,unknown_lodging,湯布院,jalan_spot_list,,,,https://www.jalan.net/yad383956/,,,,,,,湯布院観光の人気スポット「湯の坪街道」まで徒歩1分♪ 到着後でも湯布院観光を満喫出来ちゃいます！ 湯布院観光の拠点として当館をご利用ください。 【アクセス】 【チェックイン】チェックインコード/QRコードをお送りします。コードをお控えの上施設にお越しください。 MAP,2026-06-29,ioriyufuin
Kamon,Kamon,include_onsen_signal,unknown_lodging,温泉 | 貸切 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad333830/,,,,,,,無人チェックインで気ままに過ごす！ 一棟貸切ゲストハウス『Kamon』は、湯布院観光の拠点や、長期滞在にもおすすめです。 目の前の「乙丸温泉館」の入浴チケット付♪ 【アクセス】 由布院駅 徒歩5分 MAP,2026-06-29,kamon
ＫＯＵ雅之郷,ＫＯＵ雅之郷,include_onsen_signal,unknown_lodging,温泉 | 源泉 | かけ流し | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad390265/,261,,,,,,4.7 261件 接客、夕食、清潔感 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 自家源泉100％かけ流し温泉は３棟あり、全て貸切り家族風呂となります。全室４部屋のこじんまりとしたアットホームな宿です。BBQや焚火も出来きます。気ままに贅沢な宿まるごと貸切りプランも御座います。 【アクセス】 大分自動車道湯布院ＩＣより車で約３分。ＪＲ由布院駅より徒歩約12分です。 MAP,2026-06-29,kou雅之郷
Ｍｉｓｏｒａ Ｙｕｆｕｉｎ,Ｍｉｓｏｒａ Ｙｕｆｕｉｎ,include_onsen_signal,unknown_lodging,貸切 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad351025/,,,,,,,由布岳を眺めながら過ごすテラス時間は格別 155㎡の3LDK貸切空間で、 家族や仲間と【自由気ままな休日】を。 由布院駅から車で5分、駐車も3台まで可能！ 最大15名で特別な日に贅沢なひとときを♪ 【アクセス】 【チェックイン】スマートチェックインを使用しての現地宿にてのチェックインとなります。 MAP,2026-06-29,misorayufuin
Ｒａｋｕｔｅｎ ＳＴＡＹ ＶＩＬＬＡ 由布院温泉,Ｒａｋｕｔｅｎ ＳＴＡＹ ＶＩＬＬＡ 由布院温泉,include_onsen_signal,villa_pension_guesthouse,温泉 | 由布院,rakuten_area_list,,https://travel.rakuten.co.jp/HOTEL/195540/195540.html,134,,,,,,,,,2026-06-29,rakutenstayvilla由布院温泉
Ｓｅｎｓｅ ｏｆ ｗｏｎｄｅｒ由布岳山麓グランピングリゾート,Ｓｅｎｓｅ ｏｆ ｗｏｎｄｅｒ由布岳山麓グランピングリゾート,low_priority_or_exclude_review,villa_pension_guesthouse,湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad337374/,,,,,,,湯布院塚原高原のキャビンとティピーで過ごす大人の為のグランピング。夜は焚き火小屋で楽しむ特製キャンプディナー。特別な準備は不要ながら大自然の中でゆったりと過ごすキャンプの醍醐味を満喫できます。 【アクセス】 大分自動車道由布岳ICからお車で５分。湯布院ICよりお車で２０分。由布院駅からタクシーで１５分。 MAP,2026-06-29,senseofwonder由布岳山麓グランピングリゾート
SPACE-VESSEL基地,SPACE-VESSEL基地,needs_manual_review,unknown_lodging,,jalan_spot_list,,,,https://www.jalan.net/yad323515/,,,,,,,宇宙船のようなお部屋の中は、ラグジュアリーなホテルのように快適でゆったりと過ごせます。 一歩外に出れば、そこは塚原高原の雄大な自然の中。 日常では体験できない特別な空間をお楽しみください。 【アクセス】 大分道・由布岳ICより車で約3分 MAP,2026-06-29,spacevessel基地
ＴＥＲＲＡ湯布院,ＴＥＲＲＡ湯布院,include_onsen_signal,unknown_lodging,温泉 | 源泉 | 掛け流し | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad321405/,,,,,,,湯布院の極上温泉を、いつでもプライベートで 各棟に24時間いつでもお好きな時にお楽しみいただける 全部屋源泉掛け流しのお風呂完備。 自分だけの癒しの時間を贅沢に過ごしてください。 【アクセス】 湯布院ICよりお車で約4分(2.4km) 由布院駅よりタクシーで約4分（1.2km） MAP,2026-06-29,terra湯布院
Ｔｈｅ Ｖｉｌｌａｇｅ由布院 温泉グランピング,Ｔｈｅ Ｖｉｌｌａｇｅ由布院 温泉グランピング | ＴｈｅＶｉｌｌａｇｅ由布院温泉グランピング,include_onsen_signal,villa_pension_guesthouse,温泉 | 源泉 | かけ流し | 貸切 | 風呂 | 湯布院 | 由布院,rakuten_area_list | jalan_spot_list,,https://travel.rakuten.co.jp/HOTEL/180797/180797.html,77,https://www.jalan.net/yad388890/,79,,,,,,4.7 79件 夕食、部屋、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 ドームテントやベルテントで気軽にアウトドア気分を楽しめるほか、ファミリーでのご旅行や記念日旅行にもぴったり。さらに、源泉かけ流しの貸切風呂も備え、特別なひとときをお過ごしいただけます。 【アクセス】 JR由布院駅から車で6分。湯布院インターチェンジから車で12分。金鱗湖まで車で8分。 MAP,2026-06-29,thevillage由布院温泉グランピング
Villaエーデン,Villaエーデン,low_priority_or_exclude_review,villa_pension_guesthouse,湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad397301/,,,,,,,観光客の多い場所から少し離れた、木々に囲まれた静かな一軒貸の貸別荘です 【アクセス】 由布院駅より車で6分、徒歩３０分 湯布院インターより車で３分 MAP,2026-06-29,villaエーデン
Yufuin Covaco,Yufuin Covaco,needs_manual_review,unknown_lodging,由布院,jalan_spot_list,,,,https://www.jalan.net/yad312830/,,,,,,,当館は観光の中心エリアも徒歩圏内の好立地にございます。 チェックインはスマートチェックインを導入しており、非対面でスムーズにご入室いただけます。 【アクセス】 由布院駅から徒歩3分 MAP,2026-06-29,covaco
YUFUIN FLORAL VILLAGE（湯布院フローラルビレッジ）,YUFUIN FLORAL VILLAGE（湯布院フローラルビレッジ）,low_priority_or_exclude_review,villa_pension_guesthouse,湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad369920/,,,,,,,イギリス・コッツウォルズ地方の街並みを再現した「ＹＵＦＵＩＮ ＦＬＯＲＡＬ ＶＩＬＬＡＧＥ」ご宿泊のお客様は、おとぎ話の国の様なミニテーマパークで開園前の園内で思う存分、写真撮影を楽しめます♪ 【アクセス】 由布院駅から車で5分 MAP,2026-06-29,floralvillage湯布院フローラルビレッジ
YUFUIN HOGONEKO FOREST,YUFUIN HOGONEKO FOREST,needs_manual_review,unknown_lodging,,jalan_spot_list,,,,https://www.jalan.net/yad336679/,,,,,,,,2026-06-29,hogonekoforest
アットホームな宿 由布の宿 きふう,アットホームな宿 由布の宿 きふう,include_onsen_signal,ryokan_or_inn,露天 | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad378738/,,,,,,,■全6室の小さな宿。入口には四季折々の草花が出迎え粋な心づかいにホッと安らぐ宿です｡ゆったりサイズの露天風呂と岩風呂は無料で貸切ＯＫ！季節の素材の朝食を堪能♪ 【アクセス】 由布院駅より車で５分。徒歩１５分。湯布院ＩＣから車で１５分。 MAP,2026-06-29,アットホームな宿由布の宿きふう
インターヒル 翼 湯布院,インターヒル 翼 湯布院,include_onsen_signal,unknown_lodging,温泉 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad386698/,174,,,,,,4.8 174件 風呂、清潔感、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 大分自動車道湯布院ICより車で1分、2019年9月20日にオープンしたばかりの宿。由布岳を望む傾斜を生かした敷地で、南欧をイメージした空間と部屋付温泉をお楽しみ下さい。 【アクセス】 湯布院ICより車で1分 由布院駅よりタクシーで7分 MAP,2026-06-29,インターヒル翼湯布院
エンゼルグランヴィラ由布院（旧ときリゾート由布院別邸）,エンゼルグランヴィラ由布院（旧ときリゾート由布院別邸）,low_priority_or_exclude_review,villa_pension_guesthouse,由布院,rakuten_area_list,,https://travel.rakuten.co.jp/HOTEL/198983/198983.html,,,,,,,,,,2026-06-29,エンゼルグランヴィラ由布院旧ときリゾート由布院別邸
エンゼルグランヴィラ由布院(旧ロングライフリゾート由布院別邸),エンゼルグランヴィラ由布院(旧ロングライフリゾート由布院別邸),include_onsen_signal,villa_pension_guesthouse,温泉 | 露天 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad317070/,5,,,,,,4.6 5件 清潔感、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布岳の麓に広がる豊かな自然の中に佇むプライベートリゾート。客室に備わる温泉露天風呂からは四季折々に移ろう由布院の絶景をひとり占め。誰にも邪魔されない静寂の中でゆったりとお過ごしください☆ 【アクセス】 大分空港より車にて約50分 JR由布院駅から車にて10分 大分自動車道湯布院ICより3分 MAP,2026-06-29,エンゼルグランヴィラ由布院旧ロングライフリゾート由布院別邸
おやど 開花亭,おやど 開花亭,include_onsen_signal,ryokan_or_inn,温泉 | 露天 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad312931/,58,,,,,,4.8 58件 夕食、風呂、部屋 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 完全離れの客室に、二間のお部屋と専用露天風呂が備わり24時間好きな時に好きなだけ温泉を楽しめる。地元の旬の素材を活かした創作会席料理をお部屋ごとの完全個室のお食事処にておもてなし。 【アクセス】 電車 JR久大線由布院駅下車 / 車 大分自動車道湯布院ICより約10分 MAP,2026-06-29,おやど開花亭
おやど 二本の葦束,おやど 二本の葦束,include_official_association,unknown_lodging,風呂,official_ryokan_association,https://www.2hon-no-ashitaba.co.jp/,,,,,離13（風呂付6）,露2・家7,some_rooms,official_association_claim,official_association_claim,,2026-06-29,おやど二本の葦束
お宿 開花亭,お宿 開花亭,include_official_association,ryokan_or_inn,露天 | 内湯,official_ryokan_association,http://www.kaikatei.info/,,,,,離8（和・露天・内湯付）,家2(露）,some_rooms,unknown,official_association_claim,,2026-06-29,開花亭
お宿 木蓮,お宿 木蓮,include_official_association,ryokan_or_inn,貸切,official_ryokan_association,https://hpdsp.jp/mokuren/,,,,,和5・洋1・和洋1,露2・家2（全て貸切利用可）,unknown,official_association_claim,official_association_claim,,2026-06-29,木蓮
お宿 野蒜山荘（のびるさんそう）,お宿 野蒜山荘（のびるさんそう）,include_onsen_signal,ryokan_or_inn,露天 | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad311311/,,,,,,,湯布院の眺めを堪能できる自然に溶けこむ山荘。湯量豊富な美肌の湯が自慢で、何度でも無料で楽しめる貸切風呂（予約不可）や半露天付き客室はカップル・ファミリーに好評♪旬食材の手作り料理でおもてなし。 【アクセス】 JR九大本線 由布院駅より車で約5分／湯布院ＩＣより車で約10分／大分空港・福岡空港よりバスで約1～2時間 MAP,2026-06-29,野蒜山荘のびるさんそう
お宿 有楽,お宿 有楽,include_official_association,ryokan_or_inn,露天 | 湯布院 | 由布院,official_ryokan_association | jalan_spot_list,http://www.urak.jp,,,https://www.jalan.net/yad398280/,"1,028",和7（露天付2）・ 離3（和・露天付）,露2,all_or_many_rooms,official_association_claim,unknown,"4.1 1,028件 夕食、接客、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 お食事は朝夕客室にて。一期一会を大切したおもてなしと本格懐石料理をご堪能下さい。2024年度じゃらんアワード☆九州エリア【売れた宿大賞10室以下】第3位☆ 【アクセス】 >由布院駅より約7分。湯の坪街道まで約10分。金鱗湖まで約16分。 >湯布院ICより約10分。 MAP",2026-06-29,有楽
お宿 柚木温泉,お宿 柚木温泉,include_onsen_signal,ryokan_or_inn,温泉 | 露天 | 風呂 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad385524/,,,,,,,【大露天風呂・サウナ】最大14名様まで泊まれる広々約195平米『総ひのき造り』の一軒家！ 【アクセス】 由布院駅から徒歩で約20分 MAP,2026-06-29,柚木温泉
かいがけ温泉 きのこの里,かいがけ温泉 きのこの里,include_onsen_signal,unknown_lodging,温泉 | 風呂 | 湯布院,jalan_spot_list,,,,https://www.jalan.net/yad340790/,139,,,,,,3.6 139件 接客、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 湯布院と別府の境にあり、くぬぎ林の中に佇み、100％の天然温泉は評判で、適度なヌメリ感がある美人湯。食事は、食材を持ち込んでバーベキューも良し、食事処では炭火焼きやだんご汁も楽しめる。 【アクセス】 【お車】大分自動車道 湯布院ICより30分、別府Cより15分、JR向之原駅より10分、JR別府駅より20分 MAP,2026-06-29,かいがけ温泉きのこの里
かわもと別邸３４６６,かわもと別邸３４６６,include_onsen_signal,unknown_lodging,温泉 | 源泉 | 掛け流し | 露天 | 貸切 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad375042/,,,,,,,どのように滞在するか お客様が創る宿 湯布院駅から徒歩１２分 湯布院インターから車で８分 源泉掛け流し由布院温泉が露天・室内・足湯で楽しめる 専用テラスでバーベキュー出来る 完全貸切宿 【アクセス】 由布院駅からは徒歩１２分 湯布院ICからは車で８分 敷地内に無料駐車場（大型車３台駐車可能） MAP,2026-06-29,かわもと別邸3466
かわもと別邸926,かわもと別邸926,include_onsen_signal,unknown_lodging,温泉 | 源泉 | 掛け流し | 露天 | 貸切 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad337842/,,,,,,,どのように滞在するか お客様が創る宿 湯布院駅から徒歩5分 湯布院インターから車で7分 源泉掛け流し温泉が露天・室内で楽しめる プライベート庭でバーベキューと花火も楽しめる 完全貸切宿 【アクセス】 由布院駅からは徒歩５分、湯布院ICからは車で７分 という便利なロケーション。 MAP,2026-06-29,かわもと別邸926
かわもと別邸garden,かわもと別邸garden,include_onsen_signal,unknown_lodging,温泉 | 源泉 | 掛け流し | 露天 | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad385838/,,,,,,,どのように滞在するか お客様が創る宿 由布院駅から徒歩５分 湯布院ICから車で７分 源泉掛け流し温泉が庭園露天風呂・室内檜風呂で 広々とした庭園でバーベキューが楽しめる 1棟完全貸切別荘 【アクセス】 由布院駅から徒歩5分 湯布院ICから車で7分 敷地内に無料駐車場（大型車4台駐車可能） MAP,2026-06-29,かわもと別邸garden
カントリーイン麓舎,カントリーイン麓舎,include_onsen_signal,unknown_lodging,温泉 | 貸切 | 風呂 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad367812/,592,,,,,,4.8 592件 夕食、風呂、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 金鱗湖や湯の坪通りに近く散策にとても便利な場所に位置しています。旅の疲れを癒す温泉は当館の自慢のひとつ。無料にて貸切利用可能です。 【アクセス】 由布院駅より車で５分。徒歩で20分。 MAP,2026-06-29,カントリーイン麓舎
しらたき旅館,しらたき旅館,include_official_association,ryokan_or_inn,,official_ryokan_association,http://ryokan-shirataki.com//,,,,,和7,露1・家1,unknown,official_association_claim,official_association_claim,,2026-06-29,しらたき旅館
すみか,すみか | 由布院温泉 すみか,include_official_association,unknown_lodging,露天 | 風呂,official_ryokan_association | rakuten_area_list,https://yufuinsumika.jp/,https://travel.rakuten.co.jp/HOTEL/130594/130594.html,920,,,和洋13,全室露天風呂付,all_or_many_rooms,unknown,unknown,,2026-06-29,すみか
ひすいの宿 黎明,ひすいの宿 黎明,include_official_association,ryokan_or_inn,,official_ryokan_association,http://www.hotel-reimei.com/Front/Main.aspx,,,,,和10・洋1・和洋4,内2・露2・家1,unknown,official_association_claim,official_association_claim,,2026-06-29,ひすいの宿黎明
ペンションゆふいん,ペンションゆふいん | ペンション ゆふいん,include_official_association,villa_pension_guesthouse,由布院,official_ryokan_association | jalan_spot_list,http://www.yufuin.info,,,https://www.jalan.net/yad339682/,,和1・洋10,露1（混浴）・家3,unknown,official_association_claim,official_association_claim,★１９７７年に九州で最初にオープンした、好立地なペンションです♪ 由布院の歴史を歩むとともに、当時からの趣が詰まった心温まる宿です！ 心温まるおもてなしを、皆さまに感じて頂けたらと思います☆ 【アクセス】 ■□■ 由布院駅より、徒歩7分。お車で2分程です。■□■ MAP,2026-06-29,ペンションゆふいん
ペンション長閑郷,ペンション長閑郷,include_onsen_signal,villa_pension_guesthouse,露天 | 内湯 | 貸切 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad303784/,382,,,,,,4.5 382件 接客、夕食、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布岳の大パノラマが魅力で、特に露天からの眺めが抜群！露天、内湯はどちらも貸切できる。オーナー手作り料理も好評◎お酒、おつまみ等持ち込みＯＫ！ 【アクセス】 ＪＲ由布院駅より車で５分、高速道路湯布院インターより車で１０分 MAP,2026-06-29,ペンション長閑郷
ペンション木綿恋記,ペンション木綿恋記,include_official_association,villa_pension_guesthouse,,official_ryokan_association,http://www.asahi-net.or.jp/~bs9s-iwo/,,,,,和10・洋8,内2・家2・露１,unknown,official_association_claim,official_association_claim,,2026-06-29,ペンション木綿恋記
ほたるの宿 仙洞（せんどう）,ほたるの宿 仙洞（せんどう）,include_onsen_signal,ryokan_or_inn,露天 | 風呂 | 湯布院,jalan_spot_list,,,,https://www.jalan.net/yad323841/,"1,727",,,,,,"4.1 1,727件 夕食、風呂、朝食 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 木立に囲まれた田舎風の佇まいの宿。周囲には金鱗湖、民芸村と散策に便利。客室は洋室、和室、離れを用意。男女別露天風呂は滞在中いつでも入浴できる。例年５月下旬から６月上旬頃には「ほたる」が見れる 【アクセス】 湯布院駅より車で５分。湯布院ＩＣより車で１０分。 MAP",2026-06-29,ほたるの宿仙洞せんどう
ホテル木綿恋記（ゆふごいき）,ホテル木綿恋記（ゆふごいき）,needs_manual_review,onsen_hotel_or_resort,湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad376369/,,,,,,,「ホテル 木綿恋記（ゆふごいき）」は湯布院の街中にありながら、懐かしさを感じる隠れ家のような宿です。 気ままな散策や外食等あなただけの湯布院時間をお楽しみいただけます。 ※Wi-Fi完備、駐車場無料 【アクセス】 大分自動車道 湯布院ICより車で 約10分。JR由布院駅より徒歩 約15分。金鱗湖まで徒歩 約12分。 MAP,2026-06-29,ホテル木綿恋記ゆふごいき
やまなみ旅館,やまなみ旅館,include_onsen_signal,ryokan_or_inn,温泉 | 源泉 | 掛け流し | 露天 | 大浴場 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad336943/,,,,,,,湯布院の街中から少し離れた静かな温泉旅館です。お部屋、露天風呂、テラスから由布岳の眺めは絶景！大浴場は源泉掛け流しの天然温泉 ※１９時以降チェックインご希望のお客様はご予約をご遠慮くださいませ 【アクセス】 湯布院インターより車で約５分 由布院駅より徒歩約１５分～２０分 MAP,2026-06-29,やまなみ旅館
ゆのひら 上柳屋,ゆのひら 上柳屋,include_onsen_signal,unknown_lodging,温泉 | 風呂 | 湯布院 | 由布院,jalan_spot_list,,,,https://www.jalan.net/yad313894/,11,,,,,,5.0 11件 夕食、接客、風呂 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 上質な「おおいた和牛」、由布院の新鮮野菜、契約農家のお米など、安心安全な食材を使用した料理が自慢！心ほぐれる温泉も魅力のひとつ。自然のままに過ごす贅沢を心ゆくまでお楽しみ下さい。 【アクセス】 大分道湯布院ICより２０分 MAP,2026-06-29,ゆのひら上柳屋
ゆふｉｎｎ,ゆふｉｎｎ,needs_manual_review,unknown_lodging,,jalan_spot_list,,,,https://www.jalan.net/yad317888/,,,,,,,,2026-06-29,ゆふinn
ゆふいん 小萩荘,ゆふいん 小萩荘 | お宿 小萩荘,include_official_association,ryokan_or_inn,温泉 | かけ流し | 風呂 | 湯布院 | 由布院,official_ryokan_association | jalan_spot_list,http://www.kohagiso.com/,,,https://www.jalan.net/yad347558/,74,和5,家2（内・露）,unknown,unknown,official_association_claim,4.0 74件 風呂、清潔感、接客 高評価 実際に宿泊した会員のクチコミ評価から、4点以上の項目を最大3つまで表示しております。 由布院温泉が一望できる小高いところにあり、天然かけ流しの湯、四季折々の湯布院を満喫して疲れた身体を癒すアットホームな宿。 【アクセス】 JR由布院駅からタクシーで約5分、大分自動車道 湯布院ICから約10分 MAP,2026-06-29,小萩荘
