slug,region_group,display_name_ko,level,direct,onsen_related,platform_count,item_count,source_family,recommended_status,severity,issue_count,issue_codes,next_action,accommodation_source_file,verdict_source_file
jozankei-chalet-ivy,hokkaido,샬레 아이비 조잔케이,lite,312,103,12,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
jozankei-grand-blissen,hokkaido,그랜드 블리센 호텔 조잔케이,full,305,216,3,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
jozankei-suizantei,hokkaido,조잔케이 다이이치 호텔 스이잔테이,lite,313,199,9,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-bourou-noguchi,hokkaido,보로 노구치 노보리베츠,full,368,247,11,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-daiichi-takimotokan,hokkaido,다이이치 타키모토칸,lite,300,189,8,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-grand,hokkaido,노보리베츠 그랜드 호텔,full,324,200,8,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-hanayura,hokkaido,료테이 하나유라,full,306,211,8,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-mahoroba,hokkaido,호텔 마호로바,full,330,216,8,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-manseikaku,hokkaido,노보리베츠 만세이카쿠,full,351,228,7,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
noboribetsu-takinoya,hokkaido,노보리베츠 타키노야,lite,312,184,4,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
tokachigawa-seijakubou,hokkaido,도카치가와 온천 세이자쿠보,full,380,300,8,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
toyako-lake-suite-konosisu,hokkaido,더 레이크 스위트 고노스미카,full,308,255,7,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
yunokawa-hanabishi,hokkaido,하코다테 유노카와 온천 하나비시 호텔,lite,310,168,3,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
yunokawa-heiseikan-hanatsuki,hokkaido,헤이세이칸 시오사이테이 별관 하나츠키,full,300,246,6,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
yunokawa-heiseikan-shiosaitei,hokkaido,헤이세이칸 시오사이테이,lite,318,199,6,0,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
yunokawa-nagisatei,hokkaido,유노카와 프린스 호텔 나기사테이,full,333,251,7,5,regional_pipeline_hokkaido,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_quality_matrix_2026-07-04.csv,research/onsen-candidates/nationwide-2026-07-03/hokkaido_ready_accommodation_review_signal_rows_2026-07-03.csv
arima-grand-hotel,kansai,아리마 그랜드 호텔,lite,402,189,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
arima-hanamusubi,kansai,미유키소 하나무스비,lite,548,306,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
arima-hyoe-koyokaku,kansai,효에 고요카쿠,full,565,285,5,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
arima-nakanobo,kansai,나카노보 즈이엔,full,433,305,5,5,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
kinosaki-nishimuraya-shogetsutei,kansai,니시무라야 호텔 쇼게츠테이,lite,321,184,7,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
shirahama-kaishu,kansai,하마치도리노유 가이슈,lite,411,331,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
shirahama-kawakyu,kansai,호텔 가와큐,lite,588,149,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
shirahama-key-terrace,kansai,시라하마 키 테라스 호텔 시모어,lite,387,199,4,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
shirahama-sanrakuso,kansai,호텔 산라쿠소,lite,535,326,3,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
shirahama-yanagiya,kansai,시라하마 야나기야,lite,317,195,7,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
toba-kisara,kansai,키사라,full,780,393,3,3,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
toba-kisara-bettei-toki,kansai,키사라 벳테이 토키,full,300,213,11,4,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
toba-todaya,kansai,토다야,lite,679,274,5,0,regional_pipeline_current_batch,pass_current_batch,none,0,none,이번 간사이/산인/세토우치 1차 파이프라인 통과분이므로 재작업하지 않습니다.,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv,research/onsen-deep-research/qa/kansai_sanin_setouchi_db_seed_qa_2026-07-07.csv
fujiyoshida-kaneyamaen,kanto,후지산온센 호텔 카네야마엔,full,315,230,4,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-byakudan,kanto,하코네 고라 백단,full,342,234,4,3,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-fontainebleau,kanto,하코네 퐁텐블로 센고쿠테이,full,725,673,4,3,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-gen-gora,kanto,겐 하코네 고라,full,321,249,6,3,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-ginyu,kanto,하코네 긴유,full,391,253,4,4,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-gora-kadan,kanto,고라 카단,full,398,272,5,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-gora-karaku,kanto,하코네 고라 가라쿠,full,372,234,4,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-kowakien-tenyu,kanto,하코네 코와키엔 텐유,full,362,238,3,3,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-matsuzakaya,kanto,마츠자카야 혼텐,full,308,266,6,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-yama-no-chaya,kanto,야마노차야,lite,303,122,10,0,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
hakone-yuyado-zen,kanto,하코네 유야도 젠,full,669,589,7,3,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
isawa-fujinoya,kanto,샤토레제 호텔 료칸 후지노야,full,562,548,5,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
isawa-itoyanagi,kanto,이사와 메이토칸 이토야나기,full,913,731,5,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
isawa-itoyanagi-yuwa,kanto,이토야나기 고야도 유와,full,789,628,8,5,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
kawaguchiko-fufu,kanto,후후 가와구치코,lite,303,159,7,0,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
kawaguchiko-kukuna,kanto,더 쿠쿠나,lite,314,188,4,0,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
yugawara-ashikari,kanto,유가와라 스파 료칸 아시카리,full,485,356,3,4,regional_pipeline_kanto,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv,research/onsen-review-signals/hakone_kanagawa_yamanashi_db_seed_qa_2026-07-06.csv
beppu-amane-resort-gahama,kyushu,아마네 리조트 가하마,full,341,200,6,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-amane-resort-seikai,kyushu,아마네 리조트 세이카이,lite,399,310,3,0,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-ana-intercontinental,kyushu,ANA 인터컨티넨탈 벳푸 리조트 앤 스파,full,339,206,6,4,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-bettei-haruki,kyushu,세키야 리조트 벳테이 하루키,full,387,324,4,4,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-bokai,kyushu,유사이노야도 보카이,full,434,302,3,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-hachiyo,kyushu,하치요,full,498,487,4,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-hoshino-kai,kyushu,호시노 리조트 카이 벳푸,full,379,221,3,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-iyashi-iroha,kyushu,이야시노야도 이로하,full,391,360,4,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-kannawa-bettei,kyushu,칸나와 벳테이,full,389,331,3,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-kannawaen,kyushu,벳푸 칸나와엔,lite,391,335,4,0,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-kokoroan,kyushu,벳푸 코코로안,lite,395,349,3,0,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-marugamiya,kyushu,마루가미야,full,568,529,3,5,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
beppu-mimatsu,kyushu,시사이드 호텔 미마쓰 오에테이,lite,319,181,3,0,regional_pipeline_kyushu,keep_as_is,none,0,none,현재 파이프라인 기준을 통과합니다. 다음 전면 재생성 전까지 유지합니다.,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv,research/onsen-review-signals/kyushu_deep_research_qa_matrix_2026-07-08.csv
