slug,entity_type,region_group,area,prefecture,tier,candidate_status_original,name_ja,name_ko_or_en,identity_status,visible_review_pool,direct_review_count,onsen_related_count,platform_count,google_checked,naver_checked,bath_axis_split,grade_claimed,grade_verified,qa_status,issue,next_action,service_copy_qa_note,deep_research_folder,manifest_file,summary_file,platform_mapping_file,aggregate_file,platforms_direct
arima-nakanobo,accommodation,kansai,arima,兵庫県,Tier 1,ready,中の坊瑞苑,Nakanobo Zuien,matched_or_alias_checked,2238,433,305,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/arima-nakanobo-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,nakanobo_signal_aggregate_2026-07-04.json,
arima-okuno-hosomichi,accommodation,kansai,arima,兵庫県,Tier 1,hold;split_needed,天地の宿 奥の細道,Okuno Hosomichi,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
arima-shisui,accommodation,kansai,arima,兵庫県,Tier 1,hold,SPA TERRACE紫翠,SPA TERRACE Shisui,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kinosaki-kawaguchiya-riverside,accommodation,kansai,kinosaki,兵庫県,Tier 1,hold,川口屋城崎リバーサイドホテル,Kawaguchiya Kinosaki Riverside Hotel,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kinosaki-mikiya,accommodation,kansai,kinosaki,兵庫県,Tier 1,hold;split_needed,城崎温泉 三木屋,Mikiya,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kinosaki-nishimuraya-honkan,accommodation,kansai,kinosaki,兵庫県,Tier 1,hold,西村屋本館,Nishimuraya Honkan,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kinosaki-nishimuraya-shogetsutei,accommodation,kansai,kinosaki,兵庫県,Tier 1,ready,西村屋ホテル招月庭,Nishimuraya Hotel Shogetsutei,matched_or_alias_checked,3835,321,184,7,yes,yes,yes,A,A,ready_for_db,Google-native 직접 본문 약함/없음; visible count와 분리됨; Naver 직접 원문 약함/없음; snippet_only 분리 필요,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/kinosaki-nishimuraya-shogetsutei-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-06.md,platform_mapping_2026-07-06.json,shogetsutei_signal_aggregate_2026-07-06.json,
kinosaki-ryokufukaku,accommodation,kansai,kinosaki,兵庫県,Tier 1,hold;split_needed,きのさきの宿 緑風閣,Ryokufukaku,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
shirahama-kachofugetsu,accommodation,kansai,shirahama,和歌山県,Tier 1,ready,南紀白浜 和みの湯 花鳥風月,Kachofugetsu,matched_or_alias_checked,1124,545,285,4,yes,yes,yes,B,B,near_ready_b,snippet_only 분리 확인; 300건 이상이나 한국어/플랫폼 층화 gap으로 B 유지,A 승급 목표 보강: 한국어 직접 본문 또는 추가 플랫폼/저평점 표본 확보,강하게 반복 표현 금지; 탐색/B급 신호로 제한,research/onsen-deep-research/shirahama-kachofugetsu-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-06.md,platform_mapping_2026-07-06.json,kachofugetsu_signal_aggregate_2026-07-06.json,Rakuten Travel;Jalan;Yahoo Travel;Google Maps native
shirahama-kaishu,accommodation,kansai,shirahama,和歌山県,Tier 1,ready,白浜温泉 浜千鳥の湯 海舟,Hamachidori no Yu Kaishu,matched_or_alias_checked,7000,411,331,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/shirahama-kaishu-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,kaishu_signal_aggregate_2026-07-04.json,
shirahama-kawakyu,accommodation,kansai,shirahama,和歌山県,Tier 1,ready;split_needed,ホテル川久,Hotel Kawakyu,matched_or_alias_checked,9435,588,149,5,yes,yes,yes,A,A,ready_for_db,none,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/shirahama-kawakyu-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,kawakyu_signal_aggregate_2026-07-04.json,Rakuten Travel;Jalan;JTB;Google Maps;Naver Blog
shirahama-key-terrace,accommodation,kansai,shirahama,和歌山県,Tier 1,ready;split_needed,SHIRAHAMA KEY TERRACE HOTEL SEAMORE,Hotel Seamore,matched_or_alias_checked,5002,387,199,4,yes,yes,yes,A,A,ready_for_db,none,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/shirahama-key-terrace-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,key_terrace_signal_aggregate_2026-07-04.json,Rakuten Travel;JTB;Google Maps;Naver Blog
shirahama-sanrakuso,accommodation,kansai,shirahama,和歌山県,Tier 1,ready,白浜温泉 ホテル三楽荘,Hotel Sanrakuso,matched_or_alias_checked,7827,535,326,3,yes,yes,yes,A,A,ready_for_db,Google-native 직접 본문 약함/없음; visible count와 분리됨; Naver 직접 원문 약함/없음; snippet_only 분리 필요,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/shirahama-sanrakuso-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,sanrakuso_signal_aggregate_2026-07-04.json,Rakuten Travel;Jalan;JTB
shirahama-xyz-speciale,accommodation,kansai,shirahama,和歌山県,Tier 1,ready,海絶景とギネス認定の宿 全室露天風呂付離れ XYZスペチアーレ,XYZ Speciale,matched_or_alias_checked,,251,174,8,yes,yes,yes,B,B,near_ready_b,snippet_only 분리 확인; A까지 직접 리뷰 49건 이상 추가 필요,A 승급 목표 보강: 한국어 직접 본문 또는 추가 플랫폼/저평점 표본 확보,강하게 반복 표현 금지; 탐색/B급 신호로 제한,research/onsen-deep-research/shirahama-xyz-speciale-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-06.md,platform_mapping_2026-07-06.json,xyz_speciale_signal_aggregate_2026-07-06.json,
shirahama-yanagiya,accommodation,kansai,shirahama,和歌山県,Tier 1,ready;split_needed,白浜温泉 家族とすごす白浜の宿 柳屋,Yanagiya,matched_or_alias_checked,,317,195,7,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/shirahama-yanagiya-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,yanagiya_signal_aggregate_2026-07-04.json,
toba-kisara,accommodation,ise_shima,toba,三重県,Tier 1,ready,季さら,Kisara,matched_or_alias_checked,,780,393,3,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/toba-kisara-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,kisara_signal_aggregate_2026-07-04.json,
toba-kisara-bettei-toki,accommodation,ise_shima,toba,三重県,Tier 1,ready,季さら別邸 刻,Toki Kisara Bettei,matched_or_alias_checked,,300,213,11,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/toba-kisara-bettei-toki-2026-07-04,deep_research_manifest_2026-07-06.csv,review_signal_summary_2026-07-06.md,platform_mapping_2026-07-06.json,toki_signal_aggregate_2026-07-06.json,
toba-toba-kokusai,accommodation,ise_shima,toba,三重県,Tier 1,ready,鳥羽国際ホテル 潮路亭,Toba Hotel International Shiojitei,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
toba-todaya,accommodation,ise_shima,toba,三重県,Tier 1,ready;split_needed,戸田家,Todaya,matched_or_alias_checked,7108,679,274,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/toba-todaya-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,todaya_signal_aggregate_2026-07-04.json,Rakuten Travel;Jalan;JTB;Google Maps native;Tripadvisor provider card
kaike-kasuitei,accommodation,sanin,kaike,鳥取県,Tier 1,ready;split_needed,皆生温泉 華水亭,Kasuitei,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kaike-shiontei,accommodation,sanin,kaike,鳥取県,Tier 1,ready;split_needed,皆生温泉 やど紫苑亭,Yado Shiontei,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
kaike-yugetsu,accommodation,sanin,kaike,鳥取県,Tier 1,ready;split_needed,皆生游月,Kaike Yugetsu,matched_or_alias_checked,3639,542,290,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/kaike-yugetsu-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,yugetsu_signal_aggregate_2026-07-04.json,
kaike-yurari,accommodation,sanin,kaike,鳥取県,Tier 1,hold;route_or_pass,皆生温泉 海色・湯の宿 松月,Shogetsu,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
misasa-izanro-iwasaki,accommodation,sanin,misasa,鳥取県,Tier 1,ready,三朝温泉 依山楼岩崎,Izanro Iwasaki,matched_or_alias_checked,3807,372,253,7,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/misasa-izanro-iwasaki-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,izanro_iwasaki_signal_aggregate_2026-07-04.json,
misasa-mansuirou,accommodation,sanin,misasa,鳥取県,Tier 1,ready,三朝温泉 万翆楼,Mansuirou,matched_or_alias_checked,4554,579,319,6,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/misasa-mansuirou-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,mansuirou_signal_aggregate_2026-07-04.json,
misasa-saiki-bekkan,accommodation,sanin,misasa,鳥取県,Tier 1,hold,三朝温泉 斉木別館,Saiki Bekkan,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
tamatsukuri-chorakuen,accommodation,sanin,tamatsukuri,島根県,Tier 1,ready,玉造温泉 湯之助の宿 長楽園,Chorakuen,matched_or_alias_checked,5136,304,238,6,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/tamatsukuri-chorakuen-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,chorakuen_signal_aggregate_2026-07-04.json,
tamatsukuri-kasuien-minami,accommodation,sanin,tamatsukuri,島根県,Tier 1,ready,玉造温泉 佳翠苑皆美,Kasuien Minami,matched_or_alias_checked,5478,606,320,4,yes,yes,yes,A,A,ready_for_db,Naver 직접 원문 약함/없음; snippet_only 분리 필요,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/tamatsukuri-kasuien-minami-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,kasuien_minami_signal_aggregate_2026-07-04.json,
tamatsukuri-konya,accommodation,sanin,tamatsukuri,島根県,Tier 1,ready,玉造温泉 曲水の庭 ホテル玉泉,Hotel Gyokusen,matched_or_alias_checked,6103,680,360,5,yes,yes,yes,A,A,ready_for_db,Naver 직접 원문 약함/없음; snippet_only 분리 필요,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/tamatsukuri-konya-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,konya_signal_aggregate_2026-07-04.json,
tamatsukuri-yunosuke,accommodation,sanin,tamatsukuri,島根県,Tier 1,ready,玉造グランドホテル長生閣,Choseikaku,matched_or_alias_checked,5238,599,336,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/tamatsukuri-yunosuke-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,yunosuke_signal_aggregate_2026-07-04.json,Rakuten Travel;Jalan;JTB;Google Maps native;Tripadvisor provider card
yubara-aburaya,accommodation,shikoku_setouchi,yubara,岡山県,Tier 1,ready,湯原温泉 八景,Hakkei,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
yuda-kamefuku,accommodation,shikoku_setouchi,yuda,山口県,Tier 1,ready;split_needed,湯田温泉 ユウベルホテル松政,Yubell Hotel Matsumasa,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
yuda-matsudaya,accommodation,shikoku_setouchi,yuda,山口県,Tier 1,ready;split_needed,湯田温泉 松田屋ホテル,Matsudaya Hotel,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
dogo-dogokan,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready;split_needed,道後舘,Dogo Kan,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
dogo-funaya,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready;split_needed,道後温泉 ふなや,Funaya,matched_or_alias_checked,,535,277,5,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/dogo-funaya-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,funaya_signal_aggregate_2026-07-04.json,
dogo-kotononiwa,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready,道後温泉 琴の庭,Koto no Niwa,matched_or_alias_checked,,271,197,12,yes,yes,yes,B,B,near_ready_b,snippet_only 분리 확인; A까지 직접 리뷰 29건 이상 추가 필요,A 승급 목표 보강: 한국어 직접 본문 또는 추가 플랫폼/저평점 표본 확보,강하게 반복 표현 금지; 탐색/B급 신호로 제한,research/onsen-deep-research/dogo-kotononiwa-2026-07-04,deep_research_manifest_2026-07-06.csv,review_signal_summary_2026-07-06.md,platform_mapping_2026-07-06.json,kotononiwa_signal_aggregate_2026-07-06.json,
dogo-kowakuen-haruka,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready;split_needed,ホテル古湧園 遥,Hotel Kowakuen Haruka,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
dogo-miyu,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready,道後御湯,Dogo Miyu,matched_or_alias_checked,,344,239,6,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/dogo-miyu-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,miyu_signal_aggregate_2026-07-04.json,
dogo-oborozukiyo,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready,別邸 朧月夜,Bettei Oborozukiyo,not_deep_researched,,,,,no,no,no,not_claimed,D,candidate_only,딥리서치 폴더 없음; 직접 리뷰 수 미확정; 직접 본문 플랫폼 수 미확정,후보 유지; ready 딥리서치 대상 선정 전에는 서비스 노출 제외,강하게 반복 표현 금지; 탐색/B급 신호로 제한,,,,,,
dogo-yachiyo,accommodation,shikoku_setouchi,dogo,愛媛県,Tier 1,ready,道後温泉 八千代,Yachiyo,matched_or_alias_checked,,323,196,7,yes,yes,yes,A,A,ready_for_db,snippet_only 분리 확인,DB seed 후보로 분리; 서비스 문구는 공식/후기 분리 재작성,A급만 강하게 반복 표현 가능; 공식 사실/후기 신호 분리,research/onsen-deep-research/dogo-yachiyo-2026-07-04,deep_research_manifest_2026-07-04.csv,review_signal_summary_2026-07-04.md,platform_mapping_2026-07-04.json,yachiyo_signal_aggregate_2026-07-04.json,
